"rownum","StatsKey","TagsKeys","bool","i32","bool"
0,10657,[663],1,0,1
1,10658,[34],1,0,1
2,10659,[319],1,0,1
3,10660,[317],1,0,1
4,10661,[665],1,0,1
5,10662,[638],1,0,1
6,10663,[639],1,0,1
7,10664,"[664,711]",1,0,1
8,10665,[324],1,0,1
9,10666,[630],1,0,1
10,2468,[319],"",1,""
11,2467,[34],"",1,""
12,12466,[313],1,0,""
13,12467,[309],1,0,""
14,12468,[311],1,0,""
15,12469,[310],1,0,""
16,12470,[312],1,0,""
17,12471,[666],1,0,""
18,12472,[323],1,0,""
19,12473,[324],1,0,""
20,12474,[630],1,0,""
21,12475,[639],1,0,""
22,12476,[641],1,0,""
23,12477,[637],1,0,""
24,12528,[316],1,0,""
25,12572,[317],1,0,""
26,12573,[638],1,0,""
27,12875,[],1,0,""
28,14039,[717],1,0,""
