"rownum","Id","Name","Stats","StatsValues","Points","HASH16","Icon","IconMaxed","SoundEffect","i32","Quest"
0,"JewellerySpeed","Chaotic Adornment",[14776],[5],5,5415,"Art/2DArt/SkillIcons/HellscapePassives/JewelleryandFlaskMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/JewelleryandFlaskMicroMaxed.dds","",1203,""
1,"ArmourSpeed","Twisted Metal",[14772],[5],5,34224,"Art/2DArt/SkillIcons/HellscapePassives/ArmourMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/ArmourMicroMaxed.dds","",1203,""
2,"WeaponSpeed","Murderous Desecration","[14773,14775]","[5,5]",5,10836,"Art/2DArt/SkillIcons/HellscapePassives/WeaponMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/WeaponMicroMaxed.dds","",1203,""
3,"MapSpeed","Fervent Dreams",[14774],[5],5,34087,"Art/2DArt/SkillIcons/HellscapePassives/MapsMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/MapsMicroMaxed.dds","",1203,""
4,"MicrowaveSlotNonMap1","Alternate History",[15242],[1],1,13590,"Art/2DArt/SkillIcons/HellscapePassives/MicrowaveUniqueItems.dds","Art/2DArt/SkillIcons/HellscapePassives/MicrowaveUniqueItemsMaxed.dds",336,1203,""
5,"MicrowaveSlotNonMap2","Crushed Organs",[14754],[1],1,46379,"Art/2DArt/SkillIcons/HellscapePassives/NonMapsSlotMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/NonMapsSlotMicroMaxed.dds",294,1203,""
6,"MicrowaveSlotMap","Restless Nightmares",[14755],[1],1,32734,"Art/2DArt/SkillIcons/HellscapePassives/MapsSlotMicro.dds","Art/2DArt/SkillIcons/HellscapePassives/MapsSlotMicroMaxed.dds",295,1157,173
7,"AddSocketNumber","Trypophobia",[14778],[3],5,15734,"Art/2DArt/SkillIcons/HellscapePassives/AddAdditionalSlot.dds","Art/2DArt/SkillIcons/HellscapePassives/AddAdditionalSlotMaxed.dds","",1203,""
8,"AddSocketLink","Stitched Wounds",[14779],[3],5,50796,"Art/2DArt/SkillIcons/HellscapePassives/LinkAdditionalSlot.dds","Art/2DArt/SkillIcons/HellscapePassives/LinkAdditionalSlotMaxed.dds","",1203,""
9,"HellscapingSpeedPerHellscapeTierOnMap","Warped Sluice",[15098],[1],5,31773,"Art/2DArt/SkillIcons/HellscapePassives/AddCorruptedImplicitModifier.dds","Art/2DArt/SkillIcons/HellscapePassives/AddCorruptedImplicitModifierMaxed.dds","",1203,""
10,"AddExplicitModifier","Golden Blood",[14781],[4],5,46764,"Art/2DArt/SkillIcons/HellscapePassives/AddExplicitModifier.dds","Art/2DArt/SkillIcons/HellscapePassives/AddExplicitModifierMaxed.dds","",1203,""
11,"UpgradeExplicitModifier","Intensifying Emulsion",[14782],[2],5,5968,"Art/2DArt/SkillIcons/HellscapePassives/UpgradeExplicitModifierByOne.dds","Art/2DArt/SkillIcons/HellscapePassives/UpgradeExplicitModifierByOneMaxed.dds","",1203,""
12,"IncreasedUpsideTier","Anomalous Aura",[14783],[2],5,38827,"Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeUpside.dds","Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeUpsideMaxed.dds","",1203,""
13,"ReducedDownsideTier","Stabilising Energy",[14784],[2],5,46437,"Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeDownside.dds","Art/2DArt/SkillIcons/HellscapePassives/GenerateHellscapeDownsideMaxed.dds","",1203,""
14,"AdditionalUpside","Strange Forces",[14785],[1],5,49509,"Art/2DArt/SkillIcons/HellscapePassives/GenerateAdditionalHellscapeUpside.dds","Art/2DArt/SkillIcons/HellscapePassives/GenerateAdditionalHellscapeUpsideMaxed.dds","",1203,""
