"rownum","ItemVisualIdentity","MarauderAnimatedObject","RangerAnimatedObject","WitchAnimatedObject","DuelistAnimatedObject","TemplarAnimatedObject","ShadowAnimatedObject","ScionAnimatedObject","MarauderBone","RangerBone","WitchBone","DuelistBone","TemplarBone","ShadowBone","ScionBone"
0,4526,"Metadata/Items/Armours/BodyArmours/MadcapRobe/MadcapRobeMHeld.ao","Metadata/Items/Armours/BodyArmours/MadcapRobe/MadcapRobeFHeld.ao","Metadata/Items/Armours/BodyArmours/MadcapRobe/MadcapRobeFHeld.ao","Metadata/Items/Armours/BodyArmours/MadcapRobe/MadcapRobeMHeld.ao","Metadata/Items/Armours/BodyArmours/MadcapRobe/MadcapRobeMHeld.ao","Metadata/Items/Armours/BodyArmours/MadcapRobe/MadcapRobeMHeld.ao","Metadata/Items/Armours/BodyArmours/MadcapRobe/MadcapRobeFHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
1,4583,"Metadata/Items/Armours/BodyArmours/CultOfApocalypseRobe/CultOfApocalypseRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/CultOfApocalypseRobe/CultOfApocalypseRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/CultOfApocalypseRobe/CultOfApocalypseRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/CultOfApocalypseRobe/CultOfApocalypseRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/CultOfApocalypseRobe/CultOfApocalypseRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/CultOfApocalypseRobe/CultOfApocalypseRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/CultOfApocalypseRobe/CultOfApocalypseRobeFemaleHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
2,4596,"Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildArmourRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildArmourRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildArmourRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildArmourRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildArmourRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildArmourRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildArmourRobeFemaleHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
3,4606,"Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildGoldArmourRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildGoldArmourRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildGoldArmourRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildGoldArmourRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildGoldArmourRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildGoldArmourRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/WildArmourRobe/WildGoldArmourRobeFemaleHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
4,4639,"Metadata/Effects/Microtransactions/head/WaterElementalHair/MaleHeld.ao","Metadata/Effects/Microtransactions/head/WaterElementalHair/FemaleHeld.ao","Metadata/Effects/Microtransactions/head/WaterElementalHair/FemaleHeld.ao","Metadata/Effects/Microtransactions/head/WaterElementalHair/MaleHeld.ao","Metadata/Effects/Microtransactions/head/WaterElementalHair/MaleHeld.ao","Metadata/Effects/Microtransactions/head/WaterElementalHair/MaleHeld.ao","Metadata/Effects/Microtransactions/head/WaterElementalHair/FemaleHeld.ao","Head_Attachment","Head_Attachment","Head_Attachment","Head_Attachment","Head_Attachment","Head_Attachment","Head_Attachment"
5,4668,"Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeFemaleHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
6,4677,"Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeAltMaleHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeFemaleAltHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeFemaleAltHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeAltMaleHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeAltMaleHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeAltMaleHeld.ao","Metadata/Items/Armours/BodyArmours/RingmasterRobe/RingmasterRobeFemaleAltHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
7,4740,"Metadata/Items/Armours/BodyArmours/CrusaderRobe/CrusaderRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/CrusaderRobe/CrusaderRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/CrusaderRobe/CrusaderRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/CrusaderRobe/CrusaderRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/CrusaderRobe/CrusaderRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/CrusaderRobe/CrusaderRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/CrusaderRobe/CrusaderRobeFemaleHeld.ao","spine1","Spine1","Spine2","spine1","aux_waist_attachment","spine1","spine_01"
8,4751,"Metadata/Items/Armours/BodyArmours/JudicatorRobe/JudicatorRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/JudicatorRobe/JudicatorRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/JudicatorRobe/JudicatorRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/JudicatorRobe/JudicatorRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/JudicatorRobe/JudicatorRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/JudicatorRobe/JudicatorRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/JudicatorRobe/JudicatorRobeFemaleHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
9,4734,"Metadata/Items/Armours/BodyArmours/BasiliskRobe/BasiliskRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/BasiliskRobe/BasiliskRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/BasiliskRobe/BasiliskRobeFemaleHeld.ao","Metadata/Items/Armours/BodyArmours/BasiliskRobe/BasiliskRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/BasiliskRobe/BasiliskRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/BasiliskRobe/BasiliskRobeMaleHeld.ao","Metadata/Items/Armours/BodyArmours/BasiliskRobe/BasiliskRobeFemaleHeld.ao","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment","aux_waist_attachment"
