"rownum","Projectile","Variant","[rid]","i32","rid"
0,"default_ranged",0,[59],3,""
1,"default_ranged",1,[212],3,""
2,"default_ranged",2,[334],3,""
3,"default_ranged",3,[559],3,""
4,"default_ranged",4,[560],3,""
5,"default_ranged",5,[595],3,""
6,"default_ranged",6,[611],3,""
7,"default_ranged",7,[612],3,""
8,"default_ranged",8,[613],3,""
9,"default_ranged",9,[614],3,""
10,"default_ranged",10,[615],3,""
11,"default_ranged",11,[616],3,""
12,"default_ranged",12,[617],3,""
13,"default_ranged",13,[618],3,""
14,"default_ranged",14,[619],3,""
15,"default_ranged",15,[620],3,""
16,"default_ranged",16,[621],3,""
17,"default_ranged",17,[622],3,""
18,"default_ranged",18,[704],3,""
19,"default_ranged",19,[680],3,""
20,"default_ranged",20,[689],3,""
21,"default_ranged",21,[705],3,""
22,"default_ranged",22,[712],3,""
23,"default_ranged",23,[713],3,""
24,"default_ranged",24,[714],3,""
25,"default_ranged",25,[813],3,""
26,"default_ranged",26,[816],3,""
27,"default_ranged",27,[824],3,""
28,"default_ranged",28,[921],3,""
29,"default_ranged",29,[967],3,""
30,"default_ranged",30,[974],3,""
31,"default_ranged",31,[1057],3,""
32,"default_ranged",32,[1068],3,""
33,"default_ranged",33,[1069],3,""
34,"default_ranged",34,[1070],3,""
35,"default_ranged",35,[60],3,""
36,"cremation_projectile",0,[373],3,""
37,"cremation_projectile",1,[373],3,""
38,"cremation_projectile",2,[414],3,""
39,"cremation_projectile",3,[418],3,""
40,"cremation_projectile",4,[374],3,""
41,"cremation_projectile",5,[1052],3,""
42,"cremation_projectile",6,[1067],3,""
43,"cremation_projectile",7,[1071],3,""
44,"soulfeast_primary",0,[1073],3,""
45,"soulfeast_secondary",0,[1074],3,""
46,"soulfeast_primary_short",0,[1075],3,""
47,"soulfeast_secondary_short",0,[1076],3,""
48,"igniting_flask",0,[1090],3,""
49,"spark",0,[17],3,""
50,"spark",1,[18],3,""
51,"spark",2,[19],3,""
52,"spark",3,[259],3,""
53,"spark",4,[357],3,""
54,"spark",5,[358],3,""
55,"spark",6,[17],3,""
56,"spark",7,[431],3,""
57,"spark",8,[446],3,""
58,"spark",9,[469],3,""
59,"spark",10,[482],3,""
60,"spark",11,[530],3,""
61,"spark",12,[606],3,""
62,"spark",13,[715],3,""
63,"spark",14,[722],3,""
64,"spark",15,[773],3,""
65,"spark",16,[918],3,""
66,"spark",17,[1035],3,""
67,"spark",18,[1036],3,""
68,"spark",19,[1091],3,""
69,"spark_monster",1,[95],3,""
70,"spark_monster",2,[96],3,""
71,"spark_monster",3,[865],3,""
72,"spark_tornado",0,[358],3,""
73,"spark_tornado",2,[361],3,""
74,"spark_tornado",17,[359],3,""
75,"spark_tornado",18,[360],3,""
76,"lightning_strike_projectile",0,[30],3,""
77,"lightning_strike_projectile_lite",0,[1113],3,""
78,"lightning_strike_projectile",1,[30],3,""
79,"lightning_strike_projectile_lite",1,[1113],3,""
80,"lightning_strike_projectile",2,[1099],3,""
81,"lightning_strike_projectile_lite",2,[1099],3,""
82,"lightning_strike_projectile",3,[1159],3,""
83,"lightning_strike_projectile_lite",3,[1159],3,""
84,"burning_arrow",0,[63],3,""
85,"burning_arrow_vaal",0,[64],3,""
86,"burning_arrow",1,[1104],3,""
