"rownum","GrantedEffectsKey","string","bool","bool","bool","MiscAnimated","bool","bool","i32","bool","bool","bool","bool"
0,1338,"<lock>",1,1,1,17,"",1,0,"","",1,""
1,1339,"<lock>",1,1,1,18,"",1,0,"","",1,""
2,580,"<lock>",1,1,1,39,"",1,0,"","",1,""
3,1671,"<lock>",1,1,1,9,"",1,0,"","",1,""
4,1680,"<lock>",1,1,1,12,"",1,0,"","",1,""
5,1682,"<lock>",1,1,1,7,"",1,0,"","",1,""
6,1688,"<lock>",1,1,1,12,"",1,0,"","",1,""
7,1693,"<lock>",1,1,1,10,"",1,0,"","",1,""
8,1700,"<lock>",1,1,1,11,"",1,0,"","",1,""
9,1703,"<lock>",1,1,1,39,"",1,0,"","",1,""
10,1710,"<lock>",1,1,1,40,"",1,0,"","",1,""
11,1718,"<lock>",1,1,1,41,"",1,0,"","",1,""
12,1739,"<lock>",1,1,1,12,"",1,0,"","",1,""
13,5440,"<lock>",1,1,1,4,"",1,0,"","",1,""
14,1989,"<lock>",1,1,1,40,"",1,0,"","",1,""
15,2605,"<lock>",1,1,1,39,"",1,0,"","",1,""
16,2608,"<lock>",1,1,1,40,"",1,0,"","",1,""
17,2611,"<lock>",1,1,1,41,"",1,0,"","",1,""
18,3380,"<lock>",1,1,1,39,"",1,0,"","",1,""
19,3381,"<lock>",1,1,1,40,"",1,0,"","",1,""
20,3382,"<lock>",1,1,1,41,"",1,0,"","",1,""
21,3383,"<lock>",1,1,1,6,"",1,0,"","",1,""
22,3384,"<lock>",1,1,1,5,"",1,0,"","",1,""
23,952,"<lock>","",1,"",57,"",1,0,"","",1,""
24,972,"<lock>","",1,"",57,"",1,0,"","",1,""
25,981,"<lock>","",1,"",7,"",1,0,"","",1,""
26,987,"<lock>","",1,"",57,"",1,0,"","",1,""
27,991,"<lock>","",1,"",57,"",1,0,"","",1,""
28,1003,"<lock>","",1,"",9,"",1,0,"","",1,""
29,1010,"<lock>","",1,"",19,"",1,0,"","",1,""
30,1015,"<lock>","",1,"",57,"",1,0,"","",1,""
31,2053,"<lock>","",1,"",57,"",1,0,"","",1,""
32,2066,"<lock>","",1,"",57,"",1,0,"","",1,""
33,2073,"<lock>","",1,"",57,"",1,0,"","",1,""
34,3392,"<lock>","",1,"",19,"",1,0,"","",1,""
35,4363,"<lock>","",1,"",57,"",1,0,"","",1,""
36,7605,"<lock>","",1,"",57,"",1,0,"","",1,""
37,4921,"<lock>","",1,1,14,"",1,0,1,"",1,""
38,8150,"Head_Attachment",1,1,1,13,"",1,0,"","",1,""
39,8411,"<lock>",1,1,1,12,"",1,0,"","",1,""
40,8407,"<lock>",1,1,1,11,"",1,0,"","",1,""
41,8403,"<lock>",1,1,1,5,"",1,0,1,"","",""
42,8362,"<lock>",1,1,1,5,"",1,0,1,"","",""
43,1676,"<lock>",1,1,1,9,"",1,0,"","",1,""
44,1697,"<lock>",1,1,1,10,"",1,0,"","",1,""
45,1689,"<lock>",1,1,1,12,"",1,0,"","",1,""
46,1741,"<lock>",1,1,1,12,"",1,0,"","",1,""
47,7272,"<lock>",1,1,1,39,"",1,0,"","",1,""
48,7273,"<lock>",1,1,1,40,"",1,0,"","",1,""
49,7274,"<lock>",1,1,1,41,"",1,0,"","",1,""
50,8472,"<lock>",1,1,1,9,"",1,0,"","",1,""
51,8536,"<lock>",1,1,1,19,"",1,0,"","",1,""
52,8649,"<lock>",1,1,1,20,"",1,0,"","",1,""
53,2928,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
54,1727,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
55,303,"R_Weapon",1,"","",23,1,"",1,"",1,"",1
56,562,"R_Weapon",1,"","",29,1,"",1,"",1,"",1
57,928,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
58,1928,"R_Weapon",1,"","",25,1,"",1,"",1,"",1
59,1662,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
60,1646,"R_Weapon",1,"","",28,1,"",1,"",1,"",1
61,4495,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
62,328,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
63,3345,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
64,8948,"<lock>",1,1,1,30,"",1,0,1,"","",""
65,2817,"<lock>",1,1,1,38,"",1,0,"","","",""
66,9167,"<lock>",1,1,1,42,"",1,0,"","","",""
67,9360,"<lock>",1,1,"",49,"",1,0,"","","",""
68,0,"<lock>",1,1,"",45,"",1,0,"","","",""
69,862,"<lock>",1,1,"",52,"",1,0,"","","",""
70,1964,"<lock>",1,1,"",51,"",1,0,"","","",""
71,9557,"<lock>",1,1,1,7,"",1,0,"","",1,""
72,1144,"<lock>",1,1,"",64,"",1,0,"","","",""
73,9644,"<root>",1,1,"",67,"","",0,"","","",""
74,9650,"<lock>",1,1,1,68,"",1,0,"","",1,""
75,2757,"<lock>",1,1,1,73,"",1,0,"","","",""
76,9703,"<lock>",1,1,1,74,"",1,0,"","",1,""
77,9669,"<lock>",1,1,1,76,"",1,0,"","","",""
78,9783,"<lock>",1,1,1,77,"",1,0,"","","",""
79,9788,"<lock>",1,1,"",80,"",1,0,"","","",""
80,1334,"<lock>",1,1,1,41,"",1,0,"","",1,""
