"rownum","Id","rid","rid","rid","[rid]","[rid]","[rid]","[rid]"
0,"Poisoner","","",410,[],[],[],[]
1,"VoidTouched","","",411,[],[],[],[]
2,"FrostTouched",6223,9,"",[994],[],[],[]
3,"Freezer",6224,8,"",[],[],[],[]
4,"Raider","","",412,[],[],[],[]
5,"Deadeye","","",435,[],[],[],[]
6,"Bombardier","","","",[],[],[],[]
7,"FlameTouched",6219,9,"",[993],[],[],[]
8,"Igniter",6220,8,"",[],[],[],[]
9,"ArcaneEnchanted","","",413,[],[8745],[],[]
10,"Echoist","","",414,[],[],[],[]
11,"StormTouched",6221,9,"",[995],[],[],[]
12,"Shocker",6222,8,"",[],[],[],[]
13,"Bonebreaker","","","",[],[],[],[]
14,"Bloodletter","","",415,[],[],[],[]
15,"SteelAttuned",6225,9,"",[],[],[],[]
16,"Gargantuan","","","",[],[],[],[]
17,"Berserker","","",416,[],[],[],[]
18,"Defender","","","",[],[8856],[],[]
19,"Juggernaut","","",454,[],[],[],[]
20,"Vampiric","","",417,[],[],[],[]
21,"ChargeGenerator","","",418,[],[],[],[]
22,"SoulConduit","","","",[],[],[],[]
23,"Wealthy","","",419,[],[],[],[]
24,"Oppressor","","",432,[],[],[],[]
25,"Consecration","","",420,[],[],[],[]
26,"Rampage","","","",[],[],[],[]
27,"HeraldOfTheObelisk","","","",[],[8776],"[6205,6206]",[]
28,"UnionOfSouls","","","",[],[],[],[]
29,"Assassin","","",422,[],[],[],[]
30,"Trickster","","","",[1686],[],[],[]
31,"Necromancer","","",449,[],[],[],[]
32,"Rejuvenating","","","","[1682,1683]",[],[],[]
33,"Executioner","","",431,[],[],[],[]
34,"Hexer","","","","[63,71]",[8773],[],[]
35,"FlaskDrain","","",430,[],[],[],[]
36,"GraspingVines","","",424,[],[],[5074],[]
37,"TimeBubble","","",429,[],[],[],[]
38,"Saplings","","","",[],[8832],[],[404]
39,"FrostWalker","","",425,[],[],[],[]
40,"GlacialCage",6229,10,"",[],[],[],[]
41,"SoulEater","","","",[],[],[],[]
42,"FlameWalker","","",426,[],[],[],[]
43,"CorpseExploder","","","",[],[],[],[]
44,"Prismatic",6334,9,"",[],[],[],[]
45,"VolatileFlameBlood","","","",[],[],[],[]
46,"MirrorImage","","","",[],[],[],[]
47,"LightningWalker","","",427,[],[],[],[]
48,"ManaDonut","","",433,[],[],[],[]
49,"Corrupter","","",428,[],[],[],[]
50,"DivineTouched","","","",[],[],[],[]
51,"LivingCrystals","","",434,[],[8855],[],[]
52,"CycleOfElements","","","",[],[],[],[]
53,"VoodooDoll","","","",[],[],[],[]
54,"Lunaris","","","",[],[],[],[]
55,"Solaris","","","",[],[],[],[]
56,"Arakaali","","","",[],[],[],[]
57,"BrineKing","","","",[],[],[],[]
58,"Tukohama","","","",[],[],[],[]
59,"Abberath","","","",[],[],[],[]
60,"Shakari","","","",[],[],[],[]
61,"Innocence","","","",[],[],[],[]
62,"Kitava","","","",[],[],[],[]
