"rownum","Id","rid","i32","GamepadIcon"
0,"BestiaryOpenBookUI",0,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadBestiaryBook"
1,"IncursionOpenTempleMap",13,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadIncursionMap"
2,"DelveThrowDynamite",13,0,""
3,"DelveThrowFlare",12,0,""
4,"DelveOpenUpgradeUI",0,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadDelveUpgrade"
5,"DelveOpenMapUI",1,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadDelveMap"
6,"BetrayalOpenTraitorsUI","",0,""
7,"SynthesisOpenMapUI","",0,""
8,"MetamorphSummonVial",0,0,""
9,"DeliriumSkipEncounter",13,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadEndDelirium"
10,"HeistActivateNearbyJob",10,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadHeistNPCJob"
11,"HeistOpenNPCsUI",0,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadHeistNPCInventory"
12,"RitualOpenRewardsUI",2,0,""
13,"UltimatumToggleWorldDescriptionVisibility","",0,""
14,"ExpeditionToggleExplosivePlacement",1,90,""
15,"ScourgeUseBloodCrucible",10,100,""
16,"BlightSkipDelay",3,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadSkipBlight"
17,"ArchnemesisOpenInventoryUI",12,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadArchnemesisInventory"
