"rownum","Id","MonsterPacksKeys","i32","i32","MonsterVarietiesKey","rid","i32","i32","i32","MonsterPacksKey"
0,"MonkeyPack","[982,983,984,985,986,987,988,989,990,991,992]",12,2,4581,2,2,20,100,982
1,"BeastPack","[982,983,984,985,986,987,988,989,990,991,992]",12,2,4579,2,2,20,100,984
2,"HellionPack","[982,983,984,985,986,987,988,989,990,991,992]",1,2,4580,2,2,20,100,985
3,"RhoaPack","[982,983,984,985,986,987,988,989,990,991,992]",1,2,4578,2,2,20,100,983
4,"SpiderPack","[982,983,984,985,986,987,988,989,990,991,992]",15,2,4584,2,2,20,100,987
5,"SnakePack","[982,983,984,985,986,987,988,989,990,991,992]",15,2,4583,2,2,20,100,986
6,"FrogPack","[982,983,984,985,986,987,988,989,990,991,992]",25,2,4586,2,2,20,100,988
7,"IguanaPack","[982,983,984,985,986,987,988,989,990,991,992]",30,2,4587,2,2,20,100,989
8,"KiwethPack","[982,983,984,985,986,987,988,989,990,991,992]",1,2,4588,2,2,20,100,990
9,"DropbearPack","[982,983,984,985,986,987,988,989,990,991,992]",15,2,4589,2,2,20,100,991
10,"SquidPack","[982,983,984,985,986,987,988,989,990,991,992]",1,2,4590,2,2,20,100,992
11,"TasterPack","[982,983,984,985,986,987,988,989,990,991,992]",39,3,4106,3,3,20,100,""
12,"BeastBossPack","[982,983,984,985,986,987,988,989,990,991,992]",15,3,113,3,3,20,100,""
13,"SpiderBossPack","[982,983,984,985,986,987,988,989,990,991,992]",15,3,914,3,3,20,100,""
14,"KiwethBossPack","[982,983,984,985,986,987,988,989,990,991,992]",1,3,1538,3,3,20,100,""
15,"WaterSpiralBossPack","[982,983,984,985,986,987,988,989,990,991,992]",35,3,3832,3,3,20,100,""
16,"SandLeaperBossPack","[982,983,984,985,986,987,988,989,990,991,992]",35,3,3851,3,3,20,100,""
17,"DropBearBossPack","[982,983,984,985,986,987,988,989,990,991,992]",15,3,3107,3,3,20,100,""
