"rownum","string","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[14785]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[14785,14942]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[14937]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[14937,14942]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[14938]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[14938,14942]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[14939]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[14939,14942]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[14940]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[14940,14942]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[14941]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[14941,14942]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[14774]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[14774,14775]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[14774]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[14774]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[14774]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[14774]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[14776]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[14776,14775]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[14776]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[14776]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[14776]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[14776]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[14777]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[14777,14775]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[14777]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[14777]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[14777]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[14777]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[14778]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[14778,14775]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[14778]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[14778]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[14778]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[14778]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[14779]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[14779,14775]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[14779]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[14779]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[14779]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[14779]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[14782,14780]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[14782,14780,14775]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[14782,14780]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[14782,14780]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[14782,14780]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[14782,14780]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[14783,14781]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[14783,14781,14775]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[14783,14781]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[14783,14781]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[14783,14781]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[14783,14781]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[14784,14774]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[14784,14782]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[14774,14775,19490]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[14774,14775,19490]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[14774,14775,19490]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[14774,14775,19490]"
