"rownum","Id","TimeoutInSeconds","ChargesShared","Player_ShrineBuffsKey","i32","i32","Monster_ShrineBuffsKey","SummonMonster_MonsterVarietiesKey","SummonPlayer_MonsterVarietiesKey","i32","i32","ShrineSoundsKey","bool","AchievementItemsKeys","IsPVPOnly","bool","IsLesserShrine","Description","Name","bool"
0,"Acceleration",0,"",357,30,1,358,"","",50,45,3,"",[8031],"",1,"",6350,6349,""
1,"Lightning",0,"",369,80,4,"",2717,2718,0,45,2,"",[8031],"","","",6352,6351,""
2,"Cold",0,"",368,80,4,"",2719,2720,0,45,0,"",[8031],"","","",6354,6353,""
3,"Fire",0,"",367,0,10,"",2715,2716,0,45,1,"",[8031],"","","",6356,6355,""
4,"Arc",0,"",370,0,10,"",2723,2724,0,45,2,"","[516,8031]","","","",6358,6357,""
5,"Criticals",0,"",365,30,1,366,"","",50,45,7,"",[8031],"",1,"",6360,6359,""
6,"Brutal",0,"",361,30,1,362,"","",50,45,5,"",[8031],"",1,"",6362,6361,""
7,"Thorns",0,"",363,0,40,364,"","",50,45,6,"","[519,8031]","",1,"",6364,6363,""
8,"Regen",0,1,359,30,1,360,"","",50,45,4,"",[8031],"",1,"",6366,6365,""
9,"Massive",0,"",377,60,10,378,"","",50,45,4,"",[8031],"",1,"",6368,6367,""
10,"Defence",0,"",379,80,25,380,"","",50,45,6,"",[8031],"",1,"",6370,6369,""
11,"Resistance",0,"",381,80,40,382,"","",50,45,6,"",[8031],"",1,"",6372,6371,""
12,"GodMode",0,"",383,10,60,384,"","",50,45,6,"",[8031],"",1,"",6374,6373,""
13,"Multi",0,"",374,10,60,373,"","",50,45,7,"",[8031],"",1,"",6376,6375,""
14,"Curses",0,"",376,0,25,375,"",3000,50,45,5,"","[526,8031]","","","",6378,6377,""
15,"Skeletons",0,"",371,40,25,"",2725,2726,0,45,8,"",[8031],"","","",6380,6379,""
16,"Smoke",0,"",372,60,40,"",2721,2722,0,45,9,"",[8031],"","","",6382,6381,""
17,"PVPAcceleration",45,"",357,100,0,"","","",0,12,3,1,[],"","","",6384,6383,""
18,"PVPRegen",45,1,359,100,0,"","","",0,12,4,1,[],"","","",6386,6385,""
19,"PVPBrutal",45,"",361,100,0,"","","",0,20,5,1,[],"","","",6388,6387,""
20,"CTFBrutal",45,"",361,100,0,"","","",0,20,5,1,[],1,"","",6390,6389,""
21,"CTFRegen",45,1,359,100,0,"","","",0,20,4,1,[],1,"","",6392,6391,""
22,"CTFMassive",45,"",377,100,0,"","","",0,20,4,1,[],1,"","",6394,6393,""
23,"CTFDefence",45,"",379,100,0,"","","",0,20,6,1,[],1,"","",6396,6395,""
24,"AccelerationLesser",0,"",386,30,1,"","","",0,20,3,"",[],"",1,1,6350,6397,""
25,"BrutalLesser",0,"",387,30,1,"","","",0,20,5,"",[],"",1,1,6362,6398,""
26,"RegenLesser",0,"",388,30,1,"","","",0,20,4,"",[],"",1,1,6366,6399,""
27,"MassiveLesser",0,"",389,60,1,"","","",0,20,4,"",[],"",1,1,6368,6400,""
28,"ResistanceLesser",0,"",390,80,1,"","","",0,20,6,"",[],"",1,1,6372,6401,""
29,"DefenceLesser",0,"",391,80,1,"","","",0,20,6,"",[],"",1,1,6370,6402,""
30,"Resonating",0,"",392,0,2,393,"","",50,45,10,"",[8031],"",1,"",6404,6403,""
31,"Gloom",0,"",394,0,2,395,"","",50,45,11,"",[8031],"",1,"",6406,6405,""
32,"RoyaleShrineAccelerating",60,"",396,100,0,"","","",0,10,3,"",[],"","","",6350,6349,1
33,"RoyaleShrineBrutal",60,"",397,100,0,"","","",0,10,5,"",[],"","","",6362,6361,1
34,"RoyaleShrineBurning",60,"",398,0,0,"",2715,2716,0,10,1,"",[],"","","",6356,6355,1
35,"RoyaleShrineCharged",60,"",399,100,0,"","","",0,10,10,"",[],"","","",6404,6403,1
36,"RoyaleShrineDiamond",60,"",400,100,0,"","","",0,10,7,"",[],"","","",6360,6359,1
37,"RoyaleShrineEchoing",60,"",401,100,0,"","","",0,10,7,"",[],"","","",6376,6375,1
38,"RoyaleShrineFreezing",60,"",402,0,0,"",2719,2720,0,10,0,"",[],"","","",6354,6353,1
39,"RoyaleShrineGloom",60,"",403,0,0,"","","",0,10,11,"",[],"","","",6378,6405,1
40,"RoyaleShrineHexing",60,"",404,100,0,"","",3000,0,10,5,"",[],"","","",6378,6377,1
41,"RoyaleShrineImpenetrable",60,"",405,0,0,"","","",0,10,6,"",[],"","","",6370,6369,1
42,"RoyaleShrineLightning",60,"",406,0,0,"",2717,2718,0,10,2,"",[],"","","",6352,6351,1
43,"RoyaleShrineMassive",60,"",407,100,0,"","","",0,10,4,"",[],"","","",6368,6367,1
44,"RoyaleShrineReplenishing",60,"",408,100,0,"","","",0,10,4,"",[],"","","",6366,6365,1
45,"RoyaleShrineResistance",60,"",409,100,0,"","","",0,10,6,"",[],"","","",6372,6371,1
46,"RoyaleShrineShrouded",60,"",410,0,0,"",2721,2722,0,10,9,"",[],"","","",6382,6381,1
47,"RoyaleShrineStatic",60,"",411,0,0,"",2723,2724,0,10,2,"",[],"","","",6358,6357,1
48,"Greed",0,"",416,0,0,415,"","",50,45,12,"",[8546],"",1,"",6424,6423,""
