"rownum","Id","ModsKey","PassiveSkillsKey"
0,"InverseWeighting3","",482
1,"InverseWeighting4","",427
2,"InverseWeighting5","",479
3,"InverseWeighting6","",573
4,"InverseWeighting6_2","",516
5,"InverseWeighting7","",543
6,"InverseWeighting8","",425
7,"InverseWeighting8_2","",504
8,"InverseWeighting9","",518
9,"InverseWeighting9_2","",635
10,"InverseWeighting10","",70
11,"InverseWeighting10_2","",586
12,"InverseWeighting11","",461
13,"InverseWeighting11_2","",925
14,"InverseWeighting12","",35
15,"InverseWeighting12_2","",918
16,"InverseWeighting12_3","",917
17,"InverseWeighting13","",919
18,"InverseWeighting13_2","",1166
19,"InverseWeighting14","",886
20,"InverseWeighting14_2","",101
21,"InverseWeighting14_3","",1108
22,"InverseWeighting15","",314
23,"InverseWeighting16","",858
24,"InverseWeighting16_2","",1167
25,"InverseWeighting16_3","",350
26,"InverseWeighting17","",1068
27,"InverseWeighting17_2","",958
28,"InverseWeighting17_3","",1087
29,"InverseWeighting18","",2236
30,"InverseWeighting18_2","",1295
31,"InverseWeighting19","",248
32,"InverseWeighting19_2","",916
33,"InverseWeighting19_3","",317
34,"InverseWeighting20","",1696
35,"InverseWeighting20_2","",540
36,"InverseWeighting21","",1067
37,"InverseWeighting21_2","",707
38,"InverseWeighting22","",1069
39,"InverseWeighting22_2","",1721
40,"InverseWeighting22_3","",13
41,"InverseWeighting23","",2278
42,"InverseWeighting24","",1029
43,"InverseWeighting24_2","",784
44,"InverseWeighting24_3","",332
45,"InverseWeighting24_4","",148
46,"InverseWeighting24_5","",2274
47,"InverseWeighting25","",1934
48,"InverseWeighting25_2","",1088
49,"InverseWeighting25_3","",989
50,"InverseWeighting26","",2137
51,"InverseWeighting26_2","",170
52,"InverseWeighting26_3","",2304
53,"InverseWeighting27","",340
54,"InverseWeighting27_2","",2214
55,"InverseWeighting27_3","",2115
56,"InverseWeighting28","",883
57,"InverseWeighting29","",200
58,"InverseWeighting29_2","",2113
59,"InverseWeighting29_3","",921
60,"InverseWeighting29_4","",2325
61,"InverseWeighting30","",261
62,"InverseWeighting30_2","",124
63,"InverseWeighting30_3","",986
64,"InverseWeighting32","",2603
65,"InverseWeighting32_2","",1930
66,"InverseWeighting32_3","",1835
67,"InverseWeighting32_4","",2089
68,"InverseWeighting33","",2155
69,"InverseWeighting33_2","",417
70,"InverseWeighting34","",894
71,"InverseWeighting34_2","",32
72,"InverseWeighting35","",228
73,"InverseWeighting37","",1724
74,"InverseWeighting37_2","",347
75,"InverseWeighting37_3","",1762
76,"InverseWeighting38","",2032
77,"InverseWeighting40","",2068
78,"InverseWeighting40_2","",112
79,"InverseWeighting42","",2152
80,"InverseWeighting42_2","",1967
81,"InverseWeighting42_3","",45
82,"InverseWeighting43","",582
83,"InverseWeighting44","",487
84,"InverseWeighting45","",1757
85,"InverseWeighting45_2","",2016
86,"InverseWeighting45_3","",722
87,"InverseWeighting46","",945
88,"InverseWeighting46_2","",127
89,"InverseWeighting47","",2147
90,"InverseWeighting48","",376
91,"InverseWeighting48_2","",2036
92,"InverseWeighting48_3","",259
93,"InverseWeighting49","",2180
94,"InverseWeighting50","",2085
95,"InverseWeighting50_2","",887
96,"InverseWeighting50_3","",2028
97,"InverseWeighting50_4","",19
98,"InverseWeighting51","",1997
99,"InverseWeighting52","",2043
100,"InverseWeighting53","",8
101,"InverseWeighting53_2","",1718
102,"InverseWeighting54","",2176
103,"InverseWeighting55","",254
104,"InverseWeighting55_2","",44
105,"InverseWeighting56","",913
106,"InverseWeighting58","",2000
107,"InverseWeighting58_2","",106
108,"InverseWeighting58_3","",2020
109,"InverseWeighting59","",2293
110,"InverseWeighting60","",1280
111,"InverseWeighting63","",123
112,"InverseWeighting63_2","",2130
113,"InverseWeighting64","",1808
114,"InverseWeighting66","",2003
115,"InverseWeighting66_2","",1886
116,"InverseWeighting66_3","",2247
117,"InverseWeighting68","",351
118,"InverseWeighting68_2","",574
119,"InverseWeighting71","",104
120,"InverseWeighting75","",2208
121,"InverseWeighting76","",1843
122,"InverseWeighting79","",2233
123,"InverseWeighting81","",920
124,"InverseWeighting82","",1000
125,"InverseWeighting82_2","",1063
126,"InverseWeighting83","",378
127,"InverseWeighting84","",152
128,"InverseWeighting84_2","",216
129,"InverseWeighting84_3","",1680
130,"InverseWeighting85","",1070
131,"InverseWeighting86","",334
132,"InverseWeighting86_2","",408
133,"InverseWeighting87","",1066
134,"InverseWeighting88","",1614
135,"InverseWeighting88_2","",1858
136,"InverseWeighting89","",346
137,"InverseWeighting90","",1893
138,"InverseWeighting90_2","",1313
139,"InverseWeighting91","",1857
140,"InverseWeighting92","",653
141,"InverseWeighting93","",1152
142,"InverseWeighting94","",922
143,"InverseWeighting95","",645
144,"InverseWeighting95_2","",1887
145,"InverseWeighting96","",867
146,"InverseWeighting97","",2239
147,"InverseWeighting98","",343
148,"InverseWeighting98_2","",91
149,"InverseWeighting100","",2077
150,"InverseWeighting100_2","",2256
151,"InverseWeighting102","",1165
152,"InverseWeighting103","",319
153,"InverseWeighting103_2","",619
154,"InverseWeighting104","",1064
155,"InverseWeighting105","",2254
156,"InverseWeighting106","",1048
157,"InverseWeighting108","",2073
158,"InverseWeighting108_2","",1164
159,"InverseWeighting111","",1299
160,"InverseWeighting114","",2231
161,"InverseWeighting116","",1942
162,"InverseWeighting118","",2262
163,"InverseWeighting120","",777
164,"InverseWeighting121","",541
165,"InverseWeighting122","",88
166,"InverseWeighting122_2","",1197
167,"InverseWeighting123","",644
168,"InverseWeighting124","",1105
169,"InverseWeighting124_2","",596
170,"InverseWeighting124_3","",1284
171,"InverseWeighting125","",1921
172,"InverseWeighting126","",1925
173,"InverseWeighting126_2","",235
174,"InverseWeighting127","",696
175,"InverseWeighting128","",355
176,"InverseWeighting128_2","",1859
177,"InverseWeighting129","",1093
178,"InverseWeighting130","",232
179,"InverseWeighting130_2","",2064
180,"InverseWeighting131","",403
181,"InverseWeighting132","",719
182,"InverseWeighting133","",1183
183,"InverseWeighting134","",643
184,"InverseWeighting135","",963
185,"InverseWeighting135_2","",655
186,"InverseWeighting135_3","",2143
187,"InverseWeighting136","",1817
188,"InverseWeighting136_2","",2264
189,"InverseWeighting137","",2174
190,"InverseWeighting138","",196
191,"InverseWeighting138_2","",1978
192,"InverseWeighting140","",1326
193,"InverseWeighting141","",2175
194,"InverseWeighting142","",164
195,"InverseWeighting143","",385
196,"InverseWeighting143_2","",1871
197,"InverseWeighting144","",1092
198,"InverseWeighting144_2","",2199
199,"InverseWeighting146","",420
200,"InverseWeighting148","",175
201,"InverseWeighting148_2","",2596
202,"InverseWeighting151","",1876
203,"InverseWeighting156","",320
204,"InverseWeighting157","",2252
205,"InverseWeighting160","",2119
206,"InverseWeighting161","",1163
207,"InverseWeighting161_2","",2277
208,"InverseWeighting162","",1863
209,"InverseWeighting162_2","",2107
210,"InverseWeighting164","",1071
211,"InverseWeighting164_2","",1971
212,"InverseWeighting164_3","",1084
213,"InverseWeighting166","",1191
214,"InverseWeighting166_2","",1806
215,"InverseWeighting169","",1994
216,"InverseWeighting169_2","",1109
217,"InverseWeighting174","",2159
218,"InverseWeighting174_2","",698
219,"InverseWeighting174_3","",2223
220,"InverseWeighting182","",95
221,"InverseWeighting182_2","",1986
222,"InverseWeighting182_3","",2060
223,"InverseWeighting183","",244
224,"InverseWeighting184","",231
225,"InverseWeighting185","",1747
226,"InverseWeighting186","",1727
227,"InverseWeighting187","",277
228,"InverseWeighting188","",256
229,"InverseWeighting188_2","",1823
230,"InverseWeighting190","",2051
231,"InverseWeighting190_2","",1121
232,"InverseWeighting191","",1734
233,"InverseWeighting192","",909
234,"InverseWeighting193","",188
235,"InverseWeighting194","",1677
236,"InverseWeighting195","",1322
237,"InverseWeighting195_2","",953
238,"InverseWeighting195_3","",2289
239,"InverseWeighting196","",1203
240,"InverseWeighting197","",2269
241,"InverseWeighting198","",2156
242,"InverseWeighting198_2","",1781
243,"InverseWeighting199","",2302
244,"InverseWeighting200","",1044
245,"InverseWeighting200_2","",1851
246,"InverseWeighting200_3","",954
247,"InverseWeighting201","",27
248,"InverseWeighting202","",236
249,"InverseWeighting203","",1688
250,"InverseWeighting203_2","",1917
251,"InverseWeighting204","",373
252,"InverseWeighting204_2","",2014
253,"InverseWeighting206","",1850
254,"InverseWeighting206_2","",2024
255,"InverseWeighting208","",285
256,"InverseWeighting208_2","",1218
257,"InverseWeighting209","",908
258,"InverseWeighting211","",679
259,"InverseWeighting211_2","",2286
260,"InverseWeighting213","",2311
261,"InverseWeighting214","",859
262,"InverseWeighting215","",2310
263,"InverseWeighting216","",1739
264,"InverseWeighting221","",128
265,"InverseWeighting222","",2099
266,"InverseWeighting222_2","",2047
267,"InverseWeighting224","",1317
268,"InverseWeighting224_2","",1963
269,"InverseWeighting226","",697
270,"InverseWeighting229","",67
271,"InverseWeighting234","",1832
272,"InverseWeighting240","",1022
273,"InverseWeighting240_2","",2111
274,"InverseWeighting241","",1055
275,"InverseWeighting242","",1015
276,"InverseWeighting242_2","",2134
277,"InverseWeighting244","",1047
278,"InverseWeighting245","",0
279,"InverseWeighting246","",1672
280,"InverseWeighting246_2","",1862
281,"InverseWeighting247","",1807
282,"InverseWeighting248","",1913
283,"InverseWeighting249","",966
284,"InverseWeighting249_2","",2093
285,"InverseWeighting250","",2127
286,"InverseWeighting251","",360
287,"InverseWeighting251_2","",126
288,"InverseWeighting252","",2226
289,"InverseWeighting253","",1668
290,"InverseWeighting253_2","",1982
291,"InverseWeighting254","",118
292,"InverseWeighting254_2","",902
293,"InverseWeighting255","",1742
294,"InverseWeighting256","",1334
295,"InverseWeighting258","",2604
296,"InverseWeighting258_2","",934
297,"InverseWeighting258_3","",620
298,"InverseWeighting259","",149
299,"InverseWeighting260","",748
300,"InverseWeighting261","",768
301,"InverseWeighting261_2","",652
302,"InverseWeighting261_3","",1065
303,"InverseWeighting262","",388
304,"InverseWeighting262_2","",1147
305,"InverseWeighting263","",1111
306,"InverseWeighting263_2","",2307
307,"InverseWeighting264","",282
308,"InverseWeighting266","",2602
309,"InverseWeighting266_2","",1077
310,"InverseWeighting266_3","",684
311,"InverseWeighting267","",730
312,"InverseWeighting269","",2263
313,"InverseWeighting269_2","",732
314,"InverseWeighting271","",414
315,"InverseWeighting271_2","",1209
316,"InverseWeighting274","",1041
317,"InverseWeighting274_2","",195
318,"InverseWeighting279","",1112
319,"InverseWeighting280","",59
320,"InverseWeighting280_2","",2593
321,"InverseWeighting282","",1292
322,"InverseWeighting284","",1043
323,"InverseWeighting285","",998
324,"InverseWeighting287","",73
325,"InverseWeighting287_2","",50
326,"InverseWeighting289","",302
327,"InverseWeighting292","",1107
328,"InverseWeighting297","",1038
329,"InverseWeighting300","",147
330,"InverseWeighting301","",1729
331,"InverseWeighting302","",467
332,"InverseWeighting304","",2595
333,"InverseWeighting305","",173
334,"InverseWeighting306","",2295
335,"InverseWeighting309","",288
336,"InverseWeighting310","",2315
