"rownum","Area","PosX","PosY","Tags","[i32]","bool","TextAudio","CompletionAchievements"
0,0,0,0,[736],[1],"",11921,[]
1,1725,981,797,"[723,737]","[1,3]","",11912,"[8144,8315]"
2,1726,1078,700,"[722,737]","[1,3]","",11911,"[8145,8315]"
3,1727,962,587,"[723,737]","[1,3]","",11912,"[8146,8315]"
4,1728,1273,421,"[724,737]","[1,3]","",11912,"[8147,8315]"
5,1729,1181,611,"[729,737]","[1,3]","",11914,"[8148,8315]"
6,1730,1248,862,"[719,737]","[1,3]","",11913,"[8149,8315]"
7,1731,1020,314,"[725,737]","[1,3]","",11912,"[8150,8315]"
8,1732,857,259,"[726,737]","[1,3]","",11912,"[8151,8315]"
9,1733,938,198,"[727,737]","[1,3]","",11909,"[8152,8315]"
10,1734,1093,501,"[730,737]","[1,3]","",11915,"[8153,8315]"
11,1737,1282,212,"[728,737]","[1,3]","",11909,"[8156,8315]"
12,1735,1132,310,"[720,737]","[1,3]",1,11910,"[8154,8315]"
13,1736,1209,333,"[720,737]","[1,3]",1,11910,"[8155,8315]"
14,1738,1397,229,"[731,737]","[1,3]","",11916,"[8157,8315]"
15,1739,868,922,"[722,737]","[1,3]","",11911,"[8158,8315]"
