"rownum","Id","QuestKey","QuestState","i32","RewardWindowTake","bool","bool","RewardWindowTitle"
0,"a1q1",0,3,1203,"","","",""
1,"a1q5",1,42,1203,"","","",""
2,"a1q5b",1,1878,1203,"","","",""
3,"a1q4",2,37,1203,"","","",""
4,"a1q4b",2,2149,1203,"","","",""
5,"a1q8",3,2615,1203,"","",1,""
6,"a1q7",4,2615,1203,"","",1,""
7,"a1q2",5,7,1203,"","","",""
8,"a1q2b",5,798,1203,"","","",""
9,"a1q6",6,2615,1203,"","",1,""
10,"a1q3",7,73,1203,"","","",""
11,"a1q9",8,2615,1203,"","",1,""
12,"a2q5",10,2615,1203,"","",1,""
13,"a2q5b",10,825,1203,"","","",""
14,"a2q6",11,109,1203,"","","",""
15,"a2q10",12,249,1203,"","","",""
16,"a2q4",13,107,1203,"","","",""
17,"a2q9b_tencent",14,2550,1203,"","","",""
18,"a2q9c_tencent",14,2552,1203,"","","",""
19,"a2q9d_tencent",14,2554,1203,"","","",""
20,"a2q7",15,2615,1203,"","",1,""
21,"a3q1",21,174,1203,"","","",""
22,"a3q2",22,2615,1203,"","",1,""
23,"a3q11",23,2615,1203,"","",1,""
24,"a3q4",25,190,1203,"","","",""
25,"a3q5",26,2615,1203,"","",1,""
26,"a3q8",27,213,1203,"","","",""
27,"a3q12",28,494,1203,"","","",""
28,"a3q13",29,198,1203,"","","",""
29,"a3q9",30,2615,1203,"","",1,""
30,"d2c1",32,522,1203,"","","",""
31,"d2c2",33,523,1203,"","","",""
32,"a4q1",34,689,1203,"","","",""
33,"a4q2",35,666,1203,"","","",""
34,"a4q6",39,2615,1203,"","",1,""
35,"a4q6b_tencent",39,2556,1203,"","","",""
36,"a4q6c_tencent",39,2558,1203,"","","",""
37,"a4q6d_tencent",39,2560,1203,"","","",""
38,"a4q6e_tencent",39,2562,1203,"","","",""
39,"a4q6f_tencent",39,2564,1203,"","","",""
40,"bandit_respec",50,2615,1203,3853,"",1,3858
41,"a5q1b",63,1055,1203,"","","",""
42,"a5q2",64,1063,1203,"","","",""
43,"a5q3",65,2615,1203,"","",1,""
44,"a5q4",66,1075,1203,"","","",""
45,"a5q5",67,1081,1203,"","","",""
46,"a5q7",69,2615,1203,"","",1,""
47,"a6q2",71,1171,1203,"","","",""
48,"a6q3",72,2615,1203,"","",1,""
49,"a6q4",73,2615,1203,"","",1,""
50,"a6q5",74,1254,1203,"","","",""
51,"a6q6",75,2615,1203,"","",1,""
52,"a6q7",76,2615,1203,"","",1,""
53,"a7q1",77,2615,1203,"","",1,""
54,"a7q2",78,1279,1203,"","","",""
55,"a7q3",79,2615,1203,"","",1,""
56,"a7q5",81,1309,1203,"","","",""
57,"a7q6",82,2615,1203,"","",1,""
58,"a7q8",84,1377,1203,"","","",""
59,"a7q8_offer",84,2615,1203,3853,"",1,3858
60,"a7q9",85,2615,1203,"","",1,""
61,"a8q1",86,1422,1203,"","","",""
62,"a8q4",89,2615,1203,"","",1,""
63,"a8q5",90,1442,1203,"","","",""
64,"a8q6",91,2615,1203,"","",1,""
65,"a8q7",92,2615,1203,"","",1,""
66,"a9q2",94,2615,1203,"","",1,""
67,"a9q3",95,1628,1203,"","","",""
68,"a9q4",96,2615,1203,"","",1,""
69,"a9q5",97,2615,1203,"","",1,""
70,"a9q5_offer",97,2615,1203,3853,"",1,3858
71,"a10q1",98,1646,1203,"","","",""
72,"a10q2",99,1653,1203,"","","",""
73,"a10q3",100,2615,1203,"","",1,""
74,"a10q4",101,2615,1203,"","",1,""
75,"a10q5",102,1681,1203,"","","",""
76,"a10q6",103,2615,1203,"","",1,""
77,"atlas",175,2615,216,"","","",""
78,"heist_tutorial",126,2615,1203,3853,"",1,3858
79,"heist_quest_karst2",128,2615,1203,3853,"",1,3858
80,"heist_quest_karst3",129,2615,1203,3853,"",1,3858
81,"heist_quest_tibbs2",131,2615,1203,3853,"",1,3858
82,"heist_quest_tullina2",139,2615,1203,3853,"",1,3858
83,"heist_quest_faustus2",154,2615,1203,3853,"",1,3858
84,"heist_quest_kurai4",159,2615,871,"","","",""
85,"heist_quest_karst1",127,2615,942,"","","",""
86,"heist_quest_karst2_2",128,2615,943,"","","",""
87,"heist_quest_karst3_2",129,2615,944,"","","",""
88,"heist_quest_tibbs1",130,2615,945,"","","",""
89,"heist_quest_tibbs2_2",131,2615,946,"","","",""
90,"heist_quest_huck1",132,2615,947,"","","",""
91,"heist_quest_huck2",133,2615,948,"","","",""
92,"heist_quest_vinderi1",134,2615,949,"","","",""
93,"heist_quest_vinderi2",135,2615,950,"","","",""
