"rownum","BaseItemTypesKey","HeistAreasKey","i32"
0,8493,0,45
1,8494,1,0
2,8495,2,0
3,8496,3,0
4,8515,0,0
5,8497,4,0
6,8498,5,0
7,8499,6,45
8,8500,7,0
9,8501,8,0
10,8516,1,0
11,8517,8,0
12,8518,1,0
13,8519,7,0
14,8520,3,0
15,8521,0,0
16,8522,5,0
17,8523,2,0
18,8524,2,0
19,8525,7,0
20,8526,8,0
21,8527,3,0
22,8528,0,0
23,8529,0,0
24,8530,2,0
25,8531,7,0
26,8532,4,0
27,8533,7,0
28,8534,7,0
29,8535,0,0
30,8536,1,0
31,8537,1,0
32,8538,3,0
33,8539,1,0
34,8540,7,0
35,8541,1,0
36,8542,8,0
37,8543,8,0
38,8544,2,81
39,8545,8,0
40,8546,8,0
41,8547,8,0
42,8548,8,81
