"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues"
0,"InnerTreasure",[6704],"",[],[],[]
1,"DropVaalItem",[],"",[],[2523],[50]
2,"AlwaysIgnite",[],"",[],"[4995,611]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1228],[100]
4,"Maimed",[],494,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4994,659]","[1,100]"
6,"TormentedExperimenterPossess","[8486,8577,8662,8664,8704]","",[],[],[]
7,"TormentedBlasphemerPossess","[8489,8575,8662,8664,8704]","",[],[],[]
8,"TormentedNecromancerPossess","[8492,8577,8662,8664,8704]","",[],[],[]
9,"TormentedArsonistPossess","[8495,8577,8662,8664,8704]","",[],[],[]
10,"TormentedThiefPossess","[8524,8578,8662,8664,8704]","",[],[],[]
11,"TormentedMutilatorPossess","[8537,8577,8662,8664,8704]","",[],[],[]
12,"TormentedCharlatanPossess","[8505,8577,8662,8664,8704]","",[],[],[]
13,"TormentedCannibalPossess","[8530,8577,8662,8664,8704]","",[],[],[]
14,"TormentedPoisonerPossess","[8498,8577,8662,8664,8704]","",[],[],[]
15,"TormentedCorrupterPossess","[8501,8578,8662,8664,8704]","",[],[],[]
16,"TormentedThugPossess","[8508,8575,8662,8664,8704]","",[],[],[]
17,"TormentedRoguePossess","[8511,8575,8512,8662,8664,8704]","",[],[],[]
18,"TormentedFishermanPossess","[8514,8578,8662,8664,8704]","",[],[],[]
19,"TormentedLibrarianPossess","[8517,8578,8662,8664,8704]","",[],[],[]
20,"TormentedCutthroatPossess","[8521,8575,8662,8664,8704]","",[],[],[]
21,"TormentedSpyPossess","[8527,8575,8662,8664,8704]","",[],[],[]
22,"TormentedMartyrPossess","[8534,8577,8662,8664,8704]","",[],[],[]
23,"TormentedEmbezzlerPossess","[8540,8578,8662,8664,8704]","",[],[],[]
24,"TormentedCounterfeiterPossess","[8546,8577,8662,8664,8704]","",[],[],[]
25,"TormentedWarlordPossess","[8549,8575,8662,8664,8704]","",[],[],[]
26,"TormentedFreezerPossess","[8553,8577,8662,8664,8704]","",[],[],[]
27,"TormentedSmugglerPossess","[8557,8555,8578,8662,8664,8704]","",[],[],[]
