"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","SiteVisibility","i32","i32","i32","bool","i32","[rid]","row","rid","bool","[rid]","[rid]","i32","i32","bool","rid","rid","bool","rid"
0,"Metadata/Items/Currency/CurrencyWeaponQuality",30,1,1,"Blacksmith's Whetstone","Metadata/Items/Currency/StackableCurrency",1,"",[],1,35,[348],30,0,0,0,0,"",1154719587,[],252,"","",[],[],-16843010,-16843010,"","","","",""
1,"Metadata/Items/Currency/CurrencyIdentification",30,1,1,"Scroll of Wisdom","Metadata/Items/Currency/StackableCurrency",1,"",[],1,27,[],30,256,0,0,0,"",1351093167,[7243],252,"","",[],[],-16843010,-16843010,"","","","",""
2,"Metadata/Items/Currency/CurrencyRerollRare",30,1,1,"Chaos Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],30,512,0,0,0,"",1934876153,[7484],252,"","",[],[],-16843010,-16843010,"","","","",""
3,"Metadata/Items/Currency/CurrencyRerollRareVeiled",30,1,1,"Veiled Chaos Orb","Metadata/Items/Currency/StackableCurrency",61,"",[],1,34,[],30,768,0,0,0,"",-1550851543,[],252,"","",[],[],-16843010,-16843010,"","","","",""
4,"Metadata/Items/Currency/CurrencyArmourQuality",30,1,1,"Armourer's Scrap","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[348],30,1024,0,0,0,"",-66826851,[],252,"","",[],[],-16843010,-16843010,"","","","",""
5,"Metadata/Items/Currency/CurrencyDuplicate",30,1,1,"Mirror of Kalandra","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],30,1536,0,0,0,"",2042772245,[],252,"","",[],[],-16843010,-16843010,"","","","",""
6,"Metadata/Items/Currency/CurrencyUpgradeToRare",30,1,1,"Orb of Alchemy","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],30,1792,0,0,0,"",-1861203649,[],252,"","",[],[],-16843010,-16843010,"","","","",""
7,"Metadata/Items/Currency/CurrencyUpgradeRandomly",30,1,1,"Orb of Chance","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],30,2048,0,0,0,"",-982307707,[7483],252,"","",[],[],-16843010,-16843010,"","","","",""
8,"Metadata/Items/Currency/CurrencyPassiveRefund",30,1,1,"Orb of Regret","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],30,2304,0,0,0,"",-1689566555,[],252,"","",[],[],-16843010,-16843010,"","","","",""
9,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",30,1,1,"Orb of Unmaking","Metadata/Items/Currency/StackableCurrency",70,"",[],1,34,[],30,2560,0,0,0,"",-402031475,[],252,"","",[],[],-16843010,-16843010,1,"","","",""
10,"Metadata/Items/Currency/CurrencyUpgradeToMagic",30,1,1,"Orb of Transmutation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],30,2816,0,0,0,"",1315720499,[],252,"","",[],[],-16843010,-16843010,"","","","",""
11,"Metadata/Items/Currency/CurrencyRerollMagic",30,1,1,"Orb of Alteration","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],30,3072,0,0,0,"",-684555689,[],252,"","",[],[],-16843010,-16843010,"","","","",""
12,"Metadata/Items/Currency/CurrencyConvertToNormal",30,1,1,"Orb of Scouring","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],30,3328,0,0,0,"",2131686967,"[148,8506]",252,"","",[],[],-16843010,-16843010,"","","","",""
13,"Metadata/Items/Currency/CurrencyAddModToRare",30,1,1,"Exalted Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],30,3840,0,0,0,"",-1068542423,[],252,"","",[],[],-16843010,-16843010,"","","","",""
14,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",30,1,1,"Regal Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],30,4096,0,0,0,"",-658682019,[8310],252,"","",[],[],-16843010,-16843010,"","","","",""
15,"Metadata/Items/Currency/CurrencyAddModToMagic",30,1,1,"Orb of Augmentation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],30,4352,0,0,0,"",-172267806,[],252,"","",[],[],-16843010,-16843010,"","","","",""
16,"Metadata/Items/Currency/CurrencyPortal",30,1,1,"Portal Scroll","Metadata/Items/Currency/StackableCurrency",2,"",[],1,27,[],30,4608,0,0,0,"",1328218349,[],252,"","",[],[],-16843010,-16843010,"","","","",""
17,"Metadata/Items/Currency/CurrencyFlaskQuality",30,1,1,"Glassblower's Bauble","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[348],30,4864,0,0,0,"",-579550017,[7246],252,"","",[],[],-16843010,-16843010,"","","","",""
18,"Metadata/Items/Currency/CurrencyGemQuality",30,1,1,"Gemcutter's Prism","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[348],30,5120,0,0,0,"",128553707,[7734],252,"","",[],[],-16843010,-16843010,"","","","",""
19,"Metadata/Items/Currency/CurrencyRerollSocketColours",30,1,1,"Chromatic Orb","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],30,7424,0,0,0,"",471734571,[7732],252,"","",[],[],-16843010,-16843010,"","","","",""
20,"Metadata/Items/Currency/CurrencyRerollSocketLinks",30,1,1,"Orb of Fusing","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[],30,7680,0,0,0,"",-954468979,[],252,"","",[],[],-16843010,-16843010,"","","","",""
21,"Metadata/Items/Currency/CurrencyRerollSocketNumbers",30,1,1,"Jeweller's Orb","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[],30,7936,0,0,0,"",-577668719,[7983],252,"","",[],[],-16843010,-16843010,"","","","",""
22,"Metadata/Items/Currency/CurrencyModValues",30,1,1,"Divine Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],30,8192,0,0,0,"",-2147189507,[8308],252,"","",[],[],-16843010,-16843010,"","","","",""
23,"Metadata/Items/Currency/CurrencyRerollImplicit",30,1,1,"Blessed Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],30,8448,0,0,0,"",764311090,[],252,"","",[],[],-16843010,-16843010,"","","","",""
24,"Metadata/Items/Currency/CurrencyRerollDefences",30,1,1,"Sacred Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],30,8704,0,0,0,"",1784206883,[],252,"","",[],[],-16843010,-16843010,"","","","",""
25,"Metadata/Items/Currency/CurrencyMapQuality",30,1,1,"Cartographer's Chisel","Metadata/Items/Currency/StackableCurrency",52,"",[],1,34,[348],30,1280,0,0,0,"",-601787753,[7485],252,"","",[],[],-16843010,-16843010,"","","","",""
