"rownum","ModsKey","i32","i32","i32"
0,21681,2,9,100
1,21682,10,14,100
2,21683,15,20,100
3,21691,21,30,50
4,21684,2,9,100
5,21685,10,14,100
6,21686,15,30,100
7,21597,15,30,10
8,21598,15,30,10
9,21599,15,30,10
10,21600,10,14,0
11,21601,15,30,0
12,21602,10,14,0
13,21603,15,30,0
14,21604,10,14,0
15,21605,15,30,0
16,21606,10,14,20
17,21607,15,30,20
18,21608,5,14,35
19,21609,15,30,35
20,21610,5,9,50
21,21611,10,15,50
22,21612,15,30,50
23,21613,2,9,25
24,21614,10,14,25
25,21615,15,20,25
26,21696,21,30,25
27,21616,5,9,25
28,21617,10,14,25
29,21618,15,30,25
30,21619,5,9,25
31,21620,10,14,25
32,21621,15,30,25
33,21622,2,9,25
34,21623,10,14,25
35,21624,15,20,25
36,21697,21,30,25
37,21625,5,9,25
38,21626,10,14,25
39,21627,15,30,25
40,21628,5,9,25
41,21629,10,14,25
42,21630,15,30,25
43,21631,2,9,25
44,21632,10,14,25
45,21633,15,20,25
46,21694,21,30,25
47,21634,5,9,25
48,21635,10,14,25
49,21636,15,30,25
50,21637,5,9,25
51,21638,10,14,25
52,21639,15,30,25
53,21640,2,9,25
54,21641,10,14,25
55,21642,15,20,25
56,21695,21,30,25
57,21643,10,14,25
58,21644,15,17,25
59,21645,15,30,25
60,21646,5,9,25
61,21647,10,14,25
62,21648,15,30,25
63,21649,2,9,25
64,21650,10,14,25
65,21651,15,20,25
66,21698,21,30,25
67,21652,10,14,25
68,21653,15,17,25
69,21654,18,30,25
70,21655,10,14,20
71,21656,15,30,20
72,21657,2,9,20
73,21658,10,14,20
74,21659,15,30,20
75,21660,10,14,10
76,21661,15,17,10
77,21662,15,30,10
78,21663,2,9,100
79,21664,10,14,100
80,21665,15,30,100
81,21666,10,14,25
82,21667,15,30,25
83,21668,10,14,25
84,21669,15,30,25
85,21670,10,14,25
86,21671,15,30,25
87,21672,10,14,0
88,21673,15,30,0
89,21674,10,14,10
90,21675,15,20,10
91,21693,21,30,10
92,21676,10,14,10
93,21677,15,30,10
94,21678,2,9,30
95,21679,10,14,30
96,21680,15,30,30
97,21687,2,9,40
98,21688,10,14,40
99,21689,15,20,40
100,21692,21,30,40
