"rownum","JewelName","Limit"
0,611,1
1,483,1
2,488,1
3,487,1
4,489,1
5,492,1
6,493,1
7,495,1
8,496,1
9,498,1
10,506,1
11,507,1
12,510,1
13,511,1
14,512,1
15,520,1
16,521,1
17,522,1
18,523,1
19,525,1
20,526,1
21,703,1
22,704,1
23,705,1
24,706,1
25,728,1
26,801,1
27,836,1
28,837,1
29,838,1
30,839,1
31,840,1
32,841,1
33,877,1
34,875,2
35,874,1
36,873,2
37,863,2
38,872,1
39,871,2
40,869,2
41,868,1
42,864,1
43,865,1
44,867,2
45,866,2
46,882,2
47,883,1
48,629,2
49,594,1
50,870,1
51,591,2
52,610,1
53,613,1
54,612,1
55,630,1
56,631,1
57,786,2
58,528,1
59,527,1
60,529,1
61,530,1
62,531,1
63,532,1
64,533,1
65,628,1
66,718,3
67,517,1
68,901,2
69,902,2
70,913,1
71,957,2
72,963,1
73,958,1
74,982,1
75,964,1
76,1083,2
77,518,1
78,1085,1
79,1114,2
80,1166,1
81,548,1
82,1182,1
83,1183,1
84,504,1
85,502,1
86,1233,2
87,1285,1
88,524,1
89,1269,1
90,1286,1
91,1287,1
92,499,1
93,959,1
94,505,1
95,1347,1
96,1348,1
97,1359,1
98,1360,1
99,1361,1
