"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","rid","bool","[rid]","[rid]","[rid]","[rid]","i32","bool","rid"
0,"ignited","You're on fire","","","Ignited",[8077],"",13,"","","",1,21,2,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[8077],[14573],0,"",""
1,"chilled","You are slowed","","","Chilled",[8413],1,13,"","","",1,1,3,"","",2,"",1,1,"",0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],[8413],[14574],16842752,"",""
2,"frozen","Frozen solid","","","Frozen",[12446],1,13,"","","",1,21,4,"","",2,"",1,1,"",0,"","FreezeBuff","","","","","",4,"","",0,[],"","","","",[],[],[12446],"[14575,1999]",16777216,"",""
3,"shocked","You take up to 50% increased Damage","","","Shocked",[477],"",13,"","","",1,2,5,"","",2,"",1,1,"",0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],[477],[14576],16842752,"",""
4,"sprinting","Increased movement velocity","",1,"Faster Run",[177],1,2,"","","","",21,7,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[177],[],0,"",""
5,"flask_effect_life","",1,"","Healing",[7698],1,5,"","","","",21,0,1,"",4,"",1,"",1,0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],[7698],[],0,"",""
6,"grace_period","You can't be damaged","",1,"Grace Period","[140,861,1304,8164,2975,6829,6828]",1,2,"","","","",21,8,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[140,861,1304,8164,2975,6829,6828]",[],0,"",""
7,"god_mode","You cannot be damaged","",1,"Invulnerability",[140],1,3,"","","","",21,9,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[140],[],0,"",""
8,"experience","Increased experience for 30 seconds","",1,"Increased Experience",[157],1,2,"","","","",21,10,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[157],[],0,"",""
9,"flask_effect_mana","",1,"","Regenerating Mana",[7699],1,5,"","","","",14,0,1,"",4,"",1,"",1,0,"","",1,"","","","",4,"","",0,[],"","","","",[],[],[7699],[],0,"",""
10,"poison","You take chaos damage","","","Poisoned",[8078],1,1,1,"","",1,21,11,"",1,2,"",1,1,"",0,"","","","","","","",2,"","",0,[],"","","","",[],[],[8078],[14577],256,"",""
11,"blood_rage","Taking Physical Damage over time based on Life and Energy Shield, while increasing Attack Speed and Life Leech. Killing an enemy refreshes the buff duration and can grant a Frenzy Charge.","","","Blood Rage","[70,3094,2566,3060,1352,12810,3114]",1,2,"","","",1,21,13,1,"",1,"",1,1,"",0,"","BloodRageBuff","","","","","",4,"","",0,[],"","","","",[454],[],"[70,3094,2566,3060,1352,12810,3114,454]",[],0,"",""
12,"righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Righteous Fire","[880,25,879,1903]",1,2,"","","",1,21,15,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[880,25,879,1903]",[],0,"",""
13,"righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1977],"",3,"","","","",21,19,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","","",4,1,"",0,[],"","","","",[],[],[1977],[],0,"",""
14,"demon_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Unrighteous Fire","[880,25,879,1903]",1,2,"","","",1,21,24,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[880,25,879,1903]",[],0,"",""
15,"demon_righteous_fire_aura","You are taking burning damage from being near an enemy using Unrighteous Fire","","","Unrighteous Fire",[1977],"",3,"","","","",21,25,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1977],[],0,"",""
16,"avatar_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Righteous Fire","[880,25,2533]",1,2,"","","",1,21,16,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[880,25,2533]",[],0,"",""
17,"avatar_righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1977],"",3,"","","","",21,20,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[1977],[],0,"",""
18,"invisible_fire_aura","",1,"","","[4937,4937,4937]",1,3,"","","","",21,0,1,"",2,"",1,1,"",0,"","InvisibleFireAura","","","","","",4,"","",0,[],"","","","",[],[],"[4937,4937,4937]",[],0,"",""
19,"invisible_fire_debuff","You are taking Burning Damage from a Creeping Agony","","","Creeping Agony",[1977],"",3,"","","","",21,30,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1977],[],0,"",""
20,"invisible_holy_fire_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1977],"",3,"","","","",21,33,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,"","",0,[],"","","","",[],[],[1977],[],0,"",""
