"rownum","Id","Name","rid","ItemClassCategory","RemovedIfLeavesArea","[rid]","[rid]","AllocateToMapOwner","AlwaysAllocate","CanHaveVeiledMods","i32","i32","AlwaysShow","CanBeCorrupted","CanHaveIncubators","CanHaveInfluence","CanBeDoubleCorrupted","CanHaveAspects","CanTransferSkin","ItemStance","CanScourge","bool","bool"
0,"LifeFlask","Life Flasks",28,0,"",[],[],"","","",2615,1203,"","","","","","",1,"","","",1
1,"ManaFlask","Mana Flasks",29,0,"",[],[],"","","",2615,1203,"","","","","","",1,"","","",1
2,"HybridFlask","Hybrid Flasks",30,0,"",[],[],"","","",2615,1203,"","","","","","",1,"","","",1
3,"Currency","Currency",38,5,"",[],[],"",1,"",2615,1203,"","","","","","","","","","",""
4,"Amulet","Amulets",21,6,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,"",1,1,1
5,"Ring","Rings",22,7,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,"",1,1,1
6,"Claw","Claws",4,8,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,0,1,1,1
7,"Dagger","Daggers",5,3,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,1,1,1,1
8,"Wand","Wands",6,9,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,2,1,1,1
9,"One Hand Sword","One Hand Swords",7,2,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,3,1,1,1
10,"Thrusting One Hand Sword","Thrusting One Hand Swords",8,2,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,4,1,1,1
11,"One Hand Axe","One Hand Axes",9,10,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,3,1,1,1
12,"One Hand Mace","One Hand Maces",10,1,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,3,1,1,1
13,"Bow","Bows",13,11,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,5,1,1,1
14,"Staff","Staves",14,4,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,6,1,1,1
15,"Two Hand Sword","Two Hand Swords",15,12,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,7,1,1,1
16,"Two Hand Axe","Two Hand Axes",16,13,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,8,1,1,1
17,"Two Hand Mace","Two Hand Maces",17,14,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,8,1,1,1
18,"Active Skill Gem","Active Skill Gems",26,15,"",[],[],"",1,"",2615,1203,"",1,"","","","","","","","",""
19,"Support Skill Gem","Support Skill Gems",27,16,"",[],[],"",1,"",2615,1203,"",1,"","","","","","","","",""
20,"Quiver","Quivers",19,17,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,9,1,1,1
21,"Belt","Belts",23,18,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,"",1,1,1
22,"Gloves","Gloves",0,19,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,"",1,1,1
23,"Boots","Boots",1,20,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,"",1,1,1
24,"Body Armour","Body Armours",2,21,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,"",1,1,1
25,"Helmet","Helmets",3,22,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,"",1,1,1
26,"Shield","Shields",20,23,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,10,1,1,1
27,"SmallRelic","Small Relics","","","",[],[],"","","",2615,1203,"","","","","","","","","","",""
28,"MediumRelic","Medium Relics","","","",[],[],"","","",2615,1203,"","","","","","","","","","",""
29,"LargeRelic","Large Relics","","","",[],[],"","","",2615,1203,"","","","","","","","","","",""
30,"StackableCurrency","Stackable Currency",38,5,"",[],[],"",1,"",2615,1203,"","","","","","","","","","",""
31,"QuestItem","Quest Items","",24,"",[],[],"","","",2615,1203,1,"","","","","","","","","",""
32,"Sceptre","Sceptres",11,1,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,3,1,1,1
33,"UtilityFlask","Utility Flasks",31,0,"",[],[],"","","",2615,1203,"","","","","","",1,"","","",1
34,"UtilityFlaskCritical","Critical Utility Flasks",31,0,"",[],[],"","","",2615,1203,"","","","","","",1,"","","",1
35,"Map","Maps",33,25,"",[],[],"",1,"",1783,1203,"",1,"","","","","","",1,"",""
36,"Unarmed","","","","",[],[],"","","",2615,1203,"","","","","","",1,"","","",""
37,"FishingRod","Fishing Rods","",26,"",[],[],"","","",2615,1203,"",1,1,"",1,1,1,7,1,1,""
38,"MapFragment","Map Fragments",36,27,"",[],[],1,1,"",2615,1203,"","","","","","","","","","",""
39,"HideoutDoodad","Hideout Doodads","","","",[],[],"","","",2615,1203,"","","","","","","","","","",""
40,"Microtransaction","Microtransactions",50,"","",[],[],"","","",2615,1203,"","","","","","","","","","",""
41,"Jewel","Jewels",34,28,"",[],[],"",1,"",1776,1203,"",1,"","",1,"","","","","",""
42,"DivinationCard","Divination Cards",39,29,"",[],[],"",1,"",1777,1203,"","","","","","","","","","",""
43,"LabyrinthItem","Labyrinth Items","",30,1,[],[],"","","",2615,1203,1,"","","","","","","","","",""
44,"LabyrinthTrinket","Labyrinth Trinkets","",31,1,[],[],"","","",2615,1203,1,"","","","","","","","","",""
45,"LabyrinthMapItem","Labyrinth Map Items","",27,"",[],[],1,1,"",2615,1203,"","","","","","","","","","",""
46,"MiscMapItem","Misc Map Items",37,32,"",[],[],"",1,"",2615,1203,"",1,"","","","","","","","",""
47,"Leaguestone","Leaguestones",32,33,"",[],[],"",1,"",2615,1203,"","","","","","","","","","",""
48,"PantheonSoul","Pantheon Souls","",34,"",[],[],"","","",2615,1203,1,"","","","","","","","","",""
49,"UniqueFragment","Pieces",40,35,"",[],[],1,1,"",2615,1203,"","","","","","","","","","",""
50,"AbyssJewel","Abyss Jewels",35,36,"",[],[],"",1,"",2615,1203,"",1,"","",1,"","","","","",""
51,"IncursionItem","Incursion Items","",37,1,[],[],1,"","",2615,1203,1,"","","","","","","","","",""
52,"DelveSocketableCurrency","Delve Socketable Currency",42,38,"",[],[],"",1,"",2615,1203,"","","","","","","","","","",""
53,"Incubator","Incubators",44,39,"",[],[],"",1,"",2615,1203,"","","","","","","","","","",""
54,"UniqueShard","Shards","","","",[],[],"","","",2615,1203,"","","","","","","","","","",""
55,"UniqueShardBase","Shard Hearts","","","",[],[],"","","",2615,1203,"","","","","","","","","","",""
56,"Rune Dagger","Rune Daggers",12,3,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,1,1,1,1
57,"Warstaff","Warstaves",18,4,"",[],[],"","",1,2615,1203,"",1,1,1,1,1,1,6,1,1,1
58,"DelveStackableSocketableCurrency","Delve Stackable Socketable Currency",42,38,"",[],[],"",1,"",2615,1203,"","","","","","","","","","",""
59,"AtlasUpgradeItem","Atlas Upgrade Items","",40,"",[],[],"","","",2615,607,"","","","","","","","","","",""
60,"MetamorphosisDNA","Metamorph Samples",46,41,"",[],[],1,1,"",2615,1203,"","","","","","","","","","",""
