"rownum","Id","StatsKey","bool","StatMin","StatMax","bool"
0,"IsMagic",1946,"",1,1,""
1,"IsRare",1946,"",2,2,""
2,"IsUnique",1946,"",3,3,""
3,"IsTwinned",981,1,1,1,""
4,"IsUnidentified",1358,1,1,1,""
5,"IsCorrupted",2524,1,1,1,""
6,"Has8ExplicitMods",4495,1,8,8,""
7,"Has10TotalMods",6498,1,10,10,""
8,"Has3Leaguestones",5802,1,3,3,""
9,"HasZanaMod",7694,1,1,1,""
10,"HasCraftedMods",7695,1,1,1,""
11,"HasShaperInfluence",6834,"",1,1,""
12,"HasElderInfluence",6834,"",2,2,""
13,"HasShaperOrElderInfluence",6834,"",1,2,""
14,"IsWhiteTier",10024,"",1,5,""
15,"IsYellowTier",10024,"",6,10,""
16,"IsRedTier",10024,"",11,16,""
17,"HasSextantMod",5835,1,1,1,""
18,"HasNemesisSextant",4935,1,1,1,""
19,"HasGroundHasteSextant",5056,1,1,1,""
20,"HasNoReflectSextant",5082,1,1,1,""
21,"HasExtraTeamMonstersSextant",5090,1,1,1,""
22,"HasBodyguardsSextant",5119,1,1,1,""
23,"HasBarrelSextant1",5116,1,1,1,""
24,"HasBarrelSextant2",5143,1,1,1,""
25,"HasBarrelSextant3",5144,1,1,1,""
26,"HasBarrelSextant4",5145,1,1,1,""
27,"HasBarrelSextant5",5146,1,1,1,""
28,"HasBarrelSextant6",5147,1,1,1,""
29,"HasConvertOnDeathSextant",5089,1,1,1,""
30,"HasOnslaughtIfHitRecentlySextant",5039,1,1,1,""
31,"HasQualityAffectsRaritySextant",5074,1,1,1,""
32,"HasCorruptedDropsSextant",5076,1,1,1,""
33,"HasMinStrongboxRaritySextant",5142,1,1,1,""
34,"HasPossessedRustedScarabSextant",9344,1,1,1,""
35,"HasPossessedPolishedScarabSextant",9345,1,1,1,""
36,"HasPossessedGildedScarabSextant",9346,1,1,1,""
37,"HasPossessedWingedScarabSextant",9347,1,1,1,""
38,"HasPossessedUniqueDropSextant",9348,1,1,1,""
39,"HasPossessedMapDropSextant",9349,1,1,1,""
40,"HasShrineDurationSextant",5715,1,1,1,""
41,"HasCurrencyShardSextant",9353,1,1,1,""
42,"HasVaalMonstersSextant",9378,1,1,1,""
43,"HasBeyondSextant",9369,1,1,1,""
44,"HasTormentBetrayersSextant",9407,1,1,1,""
45,"HasTormentHereticsSextant",9408,1,1,1,""
46,"HasTormentGraverobbersSextant",9406,1,1,1,""
47,"HasCorruptEssenceSextant",9823,1,1,1,""
48,"HasTempests",3123,1,1,1,""
49,"HasLegionSextant",9366,1,1,1,""
50,"HasQuality",5075,1,20,20,""
51,"IsDeliriumMap",11521,1,1,1,""
52,"IsMaximumDelirium",11521,1,100,100,""
53,"AwakeningLevel8",10718,1,8,8,""
54,"ContainsElderGuardian",6554,1,1,1,""
55,"IsBlightedMap",10355,1,1,1,""
56,"IsT10PlusHellscapeMap",15097,1,10,10,""
57,"HasIncreasedAreaOfEffect",3248,1,1,1,""
58,"HasMinusMaxResistances",1009,"",-1,-1,1
59,"HasAdditionalProjectiles",996,1,1,1,""
60,"HasAttackSpeed",992,1,1,1,""
61,"HasCastSpeed",993,1,1,1,""
62,"HasMovementSpeed",991,1,1,1,""
63,"Has4SextantMods",5835,1,4,4,""
64,"HasTangleInfluence",10610,"",1,1,""
65,"HasCleansingFireInfluence",10610,"",2,2,""
