"rownum","Id","MonsterVarieties","i32","bool","i32","i32","bool","bool","bool"
0,"FireMeteor",[8312],999,"",4000,4000,"","",1
1,"FireMeteorUber",[8313],999,"",4000,4000,"","",1
2,"ColdRotatingBeam",[8314],1,"",800,0,1,"",""
3,"ColdRotatingBeamUber",[8315],1,"",800,0,1,"",""
4,"ChaosSoulrendPortal",[8316],999,"",6000,6000,"","",1
5,"ChaosSoulrendPortalUber",[8317],999,"",6000,6000,"","",1
6,"LightningPylon",[8318],16,"",50,0,"",1,""
7,"LightningPylonUber",[8319],16,"",50,0,"",1,""
8,"Necromantic1","[3613,3614,3615,3616,3617,3618,3619,3620,3621,3622,3623,3624,3627,3628,3629,3630,3631,3632,3633,3634]",4,1,6000,0,"","",1
9,"Necromantic2","[3613,3614,3615,3616,3617,3618,3619,3620,3621,3622,3623,3624,3627,3628,3629,3630,3631,3632,3633,3634]",5,1,5000,0,"","",1
10,"Necromantic3","[3613,3614,3615,3616,3617,3618,3619,3620,3621,3622,3623,3624,3626,3627,3628,3629,3630,3631,3632,3633,3634]",6,1,4000,0,"","",1
11,"Necromantic4","[3613,3614,3615,3616,3617,3618,3619,3620,3621,3622,3623,3624,3626,3627,3628,3629,3630,3631,3632,3633,3634]",7,1,3000,0,"","",1
12,"Vaal",[8320],1,"",800,0,1,"",""
13,"Golden",[8321],999,"",4000,0,"","",1
14,"PhysicalBleed",[8323],999,"",8000,0,"","",1
15,"PhysicalBleedUber",[8324],4,"",5000,0,"",1,1
16,"ChaosGreenVines",[8330],1,"",800,0,1,"",""
17,"GenericLifeQuicksand",[8327],999,"",2000,2000,"","",1
18,"GenericCharges",[8325],1,"",300,0,1,"",""
19,"GenericMassive",[8326],1,"",300,0,1,"",""
20,"GenericSpeed",[8322],1,"",300,0,1,"",""
21,"GenericFortify",[8328],999,"",5000,0,"","",1
22,"GenericEnergyShield",[8329],1,"",300,0,1,"",""
23,"UltimatumChaosCloud1",[8481],1,"",1000,0,"","",""
24,"UltimatumChaosCloud2",[8482],1,"",1000,0,"","",""
25,"UltimatumChaosCloud3",[8483],1,"",1000,0,"","",""
26,"UltimatumLightningRune1",[8484],5,"",50,0,"",1,1
27,"UltimatumLightningRune2",[8485],5,"",50,0,"",1,1
28,"UltimatumLightningRune3",[8485],9,"",50,0,"",1,1
29,"UltimatumLightningRune1Trial",[8484],3,"",50,0,"","",""
30,"UltimatumLightningRune2Trial",[8485],3,"",50,0,"","",""
31,"UltimatumFlameSpitter1",[8508],2,"",50,0,"",1,1
32,"UltimatumFlameSpitter2",[8508],4,"",50,0,"",1,1
33,"UltimatumFlameSpitter3",[8509],4,"",50,0,"",1,1
34,"UltimatumFlameSpitter1Trial",[8508],1,"",0,0,"",1,1
35,"UltimatumFlameSpitter2Trial",[8508],2,"",50,0,"",1,1
36,"UltimatumFlameSpitter3Trial",[8509],2,"",50,0,"",1,1
37,"UltimatumFrostInfection1",[8492],1,"",0,0,1,"",""
38,"UltimatumFrostInfection2",[8493],1,"",0,0,1,"",""
39,"UltimatumFrostInfection3",[8494],1,"",0,0,1,"",""
40,"UltimatumGraveyard1",[8506],2,"",50,0,"",1,1
41,"UltimatumGraveyard2",[8506],4,"",50,0,"",1,1
42,"UltimatumGraveyard3",[8507],4,"",50,0,"",1,1
43,"UltimatumGraveyard1Trial",[8506],1,"",0,0,"",1,1
44,"UltimatumGraveyard2Trial",[8506],2,"",50,0,"",1,1
45,"UltimatumGraveyard3Trial",[8507],2,"",50,0,"",1,1
46,"UltimatumRevenant1",[8497],1,"",0,0,"",1,1
47,"UltimatumRevenant2",[8498],1,"",0,0,"",1,1
48,"UltimatumRevenant3",[8499],1,"",0,0,"",1,1
49,"UltimatumSawblade1",[8500],1,"",0,0,1,"",""
50,"UltimatumSawblade2",[8501],1,"",0,0,1,"",""
51,"UltimatumSawblade3",[8502],1,"",0,0,1,"",""
52,"UltimatumTotemPhys",[8511],1,"",0,0,"",1,1
53,"UltimatumTotemEle",[8512],1,"",0,0,"",1,1
