"rownum","Id","[i32]","[i32]","VolumePercentage","i32","i32","i32","i32"
0,"Tarkleigh1","[32,0,120,0,208,0,296,0,384,0,472]",[],100,2615,2615,1203,1203
1,"Tarkleigh2","[1112,0,1196,0,1280,0]",[],100,2615,2615,1203,1203
2,"Nessa1","[1680,0,1770,0,1860,0,1950,0,2040,0]",[],100,2615,2615,1203,1203
3,"Nessa2","[2676,0,2762,0,2848,0,2934,0,3020,0,3106,0,3192,0,3278]",[],100,2615,2615,1203,1203
4,"Bestel1","[4104,0,4176,0,4248,0,4320,0,4392,0,4464,0]",[],100,2615,2615,1203,1203
5,"Act1Fairgraves2","[5098,0,5210]",[],100,2615,64,1203,1203
6,"Eramir1","[5476,0,5570,0,5664,0,5758,0,5852,0,5946,0,6040,0,6134]",[],100,2615,2615,1203,1203
7,"Eramir2","[6912,0,6990,0,7068,0,7146,0]",[],100,2615,2615,1203,1203
8,"Yeena1","[7616,0,7698,0,7780,0,7862,0,7944,0,8026,0,8108,0,8190,0,8272,0,8354,0,8436,0]",[],100,2615,2615,1203,1203
9,"Yeena2","[9612,0,9690,0,9768,0,9846,0,9924,0,10002,0,10080,0,10158,0,10236,0,10314]",[],100,2615,2615,1203,1203
10,"Greust1","[11264,0,11358,0,11452,0,11546,0,11640,0,11734,0,11828,0,11922,0]",[],100,2615,2615,1203,1203
11,"Greust2","[12914,0,13012,0,13110,0,13208,0,13306,0,13404,0,13502]","[2,2,2,4,4,4,3,3,3,3,4,4,4]",100,2615,2615,1203,1203
12,"Silk1","[14358,0,14426,0,14494,0,14562,0,14630,0,14698,0,14766,0,14834,0,14902,0,14970,0,15038,0]",[],100,2615,2615,1203,1203
13,"Silk1b","[16046,0,16114,0,16182,0,16250,0,16318,0]",[],100,2615,2615,1203,1203
14,"Hargan1","[16824,0,16896,0,16968,0,17040,0,17112,0,17184,0]",[],100,2615,2615,1203,1203
15,"Hargan2","[17802,0,17872,0,17944,0,18028,0,18112,0,18196]",[],100,2615,2615,1203,1203
16,"Act3Dialla1","[18814,0,18886,0,18960,0]",[],100,2615,2615,1203,1203
17,"Act3Dialla2","[19322,0,19394,0,19466,0,19538,0,19610,0,19694]",[],100,2615,2615,1203,1203
18,"Maramoa1","[20306,0,20396,0,20486,0,20576,0,20666,0,20756,0,20846,0,20936,0,21026,0,21116,0,21206,0]",[],100,2615,2615,1203,1203
19,"Maramoa2","[22482,0,22576,0,22670,0,22764,0,22858,0,22952,0,23046,0,23140,0,23234,0,23328,0,23422]",[],100,2615,2615,1203,1203
20,"Grigor1","[24642,0,24714,0,24786,0,24858]",[],100,2615,2615,1203,1203
21,"Grigor2","[25220,0,25294,0,25368,0,25442,0]",[],100,2615,2615,1203,1203
22,"Clarissa1","[25892,0,25982,0,26072,0,26162,0,26252]",[],100,2615,2615,1203,1203
23,"Clarissa2","[26796,0,26870,0,26946,0,27022]",[],100,2615,2615,1203,1203
24,"Helena1","[27400,0]",[],100,2615,2615,1203,1203
25,"Helena2","[27622,0,27696,0,27776,0,27856,0,27936,0,28016,0,28096]",[],100,2615,2615,1203,1203
26,"Siosa1","[28776,0,28844,0,28914,0,28982,0]",[],100,2615,2615,1203,1203
27,"Siosa2","[29408,0,29476,0,29546,0,29614,0]",[],100,2615,2615,1203,1203
28,"Act3Fairgraves1","[30058,0,30170]",[],100,2615,2615,1203,1203
29,"Kira1","[30432,0,30508,0,30584,0,30660,0]",[],100,2615,2615,1203,1203
30,"Kira2","[31118,0,31198,0,31278,0,31358,0]",[],100,2615,2615,1203,1203
31,"Oyun1","[31836,0,31908,0,31980,0,32052,0,32124,0,32196,0]",[],100,2615,2615,1203,1203
32,"Oyun2","[32810,0,32882,0,32954,0,33026,0,33098]",[],100,2615,2615,1203,1203
33,"PetarusVanja1","[33560,0,33684,0,33808,0,33932,0,34056,0,34180,0]",[],100,2615,2615,1203,1203
34,"PetarusVanja2","[35174,0,35298,0,35422,0,35546,0,35670,0,35794,0,35918]",[],100,2615,2615,1203,1203
35,"Act4Dialla1","[36916,0,37028,0,37140]",[],100,2615,2615,1203,1203
36,"Act4Dialla2","[37542,0,37654,0,37766,0]",[],100,2615,2615,1203,1203
37,"Act4DiallaRapture1","[38302,0,38414,0,38526]",[],100,2615,698,1203,1203
38,"Act4DiallaRapture2","[38942,0,39054,0,39166,0]",[],100,2615,698,1203,1203
39,"WitheredDialla1","[39696,0,39824,0,39952,0]",[],100,2615,2615,1203,1203
40,"WitheredDialla2","[40546,0,40674,0,40802,0]",[],100,2615,2615,1203,1203
41,"Tasuni1","[41380,0,41464,0,41548,0,41632,0,41716,0,41800]",[],100,2615,2615,1203,1203
42,"Tasuni2","[42410,0,42498,0,42586,0,42674,0,42762,0,42850,0,42938,0,43026,0,43114,0,43202,0,43290]",[],100,2615,2615,1203,1203
43,"Tora1","[44440,0,44516,0,44592]",[],100,2615,2615,1203,1203
44,"Catarina1","[44882,0,44974,0]",[],100,2615,2615,1203,1203
45,"Haku1","[45296,0,45372]",[],100,2615,2615,1203,1203
46,"Vorici1","[45566,0,45650]",[],100,2615,2615,1203,1203
47,"Vagan1","[45858,0,45938]",[],100,2615,2615,1203,1203
48,"Elreon1","[46140,0,46224]",[],100,2615,2615,1203,1203
49,"Zana1","[46430,0,46528,0,46626,0,46724,0,46822,0,46920,0,47018,0,47116]",[],100,2615,2615,1203,1203
50,"Zana2","[48034,0,48132,0,48230,0,48328,0,48426,0,48524,0,48622,0,48720]",[],100,2615,2615,1203,1203
51,"ZanaSynth1","[49648,0,49718,0]","[7,7,1,1]",100,2615,2615,1203,1203
52,"ZanaSynth2","[50004,0,50074,0]","[7,7,1,1]",100,2615,2615,1203,1203
53,"Leo1","[50332,0,50406,0,50480,0]",[],100,2615,2615,1203,1203
54,"Leo2","[50836,0,50910,0,50984,0]",[],100,2615,2615,1203,1203
55,"Cadiro1","[51346,0,51426,0,51506,0,51586,0]",[],100,2615,946,1203,1203
56,"Cadiro2","[52068,0,52148,0,52228,0,52308,0]",[],100,2615,946,1203,1203
57,"Navali1","[52790,0,52868,0,52946,0,53024,0,53102]",[],100,2615,2615,1203,1203
58,"Navali2","[53582,0,53660,0,53738,0,53816,0,53894,0,53972,0,54050,0]",[],100,2615,2615,1203,1203
59,"LeoLevel1",[54808],[],100,2615,2615,1203,1203
60,"LeoLevel2",[54908],[],100,2615,2615,1203,1203
61,"LeoLevel3","[55008,0,55078,0,55148]",[],100,2615,2615,1203,1203
62,"Bannon1","[55416,0,55492,0,55568,0,55644,0]",[],100,2615,2615,1203,1203
63,"Bannon2","[56106,0,56182,0,56258,0,56334,0]",[],100,2615,2615,1203,1203
64,"Vilenta1","[56798,0,56876,0,56954,0,57032,0,57110]",[],100,2615,2615,1203,1203
65,"Vilenta2","[57592,0,57670,0,57748,0,57826,0]",[],100,2615,2615,1203,1203
66,"Utula1","[58296,0,58370,0,58444,0,58518,0,58592,0,58666,0,58740,0,58814,0,58888]",[],100,2615,2615,1203,1203
67,"Utula2","[59706,0,59780,0,59854,0,59928,0,60002,0,60076,0,60150,0,60224]",[],100,2615,2615,1203,1203
68,"Lani1","[60950,0,61024,0,61098,0,61172,0,61246,0]",[],100,2615,2615,1203,1203
69,"Lani2","[61784,0,61858,0,61932,0]",[],100,2615,2615,1203,1203
70,"Weylam1","[62294,0,62372,0,62450,0,62528,0,62606,0,62684,0,62762,0,62840]",[],100,2615,2615,1203,1203
71,"Weylam2","[63602,0,63680,0,63758,0,63836,0,63914,0,63992,0,64070,0]",[],100,2615,2615,1203,1203
72,"Sin1","[64818,0,64890,0,64962,0,65034,0,65106,0,65178,0]",[],100,2615,2615,1203,1203
73,"Sin2","[65790,0,65862,0,65934,0,66006]",[],100,2615,2615,1203,1203
74,"IzaroTaunt","[66374,0,66498,0,66622,0,66746,0,66870,0,66994,0,67118,0,67242,0,67366,0,67490,0,67614,0,67738,0,67862,0,67986,0,68110,0,68234,0,68358,0,68482,0,68606,0,68730,0,68854,0,68978,0,69102,0,69226,0,69350,0,69474,0,69598,0,69722,0,69846,0,69970,0,70094,0]",[],100,2615,2615,1203,1203
75,"Einhar1","[74348,0,74438,0,74528,0,74618,0,74708,0,74798,0]",[],100,2615,2615,1203,1203
76,"Einhar2","[75548,0,75636,0,75724,0,75812,0,75900,0,75988,0,76076,0,76164,0,76252,0]",[],100,2615,2615,1203,1203
77,"Alva1","[77308,0,77384,0,77460,0]",[],100,2615,2615,1203,1203
78,"Alva2","[77826,0,77902,0,77978,0,78054,0,78130,0,78206]",[],100,2615,2615,1203,1203
79,"Niko1_1","[78768,0,78844,0,78920,0]",[],100,2615,2615,1203,24
80,"Niko1_2","[79290,0,79366,0,79442,0]",[],100,2615,2615,1203,24
81,"Niko2_1","[79812,0,79888,0,79964,0]",[],100,2615,2615,24,25
82,"Niko2_2","[80334,0,80410,0,80486,0]",[],100,2615,2615,24,25
83,"Niko3_1","[80856,0,80932,0,81008,0,81084,0]",[],100,2615,2615,25,26
84,"Niko3_2","[81546,0,81622,0,81698,0,81774,0,81850]",[],100,2615,2615,25,26
85,"Niko4_1","[82320,0,82396,0,82472,0]",[],100,2615,2615,26,27
86,"Niko4_2","[82842,0,82918,0,82994,0]",[],100,2615,2615,26,27
87,"Niko5_1","[83364,0,83440,0,83516,0,83592]",[],100,2615,2615,27,1203
