"rownum","Id","BaseItemTypesKey","i32","i32","i32","i32","i32","bool","i32"
0,"Metadata/Items/Currency/CurrencyWeaponQuality",0,507,79,0,1,1,1,0
1,"Metadata/Items/Currency/CurrencyIdentification",1,113,79,1,1,1,1,0
2,"Metadata/Items/Currency/CurrencyRerollRare",2,760,179,2,1,1,1,0
3,"Metadata/Items/Currency/CurrencyArmourQuality",4,590,78,3,1,1,1,0
4,"Metadata/Items/Currency/CurrencyDuplicate",5,478,179,4,1,1,1,0
5,"Metadata/Items/Currency/CurrencyUpgradeToRare",6,676,179,5,1,1,1,0
6,"Metadata/Items/Currency/CurrencyUpgradeRandomly",7,282,179,6,1,1,1,0
7,"Metadata/Items/Currency/CurrencyPassiveRefund",8,591,450,7,1,1,1,0
8,"Metadata/Items/Currency/CurrencyUpgradeToMagic",10,27,180,8,1,1,1,0
9,"Metadata/Items/Currency/CurrencyRerollMagic",11,112,179,9,1,1,1,0
10,"Metadata/Items/Currency/CurrencyConvertToNormal",12,591,534,10,1,1,1,0
11,"Metadata/Items/Currency/CurrencyAddModToRare",13,393,180,11,1,1,1,0
12,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",14,591,179,12,1,1,1,0
13,"Metadata/Items/Currency/CurrencyAddModToMagic",15,282,265,13,1,1,1,0
14,"Metadata/Items/Currency/CurrencyPortal",16,197,78,14,1,1,1,0
15,"Metadata/Items/Currency/CurrencyFlaskQuality",17,676,79,15,1,1,1,0
16,"Metadata/Items/Currency/CurrencyGemQuality",18,761,79,16,1,1,1,0
17,"Metadata/Items/Currency/CurrencyRerollSocketColours",19,281,366,17,1,1,1,0
18,"Metadata/Items/Currency/CurrencyRerollSocketLinks",20,196,366,18,1,1,1,0
19,"Metadata/Items/Currency/CurrencyRerollSocketNumbers",21,113,366,19,1,1,1,0
20,"Metadata/Items/Currency/CurrencyModValues",22,845,265,20,1,1,1,0
21,"Metadata/Items/Currency/CurrencyRerollImplicit",23,761,534,21,1,1,1,0
22,"Metadata/Items/Currency/CurrencyMapQuality",25,846,78,22,1,1,1,0
23,"Metadata/Items/Currency/CurrencyIdentificationShard",26,28,78,23,1,1,1,0
24,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",27,28,265,24,1,1,1,0
25,"Metadata/Items/Currency/CurrencyRerollMagicShard",28,113,265,25,1,1,1,0
26,"Metadata/Items/Currency/CurrencyUpgradeToRareShard",29,675,265,26,1,1,1,0
27,"Metadata/Items/Currency/CurrencyCorrupt",33,845,534,27,1,1,1,0
28,"CraftingSlot","",406,360,28,2,4,1,2
29,"Generic1","",182,680,30,1,1,1,2
30,"Generic2","",266,680,31,1,1,1,2
31,"Generic3","",351,680,32,1,1,1,2
32,"Generic4","",437,680,33,1,1,1,2
33,"Generic5","",522,680,34,1,1,1,2
34,"Metadata/Items/Currency/CurrencySilverCoin",40,266,860,35,1,1,"",0
35,"Metadata/Items/Currency/CurrencyAddAtlasMod",178,351,860,36,1,1,"",0
36,"Metadata/Items/Currency/CurrencyAddAtlasModMid",179,437,860,37,1,1,"",0
37,"Metadata/Items/Currency/CurrencyAddAtlasModHigh",180,591,366,38,1,1,1,0
38,"Metadata/Items/Currency/CurrencyPerandusCoin",39,182,860,39,1,1,"",0
39,"Generic6","",607,680,40,1,1,1,2
40,"Generic7","",694,680,41,1,1,1,2
41,"Generic8","",179,770,42,1,1,1,2
42,"Generic9","",265,770,43,1,1,1,2
43,"Generic10","",351,770,44,1,1,1,2
44,"Generic11","",437,770,45,1,1,1,2
45,"Generic12","",522,770,46,1,1,1,2
46,"Generic13","",607,770,47,1,1,1,2
47,"Generic14","",694,770,48,1,1,1,2
48,"Metadata/Items/Currency/CurrencyRerollRareShard",215,760,265,49,1,1,1,0
49,"Metadata/Items/Currency/CurrencyDuplicateShard",216,478,265,50,1,1,1,0
50,"Metadata/Items/Currency/CurrencyAddModToRareShard",217,393,264,51,1,1,1,0
