"rownum","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","i32","i32","i32","i32","i32","i32","bool","string","i32","bool","bool","i32","i32","bool"
0,1,2,20,60,10,0,4536,0,-20,-20,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0,0,""
1,2,4,20,110,69,0,4537,0,56,-46,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0,0,""
2,3,4,20,110,69,0,4537,0,56,-46,0,180,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0,0,""
3,4,1,20,160,-80,0,4537,0,80,-35,0,0,0,0,0,0,"","","",0,0,0,20,0,3,"","",2,1,"",0,0,""
4,5,2,20,60,10,0,4541,0,-20,-20,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0,0,""
5,6,6,24,160,60,0,4541,0,80,-35,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0,0,""
6,7,6,24,160,60,0,4541,0,80,-35,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",2,1,"",0,0,""
7,8,2,20,60,20,-45,4536,90,20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
8,9,2,30,165,58,-45,4537,90,58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
9,10,2,30,165,58,-135,4537,90,-58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
10,11,2,30,165,-58,45,4537,90,58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
11,12,2,30,165,-58,135,4537,90,-58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
12,13,6,24,100,20,-90,4541,60,20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,3,"","",4,1,"",0,0,""
