"rownum","Id","CharactersKey","BaseItemTypesKey","SocketColours","WorldAreasKey"
0,"Dex1",3,4357,"GGG",1306
1,"Dex2",3,5366,"",1306
2,"Dex3",3,5252,"",1306
3,"Dex4",3,5024,"",1306
4,"Dex5",3,1,"",1306
5,"Dex6",3,1,"",1306
6,"Dex7",3,5519,"",1306
7,"Dex8",3,5272,"",1306
8,"Dex9",3,4248,"GGR",1306
9,"Dex10",3,4248,"GGR",1306
10,"Dex11",3,5259,"",1306
11,"Dex12",3,5529,"",1306
12,"Str1",0,4301,"RRR",1306
13,"Str2",0,4588,"RRR",1306
14,"Str3",0,5336,"",1306
15,"Str4",0,5251,"",1306
16,"Str5",0,5024,"",1306
17,"Str6",0,1,"",1306
18,"Str7",0,1,"",1306
19,"Str8",0,4464,"RRR",1306
20,"Str9",0,5477,"",1306
21,"Str10",0,4301,"RRG",1306
22,"Int1",1,4135,"BBB",1306
23,"Int2",1,4627,"BBB",1306
24,"Int3",1,5244,"",1306
25,"Int4",1,5499,"",1306
26,"Int5",1,5024,"",1306
27,"Int6",1,1,"",1306
28,"Int7",1,1,"",1306
29,"Int8",1,5310,"",1306
30,"Int9",1,5525,"",1306
31,"Int10",1,4135,"BBG",1306
32,"Int11",1,4329,"BBB",1306
33,"Int12",1,4329,"BBG",1306
34,"StrDex1",4,4248,"GRG",1306
35,"StrDex2",4,4218,"GRR",1306
36,"StrDex3",4,5259,"",1306
37,"StrDex4",4,5252,"",1306
38,"StrDex5",4,5024,"",1306
39,"StrDex6",4,1,"",1306
40,"StrDex7",4,1,"",1306
41,"StrDex8",4,5255,"",1306
42,"StrDex9",4,5477,"",1306
43,"StrDex10",4,4414,"GRR",1306
44,"StrInt1",6,4329,"RBB",1306
45,"StrInt2",6,4329,"RBR",1306
46,"StrInt3",6,5251,"",1306
47,"StrInt4",6,5477,"",1306
48,"StrInt5",6,5024,"",1306
49,"StrInt6",6,1,"",1306
50,"StrInt7",6,1,"",1306
51,"StrInt8",6,5525,"",1306
52,"StrInt9",6,4386,"RRR",1306
53,"StrInt10",6,5499,"",1306
54,"DexInt1",5,4159,"BGG",1306
55,"DexInt2",5,4159,"BGB",1306
56,"DexInt3",5,5310,"",1306
57,"DexInt4",5,5024,"",1306
58,"DexInt5",5,1,"",1306
59,"DexInt6",5,1,"",1306
60,"DexInt7",5,5499,"",1306
61,"DexInt8",5,5384,"",1306
62,"DexInt9",5,5387,"",1306
63,"DexInt10",5,4135,"BBB",1306
64,"DexInt11",5,4135,"BGB",1306
65,"StrDexInt1",2,4218,"GRG",1306
66,"StrDexInt2",2,4439,"GRR",1306
67,"StrDexInt3",2,5423,"",1306
68,"StrDexInt4",2,5255,"",1306
69,"StrDexInt5",2,5024,"",1306
70,"StrDexInt6",2,1,"",1306
71,"StrDexInt7",2,1,"",1306
72,"StrDexInt8",2,4218,"GRR",1306
73,"StrDexInt9",2,5384,"",1306
74,"StrDexInt10",2,5310,"",1306
75,"StrDexInt11",2,4329,"BGR",1306
76,"StrDexInt12",2,4329,"BGB",1306
77,"StrDexInt13",2,5252,"",1306
78,"Dex2_1",3,5519,"",1321
79,"Dex2_2",3,5272,"",1321
80,"Dex2_3",3,5270,"",1321
81,"Dex2_4",3,5366,"",1321
82,"Dex2_5",3,5255,"",1321
83,"Dex2_6",3,1,"",1321
84,"Dex2_7",3,1,"",1321
85,"Dex2_8",3,5024,"",1321
86,"Dex2_9",3,4248,"G",1321
87,"Dex2_10",3,4248,"G",1321
88,"Dex2_11",3,4357,"GG",1321
89,"Dex2_12",3,4608,"G",1321
90,"Dex2_13",3,5529,"",1321
91,"Str2_1",0,5477,"",1321
92,"Str2_2",0,5251,"",1321
93,"Str2_3",0,5336,"",1321
