"rownum","Monster","SkillType","rid","[rid]","[i32]","rid","Animation","Stats","StatsValues","i32","rid","GrantedEffects","i32","rid","Script1","Script2","Mods","Name","i32","[rid]","i32","i32","[i32]","[rid]","[rid]","[rid]","MiscAnimations","bool"
0,1101,0,337,[],[],8818,"",[],[],0,344,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
1,1103,0,337,[],[],8818,"",[],[],0,344,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
2,1105,0,337,[],[],8818,"",[],[],0,344,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
3,4219,0,337,[],[],8818,"",[],[],0,344,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
4,4226,0,337,[],[],8818,"",[],[],0,344,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
5,4233,0,337,[],[],8818,"",[],[],0,344,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
6,4233,1,337,[1231],[20],6626,"",[],[],0,344,[7600],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],"Thrusting Strike",0,[],30,0,[],[],[],[],[],""
7,5982,0,337,[],[],8818,"",[],[],0,344,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
8,5983,0,337,[],[],8818,"",[],[],0,344,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
9,5984,0,337,[],[],8818,"",[],[],0,344,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
10,5985,0,337,[],[],8818,"",[],[],0,344,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
11,472,0,497,[10569],[1],8755,"",[],[],0,486,[],4,"","","",[],"Stone Shot",0,[],150,0,[],[],[],[],[],""
12,472,1,497,[10569],[1],8782,1,[],[],0,486,[],4,"","","",[],"Stone Shot",56,[],0,0,[],[],[],[],[],""
13,472,2,497,[10569],[1],8793,1,"[175,318,4553]","[200,400,1]",0,486,[],0,"","","",[],"Stone Snipe",53,[],0,0,[],[],[],[],[],""
14,472,3,497,[10569],[1],8786,1,[1212],[200],0,486,[],0,"","","",[],"Stone Shot",52,[],0,0,[],[],[],[],[],""
15,2684,0,337,[],[],8818,"",[],[],0,344,[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
16,2684,1,653,[],[],8774,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],0,0,[],[],[],[],[],""
17,2647,0,337,[],[],8818,"",[],[],0,344,[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
18,2647,1,653,[],[],8774,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],0,0,[],[],[],[],[],""
19,2652,0,337,[],[],8818,"",[],[],0,344,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
20,2652,2,1924,[],[],8838,51,"[173,2504]","[4,10]",0,"",[1925],0,"","","",[],"Flame Hurl",81,[],-50,0,[],[],[],[],[],""
21,2652,3,1924,[],[],8840,51,"[3213,5759]","[20,-40]",0,"",[1925],0,"","","",[],"Torch Toss",82,[],-50,0,[],[],[],[],[],""
22,2652,4,1924,[],[],8780,51,"[173,2504]","[0,5]",0,"",[1925],0,"","","",[],"Backburn",51,[],0,0,[],[],[],[],[],""
23,2687,0,337,[],[],8818,"",[],[],0,344,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
24,2687,2,1924,[],[],8838,51,"[173,2504]","[4,10]",0,"",[1925],0,"","","",[],"Flame Hurl",81,[],-50,0,[],[],[],[],[],""
25,2687,3,1924,[],[],8840,51,"[3213,5759]","[20,-40]",0,"",[1925],0,"","","",[],"Torch Toss",82,[],-50,0,[],[],[],[],[],""
26,2687,4,1924,[],[],8780,51,"[173,2504]","[0,5]",0,"",[1925],0,"","","",[],"Backburn",51,[],0,0,[],[],[],[],[],""
27,2710,0,337,[],[],8818,"",[],[],0,344,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
28,2710,3,2011,[214],[8],8804,51,"[175,634,6160]","[50,-60,2]",0,"",[],0,"","","",[],"Fire Breath",62,[],0,0,[],[],[],[],[],""
29,2650,0,346,[],[],8818,"",[],[],0,"",[],0,"","","",[],"Fire Strike",0,[],0,0,[],[],[],[],[],""
30,2650,1,2800,[],[],8799,24,[],[],0,"",[],0,"","","",[],"Flamecrack",57,[],0,0,[],[],[],[],[],""
31,2650,2,1097,[],[],8801,32,[],[],0,"",[],0,"","","",[],"Raise Burning Bones",58,[],0,0,[],[],[],[],[],""
32,2650,3,1234,[],[],8795,32,"[1821,612,357]","[20,50,-2400]",0,"",[],0,"","","",[],"Fire Storm",55,[],0,0,[],[],[],[],[],""
33,2650,4,1234,[2156],[3],8846,32,[],[],0,"",[],0,"","","",[],"Conflagration",0,[],-40,0,[],[],[],[],[],""
34,1138,0,337,[],[],8818,"",[],[],0,344,[],5,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
35,1141,0,337,[],[],8818,"",[],[],0,344,[],5,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
36,1144,0,337,[],[],8818,"",[],[],0,344,[],5,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
37,416,0,337,[],[],8818,"",[],[],0,344,[],0,"","","",[],"Lunging Bite",0,[],0,0,[],[],[],[],[],""
38,416,1,337,[1231],[20],6626,"",[],[],0,344,[7600],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],"Thrusting Strike",0,[],30,0,[],[],[],[],[],""
39,416,2,188,[],[],8811,"",[70],[-20],0,"","[5977,5989]",0,"","","on_event_footstep_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeFootstep );\""\r\non_event_contact_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeImpact );\""",[],"Charge Forward",0,[],0,0,[],[],[],[],[],""
