"rownum","Id","StatsKey","FormatText","i32"
0,"Mana",11732,"{0} Mana",1
1,"Life",13997,"{0} Life",1
2,"ES",14856,"{0} Energy Shield",1
3,"Rage",14034,"{0} Rage",1
4,"ManaPercent",13996,"{0}% Mana",1
5,"LifePercent",13998,"{0}% Life",1
6,"UnreservedManaPercent",14265,"[DNT] {0}% Unreserved Mana ",1
7,"ManaPerMinute",14686,"{0} Mana per second",60
8,"LifePerMinute",14687,"{0} Life per second",60
9,"ManaPercentPerMinute",14690,"{0}% Mana per second",60
10,"LifePercentPerMinute",14691,"{0}% Life per second",60
11,"ESPerMinute",14768,"{0) Energy Shield per second",60
12,"ESPercentPerMinute",14769,"{0}% Energy Shield per second",60
