"rownum","Id","[i32]","[i32]","Name"
0,"Shop","[128,128,128]","[255,255,255]","Shop"
1,"Pets","[128,128,128]","[255,255,255]","Pets"
2,"People","[128,128,128]","[255,255,255]","People"
3,"Plants","[128,128,128]","[255,255,255]","Plants"
4,"Trees","[128,128,128]","[255,255,255]","Trees"
5,"Nests","[128,128,128]","[255,255,255]","Nests"
6,"Furniture","[128,128,128]","[255,255,255]","Furniture"
7,"Cages","[128,128,128]","[255,255,255]","Cages"
8,"Rocks","[128,128,128]","[255,255,255]","Rocks"
9,"Crates","[128,128,128]","[255,255,255]","Crates"
10,"Barrels","[128,128,128]","[255,255,255]","Barrels"
11,"Containers","[128,128,128]","[255,255,255]","Containers"
12,"Ground","[128,128,128]","[255,255,255]","Ground"
13,"Water","[128,128,128]","[255,255,255]","Water"
14,"Walls","[128,128,128]","[255,255,255]","Walls"
15,"Effects","[128,128,128]","[255,255,255]","Effects"
16,"Weather","[128,128,128]","[255,255,255]","Weather"
17,"Lights","[128,128,128]","[255,255,255]","Lights"
18,"Carpets","[128,128,128]","[255,255,255]","Carpets"
19,"Debris","[128,128,128]","[255,255,255]","Debris"
20,"Statues","[128,128,128]","[255,255,255]","Statues"
21,"Barricades","[128,128,128]","[255,255,255]","Barricades"
22,"Tents","[128,128,128]","[255,255,255]","Tents"
23,"Stalls","[128,128,128]","[255,255,255]","Stalls"
24,"Equipment","[128,128,128]","[255,255,255]","Equipment"
25,"Machines","[128,128,128]","[255,255,255]","Machines"
26,"Pillars","[128,128,128]","[255,255,255]","Pillars"
27,"Stonework","[128,128,128]","[255,255,255]","Stonework"
28,"Carcasses","[128,128,128]","[255,255,255]","Carcasses"
29,"Bones","[128,128,128]","[255,255,255]","Bones"
30,"Vehicles","[128,128,128]","[255,255,255]","Vehicles"
31,"Banners","[128,128,128]","[255,255,255]","Banners"
