"rownum","DisplayLevel","Damage","Evasion","Accuracy","Life","Experience","AllyLife","i32","Difficulty","Damage2","i32","f32","f32","i32","i32","Armour"
0,"1",4.99,67,14,22,20,15,16,1,5.59,10,4.99,4.99,13,76,22
1,"2",5.56,86,15,26,20,17,23,1,6.17,12,5.56,5.56,15,102,26
2,"3",6.16,104,15,31,25,20,30,1,6.8,15,6.16,6.16,18,130,31
3,"4",6.81,124,16,36,38,23,39,1,7.46,18,6.81,6.81,22,159,36
4,"5",7.5,144,17,42,51,26,48,1,8.16,21,7.5,7.5,25,189,42
5,"6",8.23,166,18,48,67,30,59,1,8.9,25,8.23,8.23,29,220,48
6,"7",9,188,19,55,88,33,71,1,9.69,29,9,9,34,252,55
7,"8",9.82,211,20,62,113,37,84,1,10.53,34,9.82,9.82,38,286,62
8,"9",10.7,234,21,70,141,41,99,1,11.42,39,10.7,10.7,44,321,70
9,"10",11.62,259,23,78,173,46,115,1,12.36,44,11.62,11.62,49,358,78
10,"11",12.6,285,24,87,211,50,133,1,13.36,50,12.6,12.6,55,396,87
11,"12",13.64,311,25,97,250,55,152,1,14.42,56,13.64,13.64,62,435,97
12,"13",14.74,339,26,107,297,60,174,1,15.54,63,14.74,14.74,69,475,107
13,"14",15.91,368,28,119,347,66,198,1,16.72,70,15.91,15.91,77,518,119
14,"15",17.14,397,29,131,402,71,225,1,17.97,79,17.14,17.14,86,562,131
15,"16",18.45,428,31,144,461,77,254,1,19.3,87,18.45,18.45,95,607,144
16,"17",19.83,460,32,158,526,84,286,1,20.69,97,19.83,19.83,106,654,158
17,"18",21.29,493,34,173,596,91,321,1,22.17,107,21.29,21.29,117,703,173
18,"19",22.84,527,35,190,668,98,360,1,23.73,119,22.84,22.84,128,754,190
19,"20",24.47,563,37,207,748,105,402,1,25.38,131,24.47,24.47,141,806,207
20,"21",26.19,600,39,226,831,113,449,1,27.12,144,26.19,26.19,155,861,226
21,"22",28.01,638,41,246,921,122,500,1,28.96,158,28.01,28.01,170,917,246
22,"23",29.94,677,43,267,1013,131,556,1,30.9,174,29.94,29.94,187,975,267
23,"24",31.96,718,45,290,1113,140,616,1,32.95,191,31.96,31.96,204,1036,290
24,"25",34.11,760,47,315,1216,150,683,1,35.11,209,34.11,34.11,223,1098,315
25,"26",36.36,804,49,341,1325,161,756,1,37.38,228,36.36,36.36,244,1163,341
26,"27",38.75,849,52,370,1437,171,835,1,39.78,249,38.75,38.75,266,1230,370
27,"28",41.26,896,54,400,1560,183,922,1,42.31,272,41.26,41.26,290,1299,400
28,"29",43.91,944,57,432,1685,195,1016,1,44.98,296,43.91,43.91,316,1371,432
29,"30",46.7,994,59,467,1812,208,1120,1,47.79,323,46.7,46.7,344,1445,467
30,"31",49.65,1046,62,504,1950,222,1232,1,50.75,351,49.65,49.65,373,1521,504
31,"32",52.75,1100,65,543,2089,236,1354,1,53.87,382,52.75,52.75,406,1601,543
32,"33",56.01,1155,68,585,2235,251,1488,1,57.15,415,56.01,56.01,440,1683,585
33,"34",59.45,1212,71,630,2386,266,1633,1,60.6,450,59.45,59.45,478,1767,630
34,"35",63.08,1271,74,678,2543,283,1790,1,64.24,489,63.08,63.08,518,1855,678
35,"36",66.89,1332,77,730,2705,300,1962,1,68.07,530,66.89,66.89,561,1945,730
36,"37",70.91,1395,81,785,2873,318,2148,1,72.1,574,70.91,70.91,608,2038,785
37,"38",75.13,1460,84,843,3045,337,2351,1,76.33,621,75.13,75.13,658,2135,843
38,"39",79.58,1528,88,905,3227,357,2571,1,80.79,672,79.58,79.58,712,2235,905
39,"40",84.26,1597,92,972,3407,379,2811,1,85.48,727,84.26,84.26,769,2338,972
40,"41",89.18,1669,96,1042,3597,401,3070,1,90.41,786,89.18,89.18,831,2444,1042
41,"42",94.35,1743,100,1118,3796,424,3352,1,95.59,850,94.35,94.35,898,2554,1118
42,"43",99.8,1819,105,1198,3993,448,3658,1,101.04,917,99.8,99.8,970,2667,1198
43,"44",105.52,1898,109,1284,4203,474,3990,1,106.77,990,105.52,105.52,1046,2784,1284
44,"45",111.53,1979,114,1375,4415,501,4350,1,112.79,1069,111.53,111.53,1129,2904,1375
45,"46",117.86,2063,119,1472,4634,529,4740,2,119.12,1153,117.86,117.86,1217,3029,1472
