"rownum","rid","i32"
0,1199,3
1,1200,3
2,1201,3
3,1202,3
4,1203,3
5,1092,3
6,1188,3
7,1208,3
8,1212,3
9,1568,3
10,1569,3
11,1570,3
12,1571,3
13,1567,3
14,1566,3
15,1574,3
16,1572,3
17,1573,3
18,1575,3
19,1576,3
20,2019,3
21,3891,3
22,1693,3
23,1694,3
24,1695,3
25,1696,3
26,1697,3
27,1698,3
28,1699,3
29,1700,3
30,1701,3
31,1751,3
32,1752,3
33,1753,3
34,1754,3
35,1757,3
36,1760,3
37,1765,3
38,1772,3
39,3908,3
40,1777,3
41,1780,3
42,1990,3
43,1905,3
44,1906,3
45,1907,3
46,1908,3
47,1909,3
48,1910,3
49,1911,3
50,1912,3
51,1913,3
52,1914,3
53,1915,3
54,2085,3
55,2086,3
56,2087,3
57,2088,3
58,2089,3
59,2090,3
60,2091,3
61,2092,3
62,2093,3
63,2094,3
64,1130,2
65,1100,2
66,1199,2
67,1212,2
68,2251,2
69,457,2
70,1579,2
71,2112,2
72,575,2
73,1108,2
74,3930,2
75,1213,2
76,843,2
77,1549,2
78,1564,2
79,2017,2
80,2018,2
81,3891,2
82,1575,2
83,1576,2
84,1568,2
85,1572,2
86,1573,2
87,3762,2
88,3848,2
89,7046,2
90,6987,2
91,2123,2
92,516,2
93,869,2
94,883,2
95,698,2
96,1681,2
97,1684,2
98,1682,2
99,1687,2
100,1690,2
101,1692,2
102,1683,2
103,848,2
104,917,2
105,1770,2
106,1746,2
107,1766,2
108,1758,2
109,1763,2
110,1761,2
111,1755,2
112,802,2
113,809,2
114,873,2
115,1890,2
116,1895,2
117,1898,2
118,1891,2
119,1899,2
120,1903,2
121,1901,2
122,1750,2
123,1771,2
124,1767,2
125,1759,2
126,1764,2
127,1762,2
128,1756,2
129,1192,2
130,1140,2
131,1193,2
132,1186,2
133,1206,2
134,1128,2
135,1093,2
136,747,2
137,735,2
138,810,2
139,903,2
140,2081,2
141,2072,2
142,2078,2
143,2079,2
144,2080,2
145,2071,2
146,1197,2
147,1141,2
148,1198,2
149,1187,2
150,1207,2
151,1129,2
152,1094,2
153,640,2
154,1556,2
155,1558,2
156,1552,2
157,1565,2
158,1560,2
159,1559,2
160,1551,2
161,961,2
162,2067,2
163,2058,2
164,2064,2
165,2065,2
166,2066,2
167,2057,2
168,1880,2
169,1883,2
170,1877,2
171,1884,2
172,1888,2
173,1886,2
174,1876,2
175,528,2
176,1028,2
177,1003,2
178,1029,2
179,1031,2
180,1004,2
181,1038,2
182,3860,2
183,879,2
184,714,2
185,1541,2
186,1543,2
187,1537,2
188,1550,2
189,1545,2
190,1544,2
191,1536,2
192,847,2
193,1010,2
194,1006,2
195,1011,2
196,1030,2
197,1023,2
198,1016,2
199,1012,2
200,805,2
201,1666,2
202,1669,2
203,1667,2
204,1672,2
205,1675,2
206,1677,2
207,1668,2
208,1547,1
209,1562,1
210,1541,1
211,1556,1
212,1550,1
213,1565,1
214,3889,1
215,3890,1
216,1569,1
217,1570,1
218,3887,1
219,3853,1
220,1109,1
221,7490,1
222,1875,1
223,473,1
224,517,1
225,519,1
226,518,1
227,843,1
228,871,1
229,870,1
230,872,1
231,837,1
232,696,1
233,697,1
234,695,1
235,1100,1
236,3838,1
237,1679,1
238,1680,1
239,1678,1
240,1686,1
241,1685,1
242,3899,1
243,3900,1
244,636,1
245,915,1
246,916,1
247,914,1
248,912,1
249,1744,1
250,1745,1
251,1743,1
252,1768,1
253,1773,1
254,3906,1
255,1046,1
256,800,1
257,801,1
258,799,1
259,803,1
260,460,1
261,1904,1
262,1897,1
263,1900,1
264,1896,1
265,1894,1
266,3923,1
267,1035,1
268,1034,1
269,921,1
270,885,1
271,1074,1
272,1748,1
273,3907,1
274,1749,1
275,1747,1
276,1769,1
277,1774,1
278,1190,1
279,1191,1
280,1189,1
281,3879,1
282,745,1
283,746,1
284,744,1
285,743,1
286,1033,1
287,3855,1
288,2082,1
289,2075,1
290,3927,1
291,2076,1
292,2074,1
293,2083,1
294,1195,1
295,1196,1
296,1194,1
297,3878,1
298,1209,1
299,638,1
300,1130,1
301,639,1
302,637,1
303,1554,1
304,3893,1
305,1555,1
306,1553,1
307,1564,1
308,1563,1
309,2068,1
310,2062,1
311,2061,1
312,3925,1
313,2060,1
314,2069,1
315,1889,1
316,1885,1
317,1882,1
318,1881,1
319,1879,1
320,3922,1
321,529,1
322,530,1
323,531,1
324,1026,1
325,1027,1
326,1025,1
327,918,1
328,922,1
329,880,1
330,877,1
331,878,1
332,876,1
333,881,1
334,712,1
335,713,1
336,711,1
337,715,1
338,716,1
339,3870,1
340,767,1
341,701,1
342,1539,1
343,3892,1
344,1540,1
345,1538,1
346,1549,1
347,1548,1
348,3861,1
349,845,1
350,839,1
351,846,1
352,844,1
353,1008,1
354,1009,1
355,1007,1
356,1664,1
357,1670,1
358,1665,1
359,1663,1
360,1671,1
361,3897,1
362,3871,1
363,3862,1
364,3841,1
365,7157,0
366,902,0
367,874,0
368,884,0
369,898,0
370,7190,0
371,7189,0
372,1689,0
373,1688,0
374,7191,0
375,806,0
376,7055,0
377,901,0
378,7051,0
379,1778,0
380,1775,0
381,3910,0
382,7161,0
383,807,0
384,3921,0
385,7168,0
386,7238,0
387,1902,0
388,1892,0
389,7193,0
390,7195,0
391,3868,0
392,899,0
393,1779,0
394,1776,0
395,3909,0
396,7173,0
397,1125,0
398,3873,0
399,7171,0
400,1210,0
401,7169,0
402,1032,0
403,1002,0
404,2077,0
405,7602,0
406,7604,0
407,2084,0
408,2073,0
409,3928,0
410,7603,0
411,7172,0
412,1126,0
413,3874,0
414,7170,0
415,1211,0
416,7179,0
417,1562,0
418,1557,0
419,3890,0
420,7178,0
421,7192,0
422,7194,0
423,3867,0
424,7158,0
425,3858,0
426,2063,0
427,7599,0
428,7601,0
429,2070,0
430,2059,0
431,3926,0
432,7600,0
433,7239,0
434,7235,0
435,7236,0
436,1887,0
437,7237,0
438,1878,0
439,3924,0
440,3863,0
441,7175,0
442,7174,0
443,7197,0
444,7196,0
445,7240,0
446,1005,0
447,875,0
