"rownum","Id","SoundFile","BankFile","i32","IsAvailableInHideout","Name","string","MusicCategories"
0,"Default","","",52546,1,"Default Hideout Music","","[14,15]"
1,"Silence","","",122,1,"Silence","",[14]
2,"MainMenu","Audio/Music/Main Menu/Main Menu v3 Final_x4.ogg","Music1.bank",48845,1,"Main Theme","",[14]
3,"Act1_TwilightStrand","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",21484,1,"Twilight Strand","",[2]
4,"Act1_Encampment","Audio/Music/Act1_Encampment/Act1_Encampment.ogg","Music1.bank",58824,1,"Lioneye's Watch (A1)","","[2,1]"
5,"Act1_SandBeach","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",5991,1,"Coast","",[2]
6,"Act1_TidalIsland","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",17334,1,"Tidal Island","",[2]
7,"Act1_MudFlats","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",9697,1,"Mud Flats","",[2]
8,"Act1_FetidPool","Audio/Music/Act3_Sewers/Act3_Sewers.ogg","Music6.bank",29492,1,"Fetid Pool","",[2]
9,"Act1_Cave","Audio/Music/Act1_Cave/Act1_Cave.ogg","Music1.bank",24663,1,"Submerged Passage","",[2]
10,"Act1_FloodedDepths","Audio/Music/Act1_Cave/Act1_Cave.ogg","Music1.bank",17824,1,"Flooded Depths","",[2]
11,"Act1_Cliff","Audio/Music/Act1_Cliff/Act1_Cliff.ogg","Music2.bank",19519,1,"Ledge","",[2]
12,"Act1_Climb","Audio/Music/Act1_Cliff/Act1_Cliff.ogg","Music2.bank",44102,1,"Climb","",[2]
13,"Act1_Prison","Audio/Music/Act6_Prison/Act6_Prison","Music23.bank",9977,1,"Prison","",[2]
14,"Act1_Brutus","Audio/Music/Act1_Brutus/Act1_Brutus.ogg","Music2.bank",37397,1,"Brutus","","[2,0]"
