"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,8216,111,"Essence Item",52571,[]
1,8217,131,"Currency Item",52259,[]
2,8218,151,"Unique Item",18701,[]
3,8219,121,"Map Item",22038,[]
4,8220,251,"Unique Map Item",6696,[]
5,8221,301,"Rare Abyss Item",41772,[]
6,8222,301,"Fragment Item",60390,[]
7,8223,301,"Scarab Item",32186,[]
8,8224,151,"Essence Item",23218,[]
9,8225,301,"Fossil Item",19642,[]
10,8226,221,"Expedition Item",40101,[]
11,8227,151,"Stacked Decks",34745,[]
12,8228,151,"Talisman Item",43064,[]
13,8229,161,"Enchanted Helmet",19352,[]
14,8230,1001,"6-Linked Armour Item",6078,[]
15,8231,141,"Currency Item",14134,[]
16,8232,1501,"League-specific Unique Item",4526,[]
17,8233,501,"Shaper or Elder Armour Item",61377,[]
18,8234,501,"Shaper or Elder Weapon Item",53204,[]
19,8235,701,"Shaper or Elder Trinket Item",61894,[]
20,8236,501,"Elder Map Item",39336,[]
21,8237,351,"Breach Item",43164,[]
22,8238,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,8239,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,8240,301,"Item",31223,[]
25,8241,121,"Quality Gem",16288,[]
26,8242,151,"Bestiary Item",28161,[]
27,8243,221,"Blight Item",19373,[]
28,8244,221,"Metamorph Item",62324,[]
29,8245,431,"Delirium Item",23535,[]
30,8246,111,"Essence Item",46750,[]
31,8247,131,"Currency Item",54300,[]
32,8248,151,"Unique Item",59184,[]
33,8249,121,"Map Item",43361,[]
34,8250,251,"Unique Map Item",37492,[]
35,8251,301,"Rare Abyss Item",2531,[]
36,8252,301,"Fragment Item",4173,[]
37,8253,301,"Scarab Item",25303,[]
38,8254,151,"Essence Item",31454,[]
39,8255,301,"Fossil Item",51101,[]
40,8256,221,"Expedition Item",41074,[]
41,8257,151,"Stacked Decks",47490,[]
42,8258,151,"Talisman Item",23793,[]
43,8259,161,"Enchanted Helmet",42868,[]
44,8260,1001,"6-Linked Armour Item",12755,[]
45,8261,141,"Currency Item",30048,[]
46,8262,1501,"League-specific Unique Item",32094,[]
47,8263,501,"Shaper or Elder Armour Item",38195,[]
48,8264,501,"Shaper or Elder Weapon Item",28068,[]
49,8265,701,"Shaper or Elder Trinket Item",52048,[]
50,8266,501,"Elder Map Item",56725,[]
51,8267,351,"Breach Item",39939,[]
52,8268,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,8269,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,8270,301,"Item",55071,[]
55,8271,121,"Quality Gem",43471,[]
56,8272,151,"Bestiary Item",58563,[]
57,8273,221,"Blight Item",24651,[]
58,8274,221,"Metamorph Item",65346,[]
59,8275,431,"Delirium Item",12740,[]
