"rownum","Id","Order","Width","Height","i32","i32","Name","i32","Image","i32","IsDisabled"
0,"Flask",1,1,2,38,2,"Flask",33,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Flask",33,""
1,"Amulet",2,1,1,103,1,"Amulet",76,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Amulet",76,""
2,"Ring",3,1,1,118,1,"Ring",91,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Ring",91,""
3,"Claw",4,2,2,44,2,"Claw",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Claw",21,""
4,"Dagger",5,1,3,25,3,"Dagger",22,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Dagger",22,""
5,"Wand",6,1,3,26,3,"Wand",23,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Wand",23,""
6,"Sword",7,2,3,128,3,"Sword",56,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Swords",56,""
7,"Axe",8,2,4,66,4,"Axe",31,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Axe",31,""
8,"Mace",9,2,4,114,4,"Mace",52,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maces",52,""
9,"Bow",10,2,4,68,4,"Bow",31,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Bow",31,""
10,"Staff",11,2,4,88,4,"Staff",38,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Staff",38,""
11,"Quiver",12,2,3,50,3,"Quiver",22,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Quiver",22,""
12,"Belt",13,2,1,126,1,"Belt",52,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Belt",52,""
13,"Gloves",14,2,2,168,2,"Gloves",77,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Gloves",77,""
14,"Boots",15,2,2,164,2,"Boots",71,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Boots",71,""
15,"Body Armour",16,2,3,198,3,"Body Armour",93,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Armour",93,""
16,"Helmet",17,2,2,230,2,"Helmet",101,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Helmet",101,""
17,"Shield",18,2,4,156,4,"Shield",70,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Shield",70,""
18,"Map",19,1,1,31,1,"Map",30,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maps",30,""
19,"Jewel",20,1,1,170,1,"Jewel",155,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Jewels",155,""
20,"Watchstone",21,1,1,15,1,"Watchstone",15,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Watchstone",15,1
21,"HeistContract",22,1,1,6,1,"Contract",5,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Contract",5,""
