"rownum","Mod","[rid]","i32","i32","i32","i32","Name","Icon","bool","bool","Visual","[rid]","Description","DefeatAchievement","i32"
0,6816,"[0,3]",35,25,25,50,"<size:+3>{<archnemesismodchaosgreen>{<outlinecolour:archnemesismodchaosgreenoutline>{Toxic}}}","Art/2DItems/Currency/Archnemesis/ModRareKillPoison.dds","","",0,[],"Monster has augmented Poison powers",8455,0
1,6817,[3],35,25,25,50,"<size:+3>{<archnemesismodchaospurple>{<outlinecolour:archnemesismodchaospurpleoutline>{Chaosweaver}}}","Art/2DItems/Currency/Archnemesis/ModRareKillVoidtouched.dds","","",1,[],"Monster is imbued with Chaos Damage and Resistance",8456,0
2,6818,[6],35,25,25,50,"<size:+3>{<archnemesismodcold>{<outlinecolour:archnemesismodcoldoutline>{Frostweaver}}}","Art/2DItems/Currency/Archnemesis/ModRareKillFrosttouched.dds","","",2,[],"Monster is imbued with Cold Damage and Resistance",8457,0
3,6819,"[0,6]",35,25,25,50,"<size:+3>{<archnemesismodcold>{<outlinecolour:archnemesismodcoldoutline>{Permafrost}}}","Art/2DItems/Currency/Archnemesis/ModRareKillFreezer.dds","","",3,[],"Monster has augmented Freeze and Chill powers",8458,0
4,6821,[0],35,25,25,50,"<size:+3>{<archnemesismodnormal>{<outlinecolour:archnemesismodnormaloutline>{Hasted}}}","Art/2DItems/Currency/Archnemesis/ModRareKillSpeed.dds","","",4,[],"Monster is faster",8459,0
5,6822,"[6,5]",35,25,25,50,"<size:+3>{<archnemesismodnormal>{<outlinecolour:archnemesismodnormaloutline>{Deadeye}}}","Art/2DItems/Currency/Archnemesis/ModRareKillDeadeye.dds","","",5,[],"Monster is Accurate and applies Marks",8460,0
6,6824,"[7,6]",35,25,25,50,"<size:+3>{<archnemesismodfire>{<outlinecolour:archnemesismodfireoutline>{Bombardier}}}","Art/2DItems/Currency/Archnemesis/ModRareKillBombardier.dds","","",6,[],"Monster has augmented Projectile powers and periodically unleashes a barrage of mortars",8461,0
7,6825,[7],35,25,25,50,"<size:+3>{<archnemesismodfire>{<outlinecolour:archnemesismodfireoutline>{Flameweaver}}}","Art/2DItems/Currency/Archnemesis/ModRareKillFlametouched.dds","","",7,[],"Monster is imbued with Fire Damage and Resistance",8462,0
8,6826,"[0,7]",35,25,25,50,"<size:+3>{<archnemesismodfire>{<outlinecolour:archnemesismodfireoutline>{Incendiary}}}","Art/2DItems/Currency/Archnemesis/ModRareKillFire.dds","","",8,[],"Monster has augmented Ignite powers",8463,0
9,6827,[8],35,25,25,50,"<size:+3>{<archnemesismodnormal>{<outlinecolour:archnemesismodnormaloutline>{Arcane Buffer}}}","Art/2DItems/Currency/Archnemesis/ModRareKillEnergyShield.dds","","",9,[],"Monster has augmented Energy Shield powers and releases a stunning nova when Energy Shield breaks",8464,0
10,6830,"[0,1]",35,25,25,50,"<size:+3>{<archnemesismodnormal>{<outlinecolour:archnemesismodnormaloutline>{Echoist}}}","Art/2DItems/Currency/Archnemesis/ModRareKillCaster.dds","","",10,[],"Monster repeats skills additional times",8465,0
11,6832,[5],35,25,25,50,"<size:+3>{<archnemesismodlightning>{<outlinecolour:archnemesismodlightningoutline>{Stormweaver}}}","Art/2DItems/Currency/Archnemesis/ModRareKillStormtouched.dds","","",11,[],"Monster is imbued with Lightning Damage and Resistance",8466,0
12,6833,"[0,5]",35,25,25,50,"<size:+3>{<archnemesismodlightning>{<outlinecolour:archnemesismodlightningoutline>{Dynamo}}}","Art/2DItems/Currency/Archnemesis/ModRareKillShocker.dds","","",12,[],"Monster has augmented Shock powers",8467,0
13,6834,"[0,7]",35,25,25,50,"<size:+3>{<archnemesismodnormal>{<outlinecolour:archnemesismodnormaloutline>{Bonebreaker}}}","Art/2DItems/Currency/Archnemesis/ModRareKillBonebreaker.dds","","",13,[],"Monster has augmented Stun powers. Monster hits are slower and can't be evaded",8468,0
14,6835,"[7,5]",35,25,25,50,"<size:+3>{<archnemesismodphysicalred>{<outlinecolour:archnemesismodphysicalredoutline>{Bloodletter}}}","Art/2DItems/Currency/Archnemesis/ModRareKillBloodletter.dds","","",14,[10],"Monster has augmented Bleed powers. Monster Maims nearby enemies",8469,0
15,6837,[7],35,25,25,50,"<size:+3>{<archnemesismodphysicalgrey>{<outlinecolour:archnemesismodphysicalgreyoutline>{Steel-infused}}}","Art/2DItems/Currency/Archnemesis/ModRareKillSteelattuned.dds","","",15,[],"Monster is imbued with Physical Damage and Physical Damage Reduction",8470,0
16,6838,[1],35,25,25,50,"<size:+3>{<archnemesismodnormal>{<outlinecolour:archnemesismodnormaloutline>{Gargantuan}}}","Art/2DItems/Currency/Archnemesis/ModRareKillGargantuan.dds","","",16,[],"Monster is massive, granting more Life, Area of Effect, and Damage",8471,0
17,6840,[2],35,25,25,50,"<size:+3>{<archnemesismodphysicalred>{<outlinecolour:archnemesismodphysicalredoutline>{Berserker}}}","Art/2DItems/Currency/Archnemesis/ModRareKillRage.dds","","",17,[],"Monster Enrages as it loses life",8472,0
18,6831,"[6,6]",35,25,25,50,"<size:+3>{<archnemesismodnormal>{<outlinecolour:archnemesismodnormaloutline>{Sentinel}}}","Art/2DItems/Currency/Archnemesis/ModRareKillDefender.dds","","",18,[],"Monster is imbued with Block and Spell Block. Monster Triggers Reckoning when hit",8473,0
