"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1"
0,3613,[8484],"[8485,8661,8660,8665]","[8486,8577,8662,8664]",10,100,1000,"",126,[8703],[8704]
1,3614,[8487],"[8488,8661,8660,8665]","[8489,8575,8662,8664]",6,100,2500,"",126,[8703],[8704]
2,3615,[8490],"[8491,8661,8660,8665]","[8492,8577,8662,8664]",10,100,1000,3078,126,[8703],[8704]
3,3616,[8493],"[8494,8661,8660,8665]","[8495,8577,8662,8664]",10,100,1000,"",126,[8703],[8704]
4,3617,[8522],"[8523,8661,8660,8665]","[8524,8578,8662,8664]",30,100,500,"",126,[8703],[8704]
5,3618,[8535],"[8536,8661,8660,8665]","[8537,8577,8662,8664]",15,100,1000,"",8,[8703],[8704]
6,3619,"[8502,8503]","[8504,8661,8660,8665]","[8505,8577,8662,8664]",15,100,1000,1875,126,[8703],[8704]
7,3620,[8528],"[8529,8661,8660,8665]","[8530,8577,8662,8664]",6,100,1000,"",126,[8703],[8704]
8,3621,[8496],"[8497,8661,8660,8665]","[8498,8577,8662,8664]",20,100,1000,"",126,[8703],[8704]
9,3622,[8499],"[8500,8661,8660,8665]","[8501,8578,8662,8664]",30,100,500,280,126,[8703],[8704]
10,3623,[8506],"[8507,8661,8660,8665]","[8508,8575,8662,8664]",1,100,2500,"",126,[8703],[8704]
11,3624,[8509],"[8510,8661,8660,8665]","[8511,8575,8512,8662,8664]",1,100,2500,"",126,[8703],[8704]
12,3625,[],"[8513,8661,8660,8665]","[8514,8578,8662,8664]",60,100,1,"",126,[8703],[8704]
13,3626,[8515],"[8516,8661,8660,8665]","[8517,8578,8662,8664]",60,100,500,"",126,[8703],[8704]
14,3627,[8519],"[8520,8661,8660,8665]","[8521,8575,8662,8664]",1,100,2500,"",126,[8703],[8704]
15,3628,[8525],"[8526,8661,8660,8665]","[8527,8575,8662,8664]",6,100,2500,"",126,[8703],[8704]
16,3629,"[8531,8532]","[8533,8661,8660,8665]","[8534,8577,8662,8664]",20,100,1000,45,126,[8703],[8704]
17,3630,[8538],"[8539,8661,8660,8665]","[8540,8578,8662,8664]",40,100,500,"",10,[8703],[8704]
18,3631,[8544],"[8545,8661,8660,8665]","[8546,8577,8662,8664]",20,100,1000,"",126,[8703],[8704]
19,3632,[8547],"[8548,8661,8660,8665]","[8549,8575,8662,8664]",1,100,2500,"",126,[8703],[8704]
20,3633,[8551],"[8552,8661,8660,8665]","[8553,8577,8662,8664]",10,100,1000,"",126,[8703],[8704]
21,3634,[8554],"[8556,8661,8660,8665]","[8557,8555,8578,8662,8664]",40,100,500,"",126,[8703],[8704]
22,3637,[8558],"[8559,8661,8660,8665]","[8574,8560,8578,8662,8664]",1,100,0,"",126,[8703],[8704]
23,3635,[8561],"[8562,8661,8660,8665]","[8563,8576,8663,8664]",1,100,0,"",126,[8703],[8704]
24,3636,[8564],"[8565,8661,8660,8665]","[8566,8576,8663,8664]",1,100,0,"",126,[8703],[8704]
25,3638,[8567],"[8568,8661,8660,8665]","[8569,8575,8662,8664]",1,100,0,"",126,[8703],[8704]
26,3639,[8567],"[8568,8661,8660,8665]","[8570,8575,8662,8664]",1,100,0,"",126,[8703],[8704]
27,3640,[8567],"[8568,8661,8660,8665]","[8571,8575,8662,8664]",1,100,0,"",126,[8703],[8704]
28,3641,[8567],"[8568,8661,8660,8665]","[8572,8575,8662,8664]",1,100,0,"",126,[8703],[8704]
29,3642,[8567],"[8568,8661,8660,8665]","[8573,8575,8662,8664]",1,100,0,"",126,[8703],[8704]
30,3643,[19482],"[19483,8661,8660,8665]","[19484,8578,8662,8664]",68,100,0,3859,126,[8703],[8704]
31,3644,[19479],"[19480,8661,8660,8665]","[19481,8578,8662,8664]",68,100,0,"",126,[8703],[8704]
32,3645,[19485],"[19486,8661,8660,8665]","[19487,8578,8662,8664]",68,100,0,"",126,[8703],[8704]
33,7233,[],"[8507,8661,8660,8665]","[8508,8575,8662,8664]",1,100,0,"",126,[8703],[8704]
34,7234,[],"[8507,8661,8660,8665]","[8508,8575,8662,8664]",1,100,0,"",126,[8703],[8704]
35,7235,[],"[8507,8661,8660,8665]","[8508,8575,8662,8664]",1,100,0,"",126,[8703],[8704]
36,7236,[],"[8507,8661,8660,8665]","[8508,8575,8662,8664]",1,100,0,"",126,[8703],[8704]
37,7237,[],"[8507,8661,8660,8665]","[8508,8575,8662,8664]",1,100,0,"",126,[8703],[8704]
