"rownum","Monster","Spectre","[rid]"
0,1670,1671,[]
1,1672,1673,[]
2,1674,1675,[]
3,1676,1677,[]
4,1681,1682,[]
5,1683,1684,[]
6,1685,1686,[]
7,1745,1746,[]
8,1747,1748,[]
9,1749,1750,[]
10,1751,1752,[]
11,1753,1754,[]
12,1755,1756,[]
13,1757,1758,[]
14,1759,1760,[]
15,1761,1762,[]
16,3860,3862,[]
17,3863,3864,[]
18,3865,3866,[]
19,3867,3869,[]
20,1717,1718,[]
21,1719,1720,[]
22,1721,1722,[]
23,1805,1806,[]
24,1807,1808,[]
25,1809,1810,[]
26,285,286,[]
27,288,289,[]
28,290,291,[]
29,313,314,[]
30,315,316,[]
31,321,322,[]
32,323,324,[]
33,325,326,[]
34,333,334,[]
35,335,334,[]
36,336,334,[]
37,337,334,[]
38,915,917,[]
39,1620,1621,[]
40,1622,1623,[]
41,1624,1625,[]
42,1626,1627,[]
43,1628,1629,[]
44,1630,1631,[]
45,1632,1633,[]
46,1634,1635,[]
47,3079,3081,[]
48,3084,3086,[]
49,3097,3099,[]
50,3087,3092,[]
51,3091,3092,[]
52,3104,3105,[]
53,3100,3105,[]
54,5872,5874,[]
55,5878,5882,[]
56,5879,5882,[]
57,5883,5886,[]
58,5884,5886,[]
59,5887,5888,[]
60,5890,5891,[]
61,5892,5893,[]
62,5894,5895,[]
63,5897,5898,[]
64,5902,5903,[]
65,5905,5906,[]
66,6493,5882,[]
67,6495,5882,[]
68,6497,5882,[]
69,6499,5882,[]
70,6501,5882,[]
71,6494,5886,[]
72,6496,5886,[]
73,6498,5886,[]
74,6500,5886,[]
75,6502,5886,[]
76,6503,5888,[]
77,6504,5893,[]
78,6505,5906,[]
79,6507,5891,[]
80,6508,6509,[]
81,6511,6509,[]
82,6513,6514,[]
83,6515,6514,[]
84,6516,6517,[]
85,6518,6517,[]
86,6536,6537,[]
87,6541,6542,[]
88,6545,6542,[]
89,6543,6544,[]
90,6546,6544,[]
91,6547,6548,[]
92,6549,6548,[]
93,6553,6554,[]
94,6555,6554,[]
95,6558,6559,[]
96,6562,6559,[]
97,6560,6561,[]
98,6563,6561,[]
99,6567,6568,[]
100,6571,6568,[]
101,6569,6570,[]
102,6572,6570,[]
103,6576,6577,[]
104,6580,6577,[]
105,6578,6579,[]
106,6581,6579,[]
107,6583,6584,[]
108,6587,6584,[]
109,6589,6584,[]
110,6585,6586,[]
111,6588,6586,[]
112,6594,6586,[]
113,6590,6591,[]
114,6592,6593,[]
115,6595,641,[]
116,6596,3892,[]
117,6597,3905,[]
118,6598,3915,[]
119,6601,5680,[]
120,6602,5681,[]
121,6603,432,[]
122,6604,432,[]
123,6605,432,[]
124,6606,432,[]
125,6607,432,[]
126,6608,6612,[]
127,6609,6612,[]
128,6610,6612,[]
129,6611,6612,[]
130,6613,6615,[]
131,6617,122,[]
132,6622,3973,[]
