"rownum","i32","rid","bool","i32","bool","i32","i32","bool","i32","i32","i32","bool","i32","i32","i32","bool","bool","bool","rid","bool","rid","i32"
0,0,586,1,9,1,4,7,1,1000,5,10,1,0,0,0,"","","","","","",0
1,1,587,1,19,"",2,4,1,0,20,60,1,0,0,0,"","","","","","",0
2,2,597,1,6,"",2,4,1,0,15,45,1,0,0,0,"","","","","","",0
3,3,598,1,4,"",2,4,1,0,20,60,1,0,0,0,"","","","","","",0
4,4,609,1,3,1,2,7,1,0,20,60,1,0,0,0,"","","","","","",0
5,5,635,1,2,1,2,7,1,0,20,60,1,0,0,0,"","","","","","",0
6,6,636,"",4,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
7,7,636,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
8,8,636,"",3,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
9,9,642,"",0,"",4,6,"",0,0,0,"",0,0,0,"","","","","","",0
10,10,668,"",14,"",4,7,"",2600,0,0,"",0,0,0,"","","","","","",0
11,11,670,"",0,"",4,7,"",0,0,0,"",0,220,0,"","","","","","",0
12,14,698,1,6,1,2,7,1,0,30,60,1,0,0,0,"","","","","","",0
13,15,685,"",1,1,4,2,1,0,0,0,"",90,0,0,"","","","","","",0
14,16,686,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","","",0
15,17,687,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","","",0
16,18,673,1,0,"",3,7,1,0,5,30,1,0,0,0,"","","","","","",0
17,19,706,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
18,20,706,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
19,21,706,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
20,22,706,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
21,23,696,"",7,1,2,7,"",200,0,0,"",0,0,0,"","","","","","",0
22,24,721,"",5,1,3,7,1,0,0,0,"",0,0,0,"","","","","","",0
23,25,747,1,9,"",2,4,1,0,20,60,1,0,45,0,"","","","","","",0
24,26,757,"",10,1,4,7,"",0,0,0,"",0,0,0,"","","","","","",0
25,27,775,1,9,1,4,7,1,1000,5,10,1,0,0,0,"","","","","","",0
26,28,280,"",5,"",2,6,"",500,0,0,"",0,15,0,"","","","","","",0
27,29,783,"",0,"",2,7,"",0,0,0,"",0,15,0,"","","","","","",0
28,30,820,"",10,"",4,2,"",0,0,0,"",180,220,0,"","","","","","",0
29,31,822,"",7,1,4,7,"",0,0,0,"",0,0,0,"","","","","","",0
30,32,784,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
31,33,785,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
32,34,786,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
33,35,787,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
34,36,788,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
35,37,789,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
36,38,790,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
