"rownum","Id","BaseItemTypesKey","X","Y","IntId","SlotWidth","SlotHeight","IsUpgradableEssenceSlot"
0,"Metadata/Items/Currency/CurrencyEssenceHatred1",73,480,183,0,1,1,1
1,"Metadata/Items/Currency/CurrencyEssenceHatred2",74,408,183,1,1,1,1
2,"Metadata/Items/Currency/CurrencyEssenceHatred3",75,335,183,2,1,1,1
3,"Metadata/Items/Currency/CurrencyEssenceHatred4",76,263,183,3,1,1,1
4,"Metadata/Items/Currency/CurrencyEssenceHatred5",77,190,183,4,1,1,1
5,"Metadata/Items/Currency/CurrencyEssenceHatred6",78,117,183,5,1,1,1
6,"Metadata/Items/Currency/CurrencyEssenceHatred7",79,44,183,6,1,1,""
7,"Metadata/Items/Currency/CurrencyEssenceWoe1",80,480,256,7,1,1,1
8,"Metadata/Items/Currency/CurrencyEssenceWoe2",81,408,256,8,1,1,1
9,"Metadata/Items/Currency/CurrencyEssenceWoe3",82,335,256,9,1,1,1
10,"Metadata/Items/Currency/CurrencyEssenceWoe4",83,263,256,10,1,1,1
11,"Metadata/Items/Currency/CurrencyEssenceWoe5",84,190,256,11,1,1,1
12,"Metadata/Items/Currency/CurrencyEssenceWoe6",85,117,256,12,1,1,1
13,"Metadata/Items/Currency/CurrencyEssenceWoe7",86,44,256,13,1,1,""
14,"Metadata/Items/Currency/CurrencyEssenceGreed1",87,480,38,14,1,1,1
15,"Metadata/Items/Currency/CurrencyEssenceGreed2",88,408,38,15,1,1,1
16,"Metadata/Items/Currency/CurrencyEssenceGreed3",89,335,38,16,1,1,1
17,"Metadata/Items/Currency/CurrencyEssenceGreed4",90,263,38,17,1,1,1
18,"Metadata/Items/Currency/CurrencyEssenceGreed5",91,190,38,18,1,1,1
19,"Metadata/Items/Currency/CurrencyEssenceGreed6",92,117,38,19,1,1,1
20,"Metadata/Items/Currency/CurrencyEssenceGreed7",93,44,38,20,1,1,""
21,"Metadata/Items/Currency/CurrencyEssenceContempt1",94,480,111,21,1,1,1
22,"Metadata/Items/Currency/CurrencyEssenceContempt2",95,408,111,22,1,1,1
23,"Metadata/Items/Currency/CurrencyEssenceContempt3",96,335,111,23,1,1,1
24,"Metadata/Items/Currency/CurrencyEssenceContempt4",97,263,111,24,1,1,1
25,"Metadata/Items/Currency/CurrencyEssenceContempt5",98,190,111,25,1,1,1
26,"Metadata/Items/Currency/CurrencyEssenceContempt6",99,117,111,26,1,1,1
27,"Metadata/Items/Currency/CurrencyEssenceContempt7",100,44,111,27,1,1,""
28,"Metadata/Items/Currency/CurrencyEssenceSorrow1",101,408,547,28,1,1,1
29,"Metadata/Items/Currency/CurrencyEssenceSorrow2",102,335,547,29,1,1,1
30,"Metadata/Items/Currency/CurrencyEssenceSorrow3",103,263,547,30,1,1,1
31,"Metadata/Items/Currency/CurrencyEssenceSorrow4",104,190,547,31,1,1,1
32,"Metadata/Items/Currency/CurrencyEssenceSorrow5",105,117,547,32,1,1,1
33,"Metadata/Items/Currency/CurrencyEssenceSorrow6",106,44,547,33,1,1,""
34,"Metadata/Items/Currency/CurrencyEssenceAnger1",107,408,402,34,1,1,1
35,"Metadata/Items/Currency/CurrencyEssenceAnger2",108,335,402,35,1,1,1
36,"Metadata/Items/Currency/CurrencyEssenceAnger3",109,263,402,36,1,1,1
37,"Metadata/Items/Currency/CurrencyEssenceAnger4",110,190,402,37,1,1,1
38,"Metadata/Items/Currency/CurrencyEssenceAnger5",111,117,402,38,1,1,1
39,"Metadata/Items/Currency/CurrencyEssenceAnger6",112,44,402,39,1,1,""
40,"Metadata/Items/Currency/CurrencyEssenceTorment1",113,408,474,40,1,1,1
41,"Metadata/Items/Currency/CurrencyEssenceTorment2",114,335,474,41,1,1,1
42,"Metadata/Items/Currency/CurrencyEssenceTorment3",115,263,474,42,1,1,1
43,"Metadata/Items/Currency/CurrencyEssenceTorment4",116,190,474,43,1,1,1
44,"Metadata/Items/Currency/CurrencyEssenceTorment5",117,117,474,44,1,1,1
45,"Metadata/Items/Currency/CurrencyEssenceTorment6",118,44,474,45,1,1,""
46,"Metadata/Items/Currency/CurrencyEssenceFear1",119,408,329,46,1,1,1
47,"Metadata/Items/Currency/CurrencyEssenceFear2",120,335,329,47,1,1,1
48,"Metadata/Items/Currency/CurrencyEssenceFear3",121,263,329,48,1,1,1
49,"Metadata/Items/Currency/CurrencyEssenceFear4",122,190,329,49,1,1,1
50,"Metadata/Items/Currency/CurrencyEssenceFear5",123,117,329,50,1,1,1
51,"Metadata/Items/Currency/CurrencyEssenceFear6",124,44,329,51,1,1,""
52,"Metadata/Items/Currency/CurrencyEssenceSuffering1",125,335,692,52,1,1,1
53,"Metadata/Items/Currency/CurrencyEssenceSuffering2",126,263,692,53,1,1,1
54,"Metadata/Items/Currency/CurrencyEssenceSuffering3",127,190,692,54,1,1,1
55,"Metadata/Items/Currency/CurrencyEssenceSuffering4",128,117,692,55,1,1,1
56,"Metadata/Items/Currency/CurrencyEssenceSuffering5",129,44,692,56,1,1,""
57,"Metadata/Items/Currency/CurrencyEssenceRage1",130,335,619,57,1,1,1
58,"Metadata/Items/Currency/CurrencyEssenceRage2",131,263,619,58,1,1,1
