"rownum","Id","IsSupport","AllowedActiveSkillTypes","BaseEffectiveness","IncrementalEffectiveness","SupportGemLetter","i32","AddedActiveSkillTypes","ExcludedActiveSkillTypes","SupportsGemsOnly","i32","[i32]","bool","i32","CastTime","ActiveSkill","bool","bool","[i32]","rid","MultiPartAchievement","bool","SupportWeaponRestrictions","GrantedEffect"
0,"Fireball","",[],2.921,0.0474,"",3,[],[],"",-800852557,[],"",2,750,44,"","",[],"","","",[],""
1,"FireballRoyale","",[],3.4315,0.0412,"",3,[],[],"",-1174666910,[],"",2,750,44,"","",[],"","","",[],""
2,"MonsterFireball","",[],2.5,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
3,"MonsterFireballContactPos","",[],2.5,0.0394,"",3,[],[],"",0,[],"",2,1330,44,"","",[],"","","",[],""
4,"BlightMonsterFireball","",[],2.5,0.045,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
5,"GemlingFireball1","",[],1.7889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
6,"GemlingFireball2","",[],1.7889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
7,"GemlingFireball3","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,3000,44,"","",[],"","","",[],""
8,"FireballSuperNovaCitystalker","",[],0.6111,0.0394,"",3,[],[],"",0,[],"",2,2300,44,"","",[],"","","",[],""
9,"MonsterFireball3Parallel","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],""
10,"HolyFireElementalFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
11,"LegionTemplarFireball","",[],2.75,0.04,"",3,[],[],"",0,[],"",2,1330,44,"","",[],"","","",[],""
12,"HolyCitystalkerFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
13,"AbberathMinionFireball","",[],1.7833,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
14,"AbberathMinionFireballMap","",[],1.605,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
15,"ExileShadowFireball","",[],0.9444,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
16,"AvariusFireball","",[],4.4444,0.03,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],""
17,"AvariusWickermanFireball","",[],2,0.03,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],""
18,"AvariusJudgeFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
19,"BlackguardClericBossFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],""
20,"VaalSideAreaBossHolyFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
21,"PhoenixMinionFireball","",[],4.6444,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
22,"IzaroDaemonFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
23,"MonsterFireballSideArea","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
24,"ProphecyFireballBurst","",[],1.5222,0.0414,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
25,"EssenceFireballBurst","",[],1.5222,0.0414,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
26,"ProphecyMultiFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
27,"MonsterFireballStrMissionBoss","",[],0.5889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
28,"MonsterFireballKaomsChest","",[],1.5222,0.0414,"",1,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
29,"MonsterMultiFireball","",[],0.7778,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
30,"MonsterMultiFireballSpectre","",[],0.7778,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
31,"MonsterSplitFireball","",[],0.9556,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
32,"MonsterSplitFireballSpectre","",[],0.9556,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
33,"MonsterLesserMultiFireball","",[],0.8889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
34,"MonsterLesserMultiFireballSpectre","",[],0.8889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
35,"MonsterFireballGoatmanBoss","",[],1.0222,0.0339,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
36,"MonsterFireballVaalSummonedSkeleton","",[],1.1889,0.0475,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
37,"PyroFireball","",[],1.1889,0.0394,"",4,[],[],"",0,[],"",2,930,44,"","",[],"","","",[],""
38,"PyroFireballInvasion","",[],1.1889,0.0394,"",4,[],[],"",0,[],"",2,930,44,"","",[],"","","",[],""
39,"BloodlinesYellowElementalPyroFireball","",[],0.4467,0.034,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
40,"PyroFireballBossSideArea","",[],1.0222,0.0394,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
41,"PyroChaosFireball","",[],1.3556,0.0285,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
42,"WbAnimatedItemChaosFireball","",[],1.3556,0.0285,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
43,"GladiatorBossFireball","",[],0.9444,0.048,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
44,"ExileFireball","",[],0.9444,0.048,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
45,"GemlingFireball","",[],0.7778,0.04,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
46,"ProphecyDragonFireball","",[],1.7778,0.0414,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
47,"FrostfireMageDragonFireball","",[],1.7778,0.0414,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
48,"WestFireball","",[],3,0.0414,"",4,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
49,"KitavaClericFireball","",[],1.7778,0.041,"",4,[],[],"",0,[],"",2,2300,44,"","",[],"","","",[],""
50,"MetamorphKitavaClericFireballVaal","",[],1.7778,0.041,"",4,[],[],"",0,[],"",2,2300,45,"","",[],"","","",[],""
51,"MonsterFireballRepeat","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,44,"","",[],"","","",[],""
52,"ReliquaryMonsterFireball","",[],3.8889,0.04,"",3,[],[],"",0,[],"",2,2500,44,"","",[],"","","",[],""
53,"FireballIncusionFire","",[],0.9722,0.05,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],""
54,"FireballIncusionLightning","",[],1.0938,0.05,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],""
55,"FireballIncursionChaos","",[],2,0.025,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],""
56,"FireballTaowuDash","",[],6.2,0.04,"",3,[],[],"",0,[],"",2,1200,44,"","",[],"","","",[],""
57,"FireballTaowuCombo","",[],2.33,0.038,"",3,[],[],"",0,[],"",2,1830,44,"","",[],"","","",[],""
58,"IceNova","",[],1.6555,0.0436,"",3,[],[],"",1291143349,[],"",2,700,41,"","",[],"","","",[],""
59,"IceNovaRoyale","",[],1.76,0.0364,"",3,[],[],"",-1988950926,[],"",2,800,41,"","",[],"","","",[],""
60,"BloodNovaStrIntBoss","",[],1.7727,0.042,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
61,"IceNovaOnDamageTakenInvasion","",[],1.7727,0.042,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
62,"IceNovaOnHitCannibalMaleMapBoss","",[],1.7727,0.042,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
63,"IceNovaOnDeathWaterElemental","",[],1.7727,0.042,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
64,"IceNovaOnDeathStrMission","",[],2.7273,0.03,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
65,"DarkSeawitchIceNova","",[],1.7727,0.042,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
66,"ProphecyBloodNova","",[],1.95,0.042,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
67,"VaalIceNova","",[],1.7987,0.0364,"",3,[],[],"",549257270,[],"",2,700,42,"","",[],"","","",[],""
68,"TormentSpiritVaalIceNova","",[],1.5,0.042,"",3,[],[],"",0,[],"",2,800,42,"","",[],"","","",[],""
69,"StrMissionIceNovaTotem","",[],1.2727,0.0455,"",4,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
70,"WbIceNova","",[],1.2727,0.0455,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
71,"GhostIceNova","",[],2.7273,0.035,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
72,"EssenceDaemonIceNovaRepeat","",[],1.2727,0.0455,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
73,"ProphecyIceNovaTotems","",[],0.9727,0.0333,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
74,"TotemMapBossIceNovaTotems","",[],0.9727,0.0333,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
75,"IceNovaTrapSideAreaBoss","",[],1.8182,0.034,"",4,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
76,"IceNovaWaterElementalMap","",[],1.0873,0.034,"",4,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
77,"IceNovaWaterElemental","",[],0.8364,0.0304,"",4,[],[],"",0,[],"",2,1000,41,"","",[],"","","",[],""
78,"IceNovaWaterElementalHellscape","",[],0.8364,0.0304,"",4,[],[],"",0,[],"",2,1000,987,"","",[],"","","",[],""
79,"IceNovaWaterElementalMetamorphosis","",[],0.8364,0.0304,"",4,[],[],"",0,[],"",2,800,987,"","",[],"","","",[],""
80,"IceNovaWaterElementalInvasion","",[],0.8364,0.0304,"",4,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
81,"MonsterTotemIceNova","",[],0.9727,0.0333,"",4,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
82,"PopUpTotemIceNova","",[],1.4545,0.052,"",4,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
83,"WbIceNovaSupport","",[],0.9727,0.0333,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
84,"WbIceNovaSupport2","",[],0.9727,0.0333,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
85,"TotemBossTeamAAtollIceNovaChilledGround","",[],2.9455,0.06,"",3,[],[],"",0,[],"",2,3500,41,"","",[],"","","",[],""
86,"IzaroDaemonIceNova","",[],1.3636,0.035,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
87,"TempestDaemonIceNova","",[],4.5,0.06,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
88,"ShrineIceNova","",[],0.9727,0.0333,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
89,"ShrineIceNovaPlayer","",[],0.9727,0.0333,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
90,"EssenceDaemonIceNova","",[],0.9727,0.0333,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
91,"WestIceNovaDaemon","",[],1.5,0.038,"",3,[],[],"",0,[],"",2,500,41,"","",[],"","","",[],""
92,"WestIceNovaAttachedDaemon","",[],2.5,0.04,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
93,"WestIceNovaTriggered","",[],0.9313,0.05,"",3,[],[],"",0,[],"",2,2800,41,"","",[],"","","",[],""
94,"ChestIceNova","",[],3.1818,0.062,"",3,[],[],"",0,[],"",2,800,41,"","",[],"","","",[],""
95,"VaalIncursionIceNova","",[],3.1818,0.062,"",3,[],[],"",0,[],"",2,3430,41,"","",[],"","","",[],""
96,"LeapSlam","",[],0,0,"",1,[],[],"",-1852109096,[],"",2,1400,14,"","",[],"","","",[],""
97,"LeapSlamRoyale","",[],0,0,"",1,[],[],"",-1225498524,[],"",2,1400,14,"","",[],"","","",[],""
98,"DarkExileLeapSlam","",[],0,0,"",1,[],[],"",0,[],"",2,1400,14,"","",[],"","","",[],""
99,"KaomLeapSlam","",[],0,0,"",1,[],[],"",0,[],"",2,1400,14,"","",[],"","","",[],""
100,"Sweep","",[],0.67,0.0233,"",1,[],[],"",1827840414,[],"",2,1150,0,"","",[],"","","",[],""
101,"SweepRoyale","",[],0.67,0.023,"",1,[],[],"",-201102793,[],"",2,1150,0,"","",[],"","","",[],""
102,"VaalSweep","",[],0,0,"",1,[],[],"",168077491,[],"",2,1150,1,"","",[],"","","",[],""
103,"ExileSweep","",[],0,0,"",1,[],[],"",0,[],"",2,1150,0,"","",[],"","","",[],""
