"rownum","Id","MiscObject","i32","string","string","[i32]","bool","i32","bool","bool"
0,"TemplarLab",15,36,"Metadata/QuestObjects/MapRoom/Orrery","",[],"",0,1,""
1,"Hideout_Small","",18,"Metadata/Terrain/Missions/Hideouts/Objects/StrDexIntMappingDevice","",[],1,0,"",1
2,"Hideout_Large",16,36,"Metadata/Terrain/Missions/Hideouts/Objects/StrDexIntMappingDevice","aux_potralbutton_attachment","[-24,0]",1,20,1,1
3,"Maligaro_Quest",14,36,"Metadata/QuestObjects/Act7/MaligaroOrrery_Main","",[],"",0,1,""
4,"EpilogueTown","",36,"Metadata/MiscellaneousObjects/MapDevice","",[],1,0,1,""
5,"SynthesisBoss1",266,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_FinalBoss","",[],"",0,"",""
6,"SynthesisGuardian1",266,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian1","",[],"",0,"",""
7,"SynthesisGuardian2",266,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian2","",[],"",0,"",""
8,"SynthesisGuardian3",266,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian3","",[],"",0,"",""
9,"SynthesisGuardian4",266,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian4","",[],"",0,"",""
10,"MiracleMapDevice",326,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice","aux_potralbutton_attachment","[-14,0]",1,0,1,""
11,"MiracleMapDevice1",326,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice1","aux_potralbutton_attachment","[-14,0]",1,0,1,""
12,"MiracleMapDevice2",326,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice2","aux_potralbutton_attachment","[-25,0]",1,0,1,""
13,"MiracleMapDevice3",326,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice3","aux_potralbutton_attachment","[-25,0]",1,0,1,""
14,"AstrolabeMapDevice","",18,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/AstrolabeMapDevice","",[],1,0,"",""
15,"SyntheticMapDevice",554,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/SyntheticMapDevice","aux_portalbutton_attachment","[-28,0]",1,0,1,""
16,"DemonicMapDevice",570,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/DemonicMapDevice","pyre_jntBnd","[-30,0]",1,0,1,""
