"rownum","Id","Icon_DDSFile","Stats","Stat1Value","Stat2Value","Stat3Value","Stat4Value","PassiveSkillGraphId","Name","Characters","IsKeystone","IsNotable","FlavourText","IsJustIcon","AchievementItem","IsJewelSocket","AscendancyKey","IsAscendancyStartingNode","ReminderStrings","SkillPointsGranted","IsMultipleChoice","IsMultipleChoiceOption","Stat5Value","PassiveSkillBuffs","GrantedEffectsPerLevel","IsAnointmentOnly","i32","IsExpansion","IsProxyPassive","SkillType","MasteryGroup","rid"
0,"lava_lash1","Art/2DArt/SkillIcons/passives/lavalash.dds","[6048,3899]",30,8,0,0,30439,"Lava Lash",[],"",1,"","",6954,"","","",[],0,"","",0,[],"","",0,"","",0,"",""
1,"two_handed_weapon_damage_and_accuracy9","Art/2DArt/SkillIcons/passives/accuracy2h.dds","[333,11590,3094]",12,12,80,0,27140,"Two Handed Melee Damage and Leech",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"",""
2,"two_handed_weapon_damage12","Art/2DArt/SkillIcons/passives/2handeddamage.dds","[333,11590]",16,16,0,0,60169,"Two Handed Melee Damage",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"",""
3,"two_handed_weapon_damage13","Art/2DArt/SkillIcons/passives/2handeddamage.dds","[333,11590,3094]",12,12,40,0,64816,"Two Handed Melee Damage and Leech",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"",""
4,"two_handed_weapon_attack_speed15","Art/2DArt/SkillIcons/passives/2handedspeed.dds","[333,335,11590]",12,3,10,0,56381,"Two Handed Melee Damage and Attack Speed",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"",""
5,"totem_life20","Art/2DArt/SkillIcons/passives/totemandbranddamage.dds","[1788,8587]",14,14,0,0,23083,"Totem and Brand Damage",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"",""
6,"totem_duration22","Art/2DArt/SkillIcons/passives/totemlife.dds","[166,1835]",15,15,0,0,11431,"Totem Life and Physical Damage Reduction",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"",""
7,"staff_block23","Art/2DArt/SkillIcons/passives/blockstaff.dds","[409,2856]",3,3,0,3,18990,"Staff Block",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"",""
8,"whirling_barrier24","Art/2DArt/SkillIcons/passives/whirlingstaff.dds","[409,2856,2610]",6,6,20,0,42917,"Whirling Barrier",[],"",1,"","",6954,"","","",[],0,"","",0,[],"","",0,"","",0,"",""
9,"shield_block_and_block_recovery29","Art/2DArt/SkillIcons/passives/ElementalResistance2.dds","[2358,408]",2,6,0,0,62214,"Shield Spell Block and Elemental Resistances with a Shield",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"",""
10,"shield_block31","Art/2DArt/SkillIcons/passives/lifepercentage.dds",[451],36,0,0,0,59861,"Life Regeneration",[],"","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"",""
