"rownum","Id","Name"
0,"Abyss","Abyss"
1,"Acid","Acid"
2,"AngelsAndDemons","Angels and Demons"
3,"Animal","Animal"
4,"Apocalypse","Apocalypse"
5,"Apollyon","Apollyon"
6,"Arcane","Arcane"
7,"Archnemesis","Archnemesis"
8,"Arctic","Arctic"
9,"Ascendancy","Ascendancy"
10,"Atlantis","Atlantis"
11,"Atlas","Atlas"
12,"Auspicious","Auspicious"
13,"Beast","Beast"
14,"Bestiary","Bestiary"
15,"Betrayal","Betrayal"
16,"Blackguard","Blackguard"
17,"Blight","Blight"
18,"Bones","Bones"
19,"Cardinal","Cardinal"
20,"Carnival","Carnival"
21,"Cave","Cave"
22,"Celestial","Celestial"
23,"ChallengeRewards","Challenge Rewards"
24,"ChamberOfSins","Chamber of Sins"
25,"Chiyou","Chiyou"
26,"Church","Church"
27,"ClosedBetaSupporterPacks","Closed Beta"
28,"Coastal","Coastal"
29,"Coliseum","Coliseum"
30,"Core2021","Core 2021"
31,"Courthouse","Courthouse"
32,"Crypt","Crypt"
33,"Crystal","Crystal"
34,"Cursed","Cursed"
35,"Darkprism","Darkprism"
36,"Delirium","Delirium"
37,"Delve","Delve"
38,"Demonic","Demonic"
39,"Desert","Desert"
40,"Dragon","Dragon"
41,"Dungeon","Dungeon"
42,"Effects","Effects"
43,"Elder","Elder"
44,"Elemental","Elemental"
45,"Encampment","Encampment"
46,"Ethercraft","Ethercraft"
47,"Excavation","Excavation"
48,"Exiles","Exiles"
49,"Expedition","Expedition"
50,"Eyrie","Eyrie"
51,"Fairgraves","Fairgraves"
52,"Fire","Fire"
53,"FireAndIce","Fire and Ice"
54,"Forest","Forest"
55,"ForsakenMasters","Forsaken Masters"
56,"Frontier","Frontier"
57,"Gardens","Gardens"
58,"Ghostflame","Ghostflame"
59,"Glimmerwood","Glimmerwood"
60,"Gloom","Gloom"
61,"Goddess","Goddess"
62,"Golden","Golden"
63,"Gore","Gore"
64,"Gothic","Gothic"
65,"Halloween","Halloween"
66,"Harbinger","Harbinger"
67,"Harmonious","Harmonious"
68,"Harmony","Harmony"
69,"Havenwood","Havenwood"
70,"Heist","Heist"
71,"HideoutItem","Hideout Item"
72,"Highgate","Highgate"
73,"Ice","Ice"
74,"Illusionist","Illusionist"
75,"Infernal","Infernal"
76,"Innocence","Innocence"
77,"Jingwei","Jingwei"
78,"Karui","Karui"
79,"Labyrinth","Labyrinth"
80,"Legion","Legion"
81,"Library","Library"
82,"Lightning","Lightning"
83,"Maraketh","Maraketh"
84,"MidnightPact","Midnight Pact"
85,"Miracle","Miracle"
86,"Miscellaneous","Miscellaneous"
87,"Nature","Nature"
88,"Necrotic","Necrotic"
89,"OpenBetaSupporterPacks","Open Beta"
90,"Oriath","Oriath"
91,"Ornate","Ornate"
92,"Ossuary","Ossuary"
93,"Polar","Polar"
94,"Polaris","Polaris"
95,"Primeval","Primeval"
96,"PureLight","Pure Light"
97,"Purple","Purple"
98,"Reliquary","Reliquary"
99,"Ritual","Ritual"
100,"Ruins","Ruins"
101,"Sarn","Sarn"
102,"Sceptre","Sceptre"
103,"Scourge","Scourge"
104,"SinAndInnocence","Sin and Innocence"
105,"SlavePens","Slave Pens"
106,"Steampunk","Steam-Powered"
107,"Stygian","Stygian"
108,"Sunprism","Sunprism"
109,"Synthesis","Synthesis"
110,"Temple","Temple"
111,"Thaumaturgy","Thaumaturgy"
112,"Twilight","Twilight"
113,"UltimateChaos","Ultimate Chaos"
114,"Ultimatum","Ultimatum"
115,"Utility","Utility"
116,"Vaal","Vaal"
117,"Verdant","Verdant"
118,"Viper","Viper"
119,"Warlord","Warlord"
120,"Zenith","Zenith"
