"rownum","Id","Tag","Stat1","Stat2","Stat3","Stat4"
0,"fire","Fire",516,9034,10249,10705
1,"cold","Cold",517,9035,10250,10706
2,"lightning","Lightning",518,9036,10251,10707
3,"chaos","Chaos",519,9037,10252,10708
4,"spell","Spell",521,"","",""
5,"projectile","Projectile",520,9045,"",""
6,"bow","Bow",523,9039,"",""
7,"melee","Melee",522,9038,"",""
8,"minion","Minion",524,9033,"",""
9,"strength","",755,9041,"",10710
10,"dexterity","",756,9042,"",10711
11,"intelligence","",757,9043,"",10712
12,"aura","Aura",1061,9040,"",""
13,"attack","Attack","","","",""
14,"area","AoE",7909,9044,"",""
15,"duration","Duration",7908,"","",""
16,"support","Support",2219,2432,"",""
17,"curse","Curse",2024,"","",""
18,"chaining","Chaining","","","",""
19,"totem","Totem","","","",10714
20,"trap","Trap",8000,"","",""
21,"mine","Mine","","","",""
22,"movement","Movement",1258,"","",""
23,"cast","Cast","","","",""
24,"vaal","Vaal",2140,"","",10713
25,"active_skill","",2403,"","",""
26,"trigger","Trigger","","","",""
27,"warcry","Warcry",3169,"","",""
28,"golem","Golem",3173,"","",""
29,"low_max_level","","","","",""
30,"channelling","Channelling","","","",""
31,"herald","Herald",6144,"","",""
32,"brand","Brand","","","",""
33,"physical","Physical","","",10253,10709
34,"guard","Guard","","","",""
35,"travel","Travel","","","",""
36,"strike","Strike","","","",""
37,"blink","Blink","","","",""
38,"nova","Nova","","","",""
39,"banner","","","","",""
40,"slam","Slam","","","",""
41,"stance","Stance","","","",""
42,"hex","Hex",13093,"","",""
43,"mark","Mark","","","",""
44,"orb","Orb","","","",""
45,"random_element","Prismatic","","","",""
46,"arcane","Arcane","","","",""
47,"critical","Critical","","","",""
48,"exceptional","Exceptional","","","",""
49,"link","Link","","","",""
50,"blessing","Blessing","","","",""
