"rownum","MonsterVarietiesKey","i32","MinLevel","MaxLevel","i32"
0,5419,100,0,25,100
1,5420,100,0,25,100
2,5421,100,0,25,100
3,5422,100,0,25,100
4,5423,100,0,25,100
5,5424,100,10,100,100
6,5425,100,10,100,100
7,5426,100,10,100,100
8,5427,100,10,100,100
9,5428,100,25,100,100
10,5429,100,25,100,100
11,5432,100,25,100,100
12,5435,100,25,100,100
13,5438,100,25,100,100
14,5441,100,46,100,100
15,5444,100,46,100,100
16,5447,100,46,100,100
17,5450,100,46,100,100
18,5453,100,46,100,100
19,5456,20,60,100,40
20,5457,20,60,100,40
21,5458,20,60,100,40
22,5459,20,60,100,40
23,5460,20,60,100,40
24,5461,20,60,100,40
25,5462,20,60,100,40
26,5463,20,60,100,40
27,5464,20,60,100,40
