"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,19390,0,11,100,1,6,1,1
1,19391,0,50,100,3,6,1,1
2,19442,0,11,100,1,6,1,1
3,19446,0,11,100,1,6,1,1
4,19447,0,11,100,1,6,1,1
5,19448,0,11,100,1,6,1,1
6,19449,0,11,100,1,6,1,1
7,19454,0,11,100,1,6,1,1
8,19457,150,11,100,1,3,1,1
9,19458,150,25,100,4,5,1,1
10,19459,75,68,100,6,7,1,1
11,19460,150,11,100,1,3,1,1
12,19461,150,25,100,4,5,1,1
13,19462,75,68,100,6,7,1,1
14,19463,150,11,100,1,3,1,1
15,19464,150,25,100,4,5,1,1
16,19465,75,68,100,6,7,1,1
17,19456,75,68,100,3,6,1,1
18,19466,150,40,100,1,3,1,1
19,19467,75,68,100,4,5,1,1
20,19455,37,68,100,6,7,1,1
21,19444,0,11,100,1,3,1,1
22,19468,0,25,100,4,5,1,1
23,19469,0,68,100,6,7,1,1
24,19470,0,68,100,6,7,1,1
25,19450,0,11,100,1,3,1,1
26,19471,0,25,100,4,5,1,1
27,19472,0,68,100,6,7,1,1
28,19445,150,11,100,1,3,1,1
29,19473,75,40,100,4,5,1,1
30,19474,37,68,100,6,7,1,1
31,19451,150,11,100,1,6,1,1
32,19452,75,68,100,4,7,1,1
33,19475,150,68,100,3,7,1,1
