"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","Tier","i32","i32"
0,1079,6713,"",13,1,5
1,1080,6566,"",3,1,5
2,1081,6580,"",11,6,10
3,1082,6579,"",16,6,10
4,1254,6625,"",0,1,5
5,1083,6703,"",0,1,5
6,1084,6705,"",0,1,5
7,1085,6564,"",0,1,5
8,1086,6570,"",6,1,5
9,1087,6571,"",2,1,5
10,1088,6574,"",9,1,5
11,1089,6711,"",11,6,10
12,1090,6697,"",5,1,5
13,1091,6668,"",0,1,5
14,1092,6640,"",0,1,5
15,1093,6661,"",0,6,10
16,1094,6585,"",12,1,5
17,1095,6634,"",16,6,10
18,1096,6584,"",14,1,5
19,1097,6607,"",5,6,10
20,1098,6561,"",7,1,5
21,1099,6708,"",6,6,10
22,1100,6704,"",0,1,5
23,1101,6709,"",0,11,15
24,1102,6600,"",14,1,5
25,1103,8155,"",14,0,0
26,1104,6639,"",0,6,10
27,1106,6573,"",8,1,5
28,1107,6656,"",10,6,10
29,1108,6669,"",9,1,5
30,1109,6655,"",0,11,15
31,1110,6593,"",7,11,15
32,1249,6644,"",13,1,5
33,1251,6638,"",10,1,5
34,1252,6665,"",6,1,5
35,1253,6660,"",2,1,5
36,1255,6589,"",2,1,5
37,1256,6597,"",10,1,5
38,1111,6707,"",4,6,10
39,1112,6702,"",0,1,5
40,1113,6694,"",14,1,5
41,1114,6663,"",14,1,5
42,1115,10687,"",14,0,0
43,1116,6572,"",6,1,5
44,1117,6575,"",3,6,10
45,1118,6602,"",9,6,10
46,1119,6650,"",15,6,10
47,1120,6591,"",0,6,10
48,1121,6615,"",0,1,5
49,1122,6695,"",4,1,5
50,1123,6701,"",9,1,5
51,1124,6565,"",6,1,5
52,1125,6581,"",8,11,15
53,1126,6577,"",0,6,10
54,1127,6601,"",4,1,5
55,1128,6603,"",0,1,5
56,1129,6609,"",16,1,5
57,1130,6617,"",6,1,5
58,1131,7659,"",6,0,0
59,1132,6614,"",4,11,15
60,1133,10456,"",4,0,0
61,1134,6643,"",1,6,10
62,1135,6696,"",0,6,10
63,1136,6690,"",15,6,10
64,1137,6646,"",3,6,10
65,1138,6651,"",0,6,10
66,1139,6598,"",0,1,5
67,1140,6586,"",10,1,5
68,1141,10688,"",10,0,0
69,1142,6606,"",7,6,10
70,1143,7835,"",7,0,0
71,1144,6636,"",12,6,10
72,1145,10069,"",12,0,0
73,1146,6635,"",13,11,15
74,1147,6611,"",2,6,10
75,1148,6637,"",5,6,10
76,1149,6712,"",7,11,15
77,1150,6706,"",7,11,15
78,1151,6675,"",5,6,10
79,1152,6576,"",12,11,15
80,1153,6719,"",12,0,0
81,1154,6595,"",0,6,10
82,1155,6630,"",9,1,5
83,1156,6632,"",5,11,15
84,1157,8813,"",5,0,0
85,1158,6610,"",0,6,10
86,1159,6619,"",5,0,0
87,1160,7771,"",5,0,0
88,1161,6620,"",0,0,0
89,1163,6664,"",3,6,10
90,1164,6700,"",3,6,10
91,1165,10686,"",3,0,0
92,1166,6715,"",0,11,15
93,1167,6592,"",4,11,15
94,1168,6583,"",2,11,15
95,1169,6649,"",0,6,10
96,1170,6647,"",3,6,10
97,1171,6653,"",1,6,10
98,1172,6629,"",4,6,10
99,1173,7754,"",4,0,0
100,1174,6612,"",0,6,10
101,1175,6623,"",2,6,10
102,1176,10455,"",2,0,0
103,1177,6659,"",0,6,10
104,1178,6699,"",0,6,10
105,1179,6652,"",8,11,15
106,1180,6691,"",8,6,10
107,1181,6604,"",0,0,0
108,1182,6645,"",12,6,10
109,1183,6641,"",9,11,15
110,1184,6613,"",0,6,10
111,1185,6618,"",0,0,0
112,1186,6622,"",15,0,0
113,1187,7678,"",15,0,0
114,1188,6624,"",10,6,10
115,1189,6627,"",5,6,10
116,1190,8812,"",5,0,0
117,1191,6654,"",11,11,15
118,1192,6608,"",0,6,10
119,1193,6590,"",14,6,10
120,1194,6599,"",11,6,10
121,1195,6621,"",5,11,15
122,1196,6662,"",0,6,10
123,1197,6567,"",0,6,10
124,1198,6587,"",1,0,0
125,1199,6588,"",0,6,10
126,1201,6693,"",8,11,15
127,1202,6688,"",15,11,15
128,1203,6626,"",4,6,10
129,1204,7721,"",4,0,0
130,1205,6605,"",0,0,0
131,1206,6563,"",0,11,15
132,1207,6582,"",0,6,10
133,1208,6642,"",0,11,15
134,1209,7775,"",1,0,0
135,1210,6648,"",3,6,10
136,1211,7989,"",3,0,0
137,1212,6596,"",0,11,15
138,1213,6670,"",11,11,15
139,1214,6568,"",4,6,10
140,1215,6698,"",0,6,10
141,1216,6633,"",7,11,15
142,1217,6657,"",0,11,15
143,1218,6667,"",2,11,15
144,1219,6631,"",8,6,10
145,1220,6569,"",11,11,15
146,1221,6672,"",0,11,15
147,1222,6671,"",3,11,15
148,1223,6578,"",10,11,15
149,1224,6674,"",6,11,15
150,1225,6714,"",16,11,15
151,1226,6658,"",13,11,15
152,1227,6710,"",12,11,15
153,1228,6666,"",1,11,15
154,1229,6689,"",0,11,15
155,1230,6692,"",2,11,15
156,1231,6687,"",0,11,15
157,1232,6628,"",0,11,15
158,1233,6686,"",13,11,15
159,1247,6594,"",12,0,0
160,1248,6616,"",8,0,0
161,1257,6673,"",7,0,0
162,1234,6676,"",16,0,0
163,1235,6677,"",16,0,0
164,1237,6678,"",16,0,0
165,1236,6679,"",16,0,0
166,1239,6681,"",16,0,0
167,1245,6562,"",15,0,0
