"rownum","Id","rid","rid","rid","[rid]","bool","bool","[rid]","[rid]","i32","i32","i32","i32"
0,"IsNormalMonster",0,"","",[],"","",[],[],0,1,100,0
1,"IsMagicMonster",1,"","",[],"","",[],[],0,1,100,0
2,"IsRareMonster",2,"","",[],"","",[],[],0,1,100,0
3,"IsUniqueMonster",3,"","",[],"","",[],[],0,1,100,0
4,"IsMapBoss","","","",[],1,"",[],[],0,1,100,0
5,"IsNotUnique","","",3,[],"","",[],[],0,1,100,0
6,"IsBeyondMonster","",5742,"",[],"","",[],[],0,1,100,0
7,"IsInvasionBoss","",3539,"",[],"","",[],[],0,1,100,0
8,"IsTormentedSpirit","",5607,"",[],"","",[],[],0,1,100,0
9,"IsRogueExile","",8888,"",[],"","",[],[],0,1,100,0
10,"IsIzaro","",4145,"",[],"","",[],[],0,1,100,0
11,"IsNotIzaro","","","",[4145],"","",[],[],0,1,100,0
12,"IsSynthesisedMonster","","","",[],"","",[414],[],0,1,100,0
13,"IsNotConvertingPhysicalDamage","","","","[1106,1107,1108,1109]","","",[],[],0,1,100,0
14,"IsHarbinger","",9355,"",[],"","",[],[],0,1,100,0
15,"IsFirst3Possessed","",2624,"",[],"","",[],[],3,1,100,0
16,"IsCorruptedVaal","","","",[],"","",[444],[],0,1,100,0
17,"IsNotMapBoss","","","",[],"",1,[],[],0,1,100,0
18,"ShouldNotDropSplinters","",11688,"",[],"","",[],[],0,1,100,0
19,"IsWarband","",11689,"",[],"","",[],[],0,1,100,0
20,"IsElderPortal","",11690,"",[],"","",[],[],0,1,100,0
21,"IsMapBossUnderling","",11691,"",[],"","",[],[],0,1,100,0
22,"IsAfflictionWildBoss","",11692,"",[],"","",[],[],0,1,100,0
23,"IsTempleArchitect","",11725,"",[],"","",[],[],0,1,100,0
24,"IsNotTempleArchitect","","","",[11725],"","",[],[],0,1,100,0
25,"IsIncursionBoss","",11726,"",[],"","",[],[],0,1,100,0
26,"IsWarbandLeader","",11774,"",[],"","",[],[],0,1,100,0
27,"IsNotWarbandLeader","","","",[11774],"","",[],[],0,1,100,0
28,"IsBetrayalTarget","",11794,"",[],"","",[],[],0,1,100,0
29,"IsNotBetrayalTarget","","","",[11794],"","",[],[],0,1,100,0
30,"IsIncursionArchitect","",11795,"",[],"","",[],[],0,1,100,0
31,"IsNotIncursionArchitect","","","",[11795],"","",[],[],0,1,100,0
32,"IsBestiaryRedBeast","",11796,"",[],"","",[],[],0,1,100,0
33,"IsNotBestiaryRedBeast","","","",[11796],"","",[],[],0,1,100,0
34,"HeistGuard","","","",[],"","",[680],[],0,1,100,0
35,"IsNotRitualMonster","","","",[13437],"","",[],[],0,1,100,0
36,"IsShaperMonster","","","",[],"","",[690],[],0,1,100,0
37,"IsElderMonster","","","",[],"","",[691],[],0,1,100,0
38,"IsCrusaderMonster","","","",[],"","",[694],[],0,1,100,0
39,"IsEyrieMonster","","","",[],"","",[692],[],0,1,100,0
40,"IsBasiliskMonster","","","",[],"","",[693],[],0,1,100,0
41,"IsAdjudicatorMonster","","","",[],"","",[695],[],0,1,100,0
42,"IsBreachMonster","",5153,"",[],"","",[],[],0,1,100,0
43,"IsRitualRespawnedMapBoss","",7975,"",[],"","",[],[],0,1,100,0
44,"IsNotRitualRespawnedMapBoss","","","",[7975],"","",[],[],0,1,100,0
45,"IsAbyssMonster","","","",[],"","",[239],[],0,1,100,0
46,"IsEssenceMonster","",13778,"",[],"","",[],[],0,1,100,0
47,"IsInfluenceMonster","","","",[],"","",[700],[],0,1,100,0
48,"IsBlightBoss","","","",[],"","",[701],[],0,1,100,0
49,"Level4Plus","","","",[],"","",[],[],0,4,100,0
50,"IsBreachCommander","","","",[],"","",[199],[],0,1,100,0
51,"IsDelveBoss","","","",[],"","",[],[],0,1,100,11950100
52,"IsHellscapeMonster","","","",[],"","",[],[],0,1,100,-1520197555
53,"IsTangleInfluencedMonster","","","",[],"","",[],[],0,1,100,155062019
54,"IsCleansingFireInfluencedMonster","","","",[],"","",[],[],0,1,100,-1163185422
