"rownum","Id","rid","rid","bool","bool","bool","bool","i32","bool"
0,0,"",266,1,1,"",1,0,1
1,1,68,"","",1,"",1,0,1
2,2,152,153,"",1,"",1,0,1
3,3,267,268,"",1,"",1,0,1
4,4,"","","",1,"",1,0,1
5,5,267,"","",1,"",1,0,1
6,6,267,"",1,1,"",1,0,1
7,7,1401,"","","","",1,0,1
8,8,2059,"","","",1,1,0,1
9,9,2355,"","","",1,1,0,1
10,10,2514,"","","",1,1,0,1
11,11,2491,"","","","",1,0,1
12,12,2861,"","","","",1,0,1
13,13,267,"","",1,"",1,0,1
14,14,3189,"","",1,"",1,0,1
15,15,3190,"","",1,"",1,0,1
16,16,3191,"","",1,"",1,0,1
17,17,3242,"","","","",1,0,1
18,18,3382,"","","","",1,-100,1
19,19,491,266,1,"","",1,0,1
20,20,1797,"","","","",1,0,1
21,21,3587,"","","","",1,0,1
22,22,3673,"","","","",1,0,1
23,23,3674,"","","","",1,0,1
24,24,3675,"","","","",1,0,1
25,25,3832,"","","",1,1,0,1
26,26,4177,"","","","",1,0,1
27,27,4289,"","","","",1,0,1
28,28,4710,"","","","",1,0,1
29,29,4865,"",1,"",1,1,0,1
30,30,4888,"","",1,"",1,0,1
31,31,5145,"","","",1,1,0,1
32,32,5144,"","","","",1,0,1
33,33,5148,"","","",1,1,0,1
34,34,5149,"","","",1,1,0,1
35,35,5147,"","","",1,1,0,1
36,36,5194,"",1,1,1,1,0,1
37,37,5195,"",1,1,1,1,0,1
38,38,5593,"","",1,1,1,0,1
39,39,5689,"","","","",1,0,1
40,40,6168,"","","",1,1,0,1
41,41,6208,"","","",1,1,0,1
42,42,6264,"","","",1,1,0,1
43,43,6127,"","","","",1,0,1
