"rownum","Id","MonsterVarietiesKey","i32","rid","i32","bool"
0,"SkeletonMeleeFireTormentNecromancer",2273,126,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",4344,126,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",4899,126,1030,2,1
4,"EssenceBloodworm",4211,126,"",1,""
5,"Essence Elemental Swarm 1st stage",389,126,107,4,1
6,"Essence Elemental Swarm 2nd stage",390,126,107,2,1
7,"Essence Elemental Swarm 3rd stage",391,126,107,2,1
8,"Essence Rock Golem",4464,126,"",1,1
9,"Essence Explosive Insect",1525,126,"",1,1
10,"Volatile Flameblood",4926,126,"",1,1
11,"Obsidian Golem",4146,126,"",1,1
12,"TormentedBetrayerBeacon",7230,126,"",1,""
13,"BlightDaemonFire",7544,126,107,1,""
14,"BlightDaemonCold",7546,126,109,1,""
15,"BlightDaemonLightning",7548,126,440,1,""
16,"BlightDaemonPhysical",7550,126,515,1,""
17,"BlightDaemonChaos",7552,126,1045,1,""
