"rownum","Id","Name","StyleFlag","Group","[i32]","bool","IsDisabled"
0,"Gloves","Gloves",2,0,"[1,2]","",""
1,"Boots","Boots",2,0,"[1,2]","",""
2,"BodyArmours","Body Armours",2,0,"[1,2]","",""
3,"Helmets","Helmets",2,0,"[1,2]","",""
4,"Claws","Claws",2,1,[1],"",""
5,"Daggers","Daggers",2,1,[1],"",""
6,"Wands","Wands",2,1,[1],"",""
7,"OneHandSwords","One Hand Swords",2,1,[1],"",""
8,"ThrustingOneHandSwords","Thrusting One Hand Swords",2,1,[1],"",""
9,"OneHandAxes","One Hand Axes",2,1,[1],"",""
10,"OneHandMaces","One Hand Maces",2,1,[1],"",""
11,"Sceptres","Sceptres",2,1,[1],"",""
12,"RuneDaggers","Rune Daggers",2,1,[1],"",""
13,"Bows","Bows",2,2,[1],"",""
14,"Staves","Staves",2,2,[1],"",""
15,"TwoHandSwords","Two Hand Swords",2,2,[1],"",""
16,"TwoHandAxes","Two Hand Axes",2,2,[1],"",""
17,"TwoHandMaces","Two Hand Maces",2,2,[1],"",""
18,"Warstaves","Warstaves",2,2,[1],"",""
19,"Quivers","Quivers",2,3,[1],"",""
20,"Shields","Shields",2,3,"[1,2]","",""
21,"Amulets","Amulets",2,4,[],"",""
22,"Rings","Rings",2,4,[],"",""
23,"Belts","Belts",2,4,[],"",""
24,"Talismans","Talismans",2,4,[4],"",""
25,"Trinkets","Trinkets",2,4,[],"",""
26,"ActiveSkillGems","Active Skill Gems",3,5,[],"",""
27,"SupportSkillGems","Support Skill Gems",3,5,[],"",""
28,"LifeFlasks","Life Flasks",2,6,[1],"",""
29,"ManaFlasks","Mana Flasks",2,6,[1],"",""
30,"HybridFlasks","Hybrid Flasks",2,6,[1],"",""
31,"UtilityFlasks","Utility Flasks",2,6,[1],"",""
32,"Leaguestones","Leaguestones",1,7,[],"",1
33,"Maps","Maps",1,7,[3],"",""
34,"Jewels","Jewels",1,7,[],"",""
35,"AbyssJewels","Abyss Jewels",1,7,[],"",""
36,"MapFragments","Map Fragments",0,7,[],"",""
37,"MiscMapItems","Misc Map Items",0,7,[],"",""
38,"Currency","Currency",0,7,[],"",""
39,"DivinationCards","Divination Cards",1,7,[],"",""
40,"UniqueFragments","Pieces",1,7,[],"",""
41,"Essence","Essences",0,7,[3],"",""
42,"Delve","Delve Items",1,7,[],"",""
43,"Scarab","Scarabs",1,7,[],"",""
44,"Incubators","Incubators",1,7,[],"",""
45,"Oils","Oils",1,7,[],"",""
46,"MetamorphOrgans","Organs",1,7,[],"",""
47,"HeistItems","Heist Items",1,7,[],"",""
48,"ExpeditionItems","Expedition Items",0,7,[],"",""
49,"ScourgeCurrency","Scourge Currency",0,7,[],"",""
50,"Microtransactions","Microtransactions",1,7,[],1,""
