"rownum","string","MapStatConditionsKeys","StatsKeys","AchievementItemsKeys","MapTierAchievementsKeys","bool","WorldAreasKeys"
0,"IIQGrind",[],[1038],[],[],1,[0]
1,"TierGrind",[],[10024],[8218],[],1,[0]
2,"LeaguestoneGrind",[8],[],[],[],1,[0]
3,"Twinned",[3],[],[],[28],1,[0]
4,"RareUnid","[1,4]",[],[],[27],1,[0]
5,"Rare8Mod","[1,6]",[],[],[],1,[0]
6,"Rare8ModRed","[1,6,16]",[],[8094],[],1,[0]
7,"ShaperInfluenceGrind",[11],[],[],[],1,[0]
8,"ElderInfluenceGrind",[12],[],[],[],1,[0]
9,"ShaperElderInfluenceGrind",[13],[],[],[],1,[0]
10,"ZanaMod",[9],[],[],[],1,[0]
11,"CraftedMods",[10],[],[],[],1,[0]
12,"Corrupted",[5],[],[],[],1,[0]
13,"AnySextant",[17],[],[],[],1,[0]
14,"NemesisSextant",[18],[],[],[],1,[0]
15,"GroundHasteSextant",[19],[],[],[],1,[0]
16,"NoReflectSextant",[20],[],[],[],1,[0]
17,"ExtraTeamMonstersSextant",[21],[],[],[],1,[0]
18,"BodyguardsSextant",[22],[],[],[],1,[0]
19,"BarrelSextant","[23,24,25,26,27,28]",[],[],[],"",[0]
20,"ConvertOnDeathSextant",[29],[],[],[],1,[0]
21,"OnslaughtIfHitRecentlySextant",[30],[],[],[],1,[0]
22,"QualityAffectsRaritySextant",[31],[],[],[],1,[0]
23,"CorruptedDropsSextant",[32],[],[],[],1,[0]
24,"MinStrongboxRaritySextant",[33],[],[],[],1,[0]
25,"PossessedRustedScarabSextant",[34],[],[],[],1,[0]
26,"PossessedPolishedScarabSextant",[35],[],[],[],1,[0]
27,"PossessedGildedScarabSextant",[36],[],[],[],1,[0]
28,"PossessedUniqueDropSextant",[38],[],[],[],1,[0]
29,"PossessedMapDropSextant",[39],[],[],[],1,[0]
30,"ShrineDurationSextant",[40],[],[],[],1,[0]
31,"CurrencyShardSextant",[41],[],[],[],1,[0]
32,"VaalMonstersSextant",[42],[],[],[],1,[0]
33,"BeyondSextant",[43],[],[],[],1,[0]
34,"TormentBetrayersSextant",[44],[],[],[],1,[0]
35,"TormentHereticsSextant",[45],[],[],[],1,[0]
36,"TormentGraverobbersSextant",[46],[],[],[],1,[0]
37,"CorruptEssenceSextant",[47],[],[],[],1,[0]
38,"LegionSextant","[17,49]",[],[],[],1,[0]
39,"Tempest",[48],[],[],[],1,[0]
40,"Total10Mods",[7],[],[1023],[],1,[0]
41,"HasQuality",[50],[],[],[],1,[0]
42,"RareDeliriumMap","[1,51]",[],[],[],1,[0]
43,"RareDeliriumMapMaxDelirium","[1,52]",[],[7101],[],1,[0]
44,"TwinnedMapMaxDelirium","[3,52]",[],[],[],1,[0]
45,"RareMapAwakening8MaxDelirium","[1,53,52]",[],[],[],1,[0]
46,"ElderGuardianMapMaxDelirium","[54,52]",[],[],[],1,[0]
47,"RareBlightedMap","[1,55]",[],[],[],1,[0]
48,"UniqueMap_HallOfGrandmasters",[],[],[4219],[],1,"[1190,993,858,782]"
49,"UniqueMap_WhakawairuaTuahu",[],[],"[8168,8365,8559]",[],1,"[1103,962,871,793]"
50,"UniqueMap_VinktarSquare",[],[],"[4222,8169,8366,8560]",[],1,"[1157,1001,910]"
51,"UniqueMap_VaultsOfAtziri",[],[],"[8159,8356,8550]",[],1,"[1153,938,845,768]"
52,"UniqueMap_PutridCloister",[],[],"[8171,8368,8562]",[],1,"[1176,940]"
53,"UniqueMap_PoorjoysAsylum",[],[],"[8163,8360,8554]",[],1,"[1173,997,868,790]"
54,"UniqueMap_PerandusManor",[],[],[8175],[],1,"[1105,1009,899]"
55,"UniqueMap_OlmecsSanctum",[],[],"[8166,8363,8557]",[],1,"[1143,969,876,809]"
56,"UniqueMap_ObasCursedTrove",[],[],"[8165,8362,8556]",[],1,"[1209,1013,878,798]"
57,"UniqueMap_MaoKun",[],[],"[8164,8361,8555]",[],1,"[1160,995,847,770]"
58,"UniqueMap_MaelstromOfChaos",[],[],"[8160,8357,8551]",[],1,"[1131,980,838,761]"
59,"UniqueMap_HallowedGround",[],[],"[8172,8369,8563]",[],1,"[1133,922]"
60,"UniqueMap_DeathAndTaxes",[],[],"[8167,8364,8558]",[],1,"[1211,1019,894,813]"
61,"UniqueMap_CowardsTrial",[],[],"[8161,8358,8552]",[],1,"[1187,987,826,748]"
62,"UniqueMap_CaerBlaidd",[],[],"[8170,8367,8561]",[],1,"[1145,1006,861]"
63,"UniqueMap_ActonsNightmare",[],[],"[8162,8359,8553]",[],1,"[1204,991,853,777]"
64,"UniqueMap_DoryanisMachinarium",[],[],"[8176,8372,8566]",[],1,[1115]
65,"UniqueMap_TwilightTemple",[],[],"[8173,8370,8564]",[],1,[1165]
66,"UniqueMap_PillarsOfArun",[],[],"[8174,8371,8565]",[],1,[1141]
67,"VaalTemple",[],[],[],[],1,"[1239,1049,917,824]"
68,"TwinnedCaldera",[3],[],[],[],1,"[1213,1039,920]"
69,"TwinnedColosseum",[3],[],[],[],1,"[1222,1040,921]"
70,"TwinnedCore",[3],[],[],[],1,"[1221,1041,919]"
71,"TwinnedMalformation",[3],[],[],[],1,"[1216,1002,892]"
72,"TwinnedMaze",[3],[],[],[],1,"[1114,1033,916,808]"
73,"TwinnedMuseum",[3],[],[],[],1,"[1175,988,850,773]"
74,"TwinnedNecropolis",[3],[],[],[],1,"[1210,1018,893,812]"
75,"TwinnedPalace",[3],[],[],[],1,"[1228,1035,913,822]"
76,"TwinnedPark",[3],[],[],[],1,[1215]
