"rownum","InfluenceMod","UpgradedMod","bool"
0,14196,23968,1
1,14197,23969,1
2,14198,14199,""
3,14199,23970,1
4,14200,14201,""
5,14201,23971,1
6,14202,14203,""
7,14203,23972,1
8,14204,23973,1
9,14206,23974,1
10,14208,14209,""
11,14209,23975,1
12,14210,14211,""
13,14211,23976,1
14,14212,23977,1
15,14213,14214,""
16,14214,23978,1
17,14215,14216,""
18,14216,23979,1
19,14217,14218,""
20,14218,23980,1
21,14219,14220,""
22,14220,23981,1
23,14221,14222,""
24,14222,23982,1
25,14223,14224,""
26,14224,23983,1
27,14225,14226,""
28,14226,23984,1
29,14227,14228,""
30,14228,23985,1
31,14229,14230,""
32,14230,23986,1
33,14231,14232,""
34,14232,23987,1
35,20127,20128,""
36,20128,23988,1
37,20203,20204,""
38,20204,23989,1
39,20205,23990,1
40,20209,20210,""
41,20210,23993,1
42,20211,23994,1
43,20212,20213,""
44,20213,23995,1
45,20214,20215,""
46,20215,23996,1
47,20216,20217,""
48,20217,23997,1
49,20218,23998,1
50,20219,23999,1
51,20220,20221,""
52,20221,20222,""
53,20222,24000,1
54,20223,20224,""
55,20224,24001,1
56,20225,24002,1
57,20226,20227,""
58,20227,24003,1
59,20228,20229,""
60,20229,24004,1
61,20230,24005,1
62,20231,20232,""
63,20232,24006,1
64,20233,24007,1
65,20234,24008,1
66,20235,24009,1
67,20236,20237,""
68,20237,24010,1
69,20238,24011,1
70,20239,20240,""
71,20240,24012,1
72,20241,20242,""
73,20242,24013,1
74,20243,20244,""
75,20244,24014,1
76,20245,20246,""
77,20246,24015,1
78,20247,20248,""
79,20248,24016,1
80,20249,24018,1
81,20250,24019,1
82,20251,20252,""
83,20252,24020,1
84,20253,20254,""
85,20254,24021,1
86,20255,20256,""
87,20256,24022,1
88,20257,20258,""
89,20258,24023,1
90,14129,14130,""
91,14130,14131,""
92,14131,24024,1
93,14132,14133,""
94,14133,14134,""
95,14134,24025,1
96,14135,14136,""
97,14136,24026,1
98,14137,14138,""
99,14138,14139,""
100,14139,24027,1
101,14140,14141,""
102,14141,14142,""
103,14142,24028,1
104,14146,14147,""
105,14147,14148,""
106,14148,24030,1
107,14149,14150,""
108,14150,14151,""
109,14151,24031,1
110,14152,14153,""
111,14153,14154,""
112,14154,24032,1
113,14155,14156,""
114,14156,14157,""
115,14157,24033,1
116,14158,14159,""
117,14159,14160,""
118,14160,24034,1
119,14161,14162,""
120,14162,14163,""
121,14163,24035,1
122,14164,14165,""
123,14165,24036,1
124,14166,24037,1
125,14167,14168,""
126,14168,14169,""
127,14169,24038,1
128,14170,14171,""
129,14171,14172,""
130,14172,24039,1
131,14173,14174,""
132,14174,14175,""
133,14175,24040,1
134,14176,14177,""
135,14177,14178,""
136,14178,24041,1
137,14179,14180,""
138,14180,14181,""
139,14181,24042,1
140,14182,14183,""
141,14183,24043,1
142,14184,14185,""
143,14185,24044,1
144,14186,14187,""
145,14187,24045,1
146,14188,14189,""
147,14189,14190,""
148,14190,24046,1
149,14191,14192,""
150,14192,14193,""
151,14193,24047,1
152,14194,24048,1
153,14195,24049,1
154,20016,20017,""
155,20017,24050,1
156,20123,20124,""
157,20124,24051,1
158,20129,20130,""
159,20130,24053,1
160,20131,24054,1
161,20132,20133,""
162,20133,24055,1
163,20134,20135,""
164,20135,24056,1
165,20136,24057,1
166,20137,20138,""
167,20138,20139,""
168,20139,24058,1
169,20140,20141,""
170,20141,20142,""
171,20142,24059,1
172,20143,20144,""
173,20144,20145,""
174,20145,24060,1
175,20146,24061,1
176,20147,20148,""
177,20148,24062,1
178,20149,20150,""
179,20150,20151,""
180,20151,24063,1
181,20152,20153,""
182,20153,24064,1
183,20154,24065,1
184,20155,20156,""
185,20156,20157,""
186,20157,24066,1
187,20158,20159,""
188,20159,24067,1
189,20160,24068,1
190,20161,20162,""
191,20162,20163,""
192,20163,24069,1
193,20164,20165,""
194,20165,24070,1
195,20166,20167,""
196,20167,24071,1
197,20168,24072,1
198,20169,24073,1
199,20170,20172,""
200,20172,24074,1
201,20174,20175,""
202,20175,24076,1
203,20176,20177,""
204,20177,24077,1
205,20178,20179,""
206,20179,24078,1
207,20180,20181,""
208,20181,24079,1
209,20182,20183,""
210,20183,20184,""
211,20184,24080,1
212,20185,20186,""
213,20186,20187,""
214,20187,24081,1
215,20188,20189,""
216,20189,20190,""
217,20190,24082,1
218,20191,20192,""
219,20192,20193,""
220,20193,24083,1
221,20194,20195,""
222,20195,20196,""
223,20196,24084,1
224,20197,24085,1
225,20198,20199,""
226,20199,24086,1
227,20200,24087,1
228,20201,24088,1
229,20202,24089,1
230,14066,14067,""
231,14067,14068,""
232,14068,24090,1
233,14069,14070,""
234,14070,14071,""
235,14071,24091,1
236,14072,14073,""
237,14073,14074,""
238,14074,24092,1
239,14075,24093,1
240,14076,14077,""
241,14077,14078,""
242,14078,24094,1
243,14079,14080,""
244,14080,14081,""
245,14081,24095,1
246,14082,14083,""
247,14083,14084,""
248,14084,24096,1
249,14085,24097,1
250,14090,14091,""
251,14091,14092,""
252,14092,24100,1
253,14093,14094,""
254,14094,14095,""
255,14095,24101,1
256,14096,14097,""
257,14097,14098,""
258,14098,24102,1
259,14099,14100,""
260,14100,14101,""
261,14101,24103,1
262,14102,14103,""
263,14103,14104,""
264,14104,24104,1
265,14105,14106,""
266,14106,14107,""
267,14107,24105,1
268,14108,14109,""
269,14109,14110,""
270,14110,24106,1
271,14111,14112,""
272,14112,24107,1
273,14115,14116,""
274,14116,14117,""
275,14117,24108,1
276,14118,14119,""
277,14119,24109,1
278,14120,14121,""
279,14121,14122,""
280,14122,24110,1
281,14123,14124,""
282,14124,14125,""
283,14125,24111,1
284,14126,14127,""
285,14127,14128,""
286,14128,24112,1
287,17534,17535,""
288,17535,24113,1
289,17548,17549,""
290,17549,24114,1
291,17563,17564,""
292,17564,24115,1
293,17579,17580,""
294,17580,24116,1
295,20007,20008,""
296,20008,20009,""
297,20009,24117,1
298,20052,20053,""
299,20053,24118,1
300,20056,20057,""
301,20057,24120,1
302,20058,20059,""
303,20059,24121,1
304,20060,20061,""
305,20061,24122,1
306,20062,24123,1
307,20063,24124,1
308,20064,20065,""
309,20065,20066,""
310,20066,24125,1
311,20067,20068,""
312,20068,20069,""
313,20069,24126,1
314,20070,24127,1
315,20071,20072,""
316,20072,20073,""
317,20073,24128,1
318,20074,20075,""
319,20075,20076,""
320,20076,24129,1
321,20077,20078,""
322,20078,20079,""
323,20079,24130,1
324,20080,20081,""
325,20081,20082,""
326,20082,24131,1
327,20083,24132,1
328,20084,20085,""
329,20085,24133,1
330,20086,24134,1
331,20087,20088,""
332,20088,24135,1
333,20089,20090,""
334,20090,24136,1
335,20091,20092,""
336,20092,24137,1
337,20093,20094,""
338,20094,24138,1
339,20095,20096,""
340,20096,24139,1
341,20097,20098,""
342,20098,20099,""
343,20099,24140,1
344,20100,20101,""
345,20101,24141,1
346,20102,20103,""
347,20103,24142,1
348,20104,24143,1
349,20105,24144,1
350,20106,24145,1
351,20107,24146,1
352,20108,20109,""
353,20109,24147,1
354,20111,20112,""
355,20112,24148,1
356,20113,20114,""
357,20114,24149,1
358,20115,20116,""
359,20116,24150,1
360,20117,20118,""
361,20118,24151,1
362,20119,20120,""
363,20120,24152,1
364,20121,20122,""
365,20122,24153,1
366,20339,24154,1
367,14028,24155,1
368,14029,24156,1
369,14030,24157,1
370,14031,24158,1
371,14032,24159,1
372,14033,24160,1
373,14034,24161,1
374,14035,14036,""
375,14036,14037,""
376,14037,24162,1
377,14038,14039,""
378,14039,14040,""
379,14040,24163,1
380,14041,14042,""
381,14042,14043,""
382,14043,24164,1
383,14044,14045,""
384,14045,14046,""
385,14046,24165,1
386,14047,14048,""
387,14048,24166,1
388,14049,14050,""
389,14050,24167,1
390,14051,14052,""
391,14052,14053,""
392,14053,24168,1
393,14054,14055,""
394,14055,14056,""
395,14056,24169,1
396,14057,14058,""
397,14058,14059,""
398,14059,24170,1
399,14060,14061,""
400,14061,14062,""
401,14062,24171,1
402,14063,24172,1
403,14064,24173,1
404,14065,24174,1
405,19981,24175,1
406,19982,24176,1
407,19983,19984,""
408,19984,24177,1
409,19987,19988,""
410,19988,24179,1
411,19989,19990,""
412,19990,24180,1
413,19991,19992,""
414,19992,19993,""
415,19993,24181,1
416,19994,19995,""
417,19995,19996,""
418,19996,24182,1
419,19997,19998,""
420,19998,19999,""
421,19999,24183,1
422,20000,20001,""
423,20001,24184,1
424,20002,24185,1
425,20003,24186,1
426,20004,24187,1
427,20005,20006,""
428,20006,24188,1
429,20010,20011,""
430,20011,24189,1
431,20012,20013,""
432,20013,24190,1
433,20014,20015,""
434,20015,24191,1
435,20018,24192,1
436,20019,24193,1
437,20020,24194,1
438,20021,20022,""
439,20022,24195,1
440,20023,20024,""
441,20024,24196,1
442,20025,24197,1
443,20026,20027,""
444,20027,20028,""
445,20028,24198,1
446,20029,20030,""
447,20030,20031,""
448,20031,24199,1
449,20032,20033,""
450,20033,24200,1
451,20034,20035,""
452,20035,24201,1
453,20036,24202,1
454,20037,24203,1
455,20038,20039,""
456,20039,24204,1
457,20040,20041,""
458,20041,24205,1
459,20042,20043,""
460,20043,20044,""
461,20044,24206,1
462,20045,24207,1
463,20046,20047,""
464,20047,24208,1
465,20048,20049,""
466,20049,24209,1
467,20050,20051,""
468,20051,24210,1
469,20207,20208,""
470,20208,23992,1
471,14086,24098,1
472,23969,23969,1
473,23970,23970,1
474,23971,23971,1
475,23972,23972,1
476,23973,23973,1
477,23974,23974,1
478,23975,23975,1
479,23976,23976,1
480,23977,23977,1
481,23978,23978,1
482,23979,23979,1
483,23980,23980,1
484,23981,23981,1
485,23982,23982,1
486,23983,23983,1
487,23984,23984,1
488,23985,23985,1
489,23986,23986,1
490,23987,23987,1
491,23988,23988,1
492,23989,23989,1
493,23990,23990,1
494,23993,23993,1
495,23994,23994,1
496,23995,23995,1
497,23996,23996,1
498,23997,23997,1
499,23998,23998,1
500,23999,23999,1
501,24000,24000,1
502,24001,24001,1
503,24002,24002,1
504,24003,24003,1
505,24004,24004,1
506,24005,24005,1
507,24006,24006,1
508,24007,24007,1
509,24008,24008,1
510,24009,24009,1
511,24010,24010,1
512,24011,24011,1
513,24012,24012,1
514,24013,24013,1
515,24014,24014,1
516,24015,24015,1
517,24016,24016,1
518,24017,24017,1
519,24019,24019,1
520,24020,24020,1
521,24021,24021,1
522,24022,24022,1
523,24023,24023,1
524,24024,24024,1
525,24025,24025,1
526,24026,24026,1
527,24027,24027,1
528,24028,24028,1
529,24030,24030,1
530,24031,24031,1
531,24032,24032,1
532,24033,24033,1
533,24034,24034,1
534,24035,24035,1
535,24036,24036,1
536,24037,24037,1
537,24038,24038,1
538,24039,24039,1
539,24040,24040,1
540,24041,24041,1
541,24042,24042,1
542,24043,24043,1
543,24044,24044,1
544,24045,24045,1
545,24046,24046,1
546,24047,24047,1
547,24048,24048,1
548,24049,24049,1
549,24050,24050,1
550,24051,24051,1
551,24053,24053,1
552,24054,24054,1
553,24055,24055,1
554,24056,24056,1
555,24057,24057,1
556,24058,24058,1
557,24059,24059,1
558,24060,24060,1
559,24061,24061,1
560,24062,24062,1
561,24063,24063,1
562,24064,24064,1
563,24065,24065,1
564,24066,24066,1
565,24067,24067,1
566,24068,24068,1
567,24069,24069,1
568,24070,24070,1
569,24071,24071,1
570,24072,24072,1
571,24073,24073,1
572,24074,24074,1
573,24076,24076,1
574,24077,24077,1
575,24078,24078,1
576,24079,24079,1
577,24080,24080,1
578,24081,24081,1
579,24082,24082,1
580,24083,24083,1
581,24084,24084,1
582,24085,24085,1
583,24086,24086,1
584,24087,24087,1
585,24088,24088,1
586,24089,24089,1
587,24090,24090,1
588,24091,24091,1
589,24092,24092,1
590,24093,24093,1
591,24094,24094,1
592,24095,24095,1
593,24096,24096,1
594,24097,24097,1
595,24100,24100,1
596,24101,24101,1
597,24102,24102,1
598,24103,24103,1
599,24104,24104,1
600,24105,24105,1
601,24106,24106,1
602,24107,24107,1
603,24108,24108,1
604,24109,24109,1
605,24110,24110,1
606,24111,24111,1
607,24112,24112,1
608,24113,24113,1
609,24114,24114,1
610,24115,24115,1
611,24116,24116,1
612,24117,24117,1
613,24118,24118,1
614,24120,24120,1
615,24121,24121,1
616,24122,24122,1
617,24123,24123,1
618,24124,24124,1
619,24125,24125,1
620,24126,24126,1
621,24127,24127,1
622,24128,24128,1
623,24129,24129,1
624,24130,24130,1
625,24131,24131,1
626,24132,24132,1
627,24133,24133,1
628,24134,24134,1
629,24135,24135,1
630,24136,24136,1
631,24137,24137,1
632,24138,24138,1
633,24139,24139,1
634,24140,24140,1
635,24141,24141,1
636,24142,24142,1
637,24143,24143,1
638,24144,24144,1
639,24145,24145,1
640,24146,24146,1
641,24147,24147,1
642,24148,24148,1
643,24149,24149,1
644,24150,24150,1
645,24151,24151,1
646,24152,24152,1
647,24153,24153,1
648,24154,24154,1
649,24155,24155,1
650,24156,24156,1
651,24157,24157,1
652,24158,24158,1
653,24159,24159,1
654,24160,24160,1
655,24161,24161,1
656,24162,24162,1
657,24163,24163,1
658,24164,24164,1
659,24165,24165,1
660,24166,24166,1
661,24167,24167,1
662,24168,24168,1
663,24169,24169,1
664,24170,24170,1
665,24171,24171,1
666,24172,24172,1
667,24173,24173,1
668,24174,24174,1
669,24175,24175,1
670,24176,24176,1
671,24177,24177,1
672,24179,24179,1
673,24180,24180,1
674,24181,24181,1
675,24182,24182,1
676,24183,24183,1
677,24184,24184,1
678,24185,24185,1
679,24186,24186,1
680,24187,24187,1
681,24188,24188,1
682,24189,24189,1
683,24190,24190,1
684,24191,24191,1
685,24192,24192,1
686,24193,24193,1
687,24194,24194,1
688,24195,24195,1
689,24196,24196,1
690,24197,24197,1
691,24198,24198,1
692,24199,24199,1
693,24200,24200,1
694,24201,24201,1
695,24202,24202,1
696,24203,24203,1
697,24204,24204,1
698,24205,24205,1
699,24206,24206,1
700,24207,24207,1
701,24208,24208,1
702,24209,24209,1
703,24210,24210,1
704,23992,23992,1
705,24098,24098,1
706,20171,20173,""
707,20173,24075,1
708,19985,19986,""
709,19986,24178,1
710,20054,20055,""
711,20055,24119,1
712,20125,20126,""
713,20126,24052,1
