"rownum","Id","[rid]","[i32]","[i32]","[i32]","Variants","[rid]","[i32]","[rid]","rid","[i32]","[rid]","[i32]"
0,"global_auras",[],[],[],[],"[""Default"",""Archon"",""Imp"",""Carnage"",""Trinity"",""SoulNexus"",""ForceField"",""ArcticSkull"",""LightningSkull"",""InfernalSkull"",""Corsair"",""Betrayal"",""Mystic"",""Lava"",""Stygian"",""Celestial"",""Celestial_Tencent1"",""Celestial_Tencent2"",""Celestial_Tencent3"",""Huntsman"",""Madcap"",""Plated"",""Dragon"",""DragonBlue"",""Illusionist"",""Legion"",""Wrangler"",""Wild"",""Lich"",""Harlequin"",""CorruptedEmperor"",""Ringmaster"",""Black"",""White"",""Dragon_Hunter"",""Balefire"",""Dark_Magic"",""Scientist"",""Project"",""Angelic"",""Demonic"",""FrostViking"",""Sunrise"",""Nightfall"",""Darkwood"",""EthercraftSavage"",""EthercraftEnraged"",""EthercraftTranquil"",""EthercraftChaotic"",""DualDragon"",""Misery"",""Suffering"",""Sun"",""Lightbringer"",""Darkshard"",""Merchant"",""Scavenger"",""Overseer"",""Siren"",""Deepwater""]",[0],"[18079,842,14646,60842,33608,37998,19034,44108,43340,36671,51220,44880,45462,43749,39541,27572,46439,46436,46437,10526,59045,33232,25624,63772,54759,24373,13661,28806,56631,15800,7859,25284,25619,15971,13085,23387,50237,64816,55295,36925,61278,36735,53117,57192,12926,65156,54226,1322,49284,27394,32478,2790,34292,55723,35955,40677,46158,5427,42935,57983]",[],347,[],[],[]
1,"anger",[0],[],[],[],"[""Default"",""Alternate"",""Talisman""]",[61],"[18079,25075,50744]",[],347,[],[155],[]
2,"hatred",[1],[],[],[],"[""Default"",""Alternate"",""Talisman"",""SmallTalisman""]",[64],"[18079,25075,50744,23449]",[],347,[],"[156,157]",[]
3,"wrath",[3],[],[],[],"[""Default"",""Alternate"",""Talisman""]",[68],"[18079,25075,50744]",[],347,[],"[158,1115]",[]
4,"haste",[4],[],[],[],"[""Default"",""Alternate"",""Wandering""]",[71],"[18079,25075,11702]",[],347,[],"[143,1114]",[]
5,"default_ranged",[],[],[],[],[],[],[],[0],4823,[],"[57,58]",[]
6,"steelskin",[5],[],"[0,0]",[],"[""Default"",""Maven"",""Stygian""]",[74],"[18079,1353,39541]",[],347,[],"[1179,1310]",[]
7,"cremation","[8,16,24]",[],[],[],"[""Default"",""Elder"",""Abyss"",""Gore"",""Quicksilver"",""Darkwood"",""VaalOrb"",""VoidEmperor""]",[],"[18079,18332,37812,63064,7534,12926,3918,48015]",[36],347,[],"[954,955]",[]
8,"consecrated_path","[32,36,40]",[],[],[],"[""Default"",""Elreon"",""Stygian"",""Celestial""]",[],"[18079,49177,39541,27572]",[],347,[],[1080],[]
9,"consecrated_path_ancestral","[44,47,50]",[],[],[],"[""Default"",""Elreon"",""Stygian"",""Celestial""]",[],"[18079,49177,39541,27572]",[],347,[],[1080],[]
10,"divine_cry",[53],[0],"[6,0]",[],"[""Default"",""UNUSED"",""Celestial"",""Wolf""]",[330],"[18079,64124,27572,45252]",[],347,[],[1327],[]
11,"absolution_blast","[56,58,60,62]",[],[],[],"[""Default"",""DefaultMinion""]",[],"[18079,43854]",[],347,[0],[1328],[]
12,"ignite",[],[],[],[],"[""Default"",""White"",""Ghostfire"",""Blue"",""Stygian"",""Corsair"",""Blackflame"",""Holy"",""Empyrean"",""PolarisWhite"",""PolarisBlack"",""Glimmerwood"",""Demonic"",""Nightfall"",""BlackflameUnique"",""StygianHoly"",""Celestial"",""CelestialConsecratedPath"",""VoidEmperor"",""Mystic""]",[77],"[18079,15971,49596,52194,39541,51220,37683,27667,17735,41774,36530,61967,61278,57192,20329,739,27572,56350,48015,45462]",[],13433,[],[],[]
13,"shock",[],[],[],[],"[""Default"",""Purple"",""Divine"",""Red"",""Empyrean"",""Green"",""Stygian"",""Celestial""]",[101],"[18079,19343,29263,16806,17735,15240,39541,27572]",[],1725,[],[],[]
