"rownum","Id","BaseItemTypesKey","PosX","PosY","Order","SizeX","SizeY","bool","i32","i32","bool"
0,"Metadata/Items/MapFragments/CurrencyVaalFragment1_1",6460,220,74,0,1,1,"",0,70,""
1,"Metadata/Items/MapFragments/CurrencyVaalFragment1_2",6461,220,169,1,1,1,"",0,70,""
2,"Metadata/Items/MapFragments/CurrencyVaalFragment1_3",6462,122,169,2,1,1,"",0,70,""
3,"Metadata/Items/MapFragments/CurrencyVaalFragment1_4",6463,122,74,3,1,1,"",0,70,""
4,"Metadata/Items/MapFragments/CurrencyVaalFragment2_1",6465,744,74,4,1,1,"",0,70,""
5,"Metadata/Items/MapFragments/CurrencyVaalFragment2_2",6466,744,169,5,1,1,"",0,70,""
6,"Metadata/Items/MapFragments/CurrencyVaalFragment2_3",6467,647,169,6,1,1,"",0,70,""
7,"Metadata/Items/MapFragments/CurrencyVaalFragment2_4",6468,647,74,7,1,1,"",0,70,""
8,"Metadata/Items/MapFragments/CurrencyProphecyFragment1",6470,482,74,8,1,1,"",0,70,1
9,"Metadata/Items/MapFragments/CurrencyProphecyFragment2",6471,482,169,9,1,1,"",0,70,1
10,"Metadata/Items/MapFragments/CurrencyProphecyFragment3",6472,385,169,10,1,1,"",0,70,1
11,"Metadata/Items/MapFragments/CurrencyProphecyFragment4",6473,385,74,11,1,1,"",0,70,1
12,"Metadata/Items/MapFragments/CurrencyShaperFragment1",6475,482,697,12,1,1,"",0,70,""
13,"Metadata/Items/MapFragments/CurrencyShaperFragment2",6476,482,791,13,1,1,"",0,70,""
14,"Metadata/Items/MapFragments/CurrencyShaperFragment3",6477,385,791,14,1,1,"",0,70,""
15,"Metadata/Items/MapFragments/CurrencyShaperFragment4",6478,385,697,15,1,1,"",0,70,""
16,"Metadata/Items/MapFragments/CurrencyFragmentPantheonFlask",6495,122,584,16,1,1,"",0,70,""
17,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire",6496,228,315,17,1,1,"",1,74,""
18,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold",6497,329,315,18,1,1,"",1,74,""
19,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning",6498,430,315,19,1,1,"",1,74,""
20,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical",6499,532,315,20,1,1,"",1,74,""
21,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos",6500,633,315,21,1,1,"",1,74,""
22,"Metadata/Items/Currency/CurrencyBreachFireShard",186,228,197,22,1,1,1,1,74,""
23,"Metadata/Items/Currency/CurrencyBreachColdShard",187,329,197,23,1,1,1,1,74,""
24,"Metadata/Items/Currency/CurrencyBreachLightningShard",188,430,197,24,1,1,1,1,74,""
25,"Metadata/Items/Currency/CurrencyBreachPhysicalShard",189,532,197,25,1,1,1,1,74,""
