"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","i32","i32","i32","rid","i32","bool","rid"
0,169,[171],1230,1,2615,2615,112,108,44,"",""
1,326,"[340,325]",1231,2,2615,2615,606,110,44,"",""
2,338,"[24,226,337]",1227,3,2615,243,1203,11,44,1,""
3,333,"[328,331]",1232,4,2615,2615,68,111,44,"",76
4,336,[334],1233,5,2615,2615,592,118,44,"",87
5,392,"[390,391]",1234,13,2615,2615,372,122,44,"",""
6,396,[393],1235,14,2615,2615,660,123,44,"",""
7,407,[405],1236,15,2615,2615,353,106,44,"",15
8,506,[506],1237,21,2615,2615,1092,"",44,1,""
9,515,[507],1238,22,2615,2615,1093,"",44,1,""
10,516,[508],1239,23,2615,2615,1094,"",44,1,""
11,517,[509],1240,24,2615,2615,1095,"",44,1,""
12,525,"[523,524]",1241,26,2615,2615,1155,"",41,1,""
13,527,"[189,295,310,311]",1242,0,2615,2615,1163,73,44,1,""
