"rownum","Id","HASH16","Name","Image","rid","i32","Mods","FlavorText","i32","[rid]","rid","rid"
0,"NgamahuIgnite",973,"Umu Coals","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/CharcoalPot",1,250,"[34884,34885]","Traditional meals are cooked in a great fire-stone pit.\r\nIn a crisis, those stones can pull double duty.",800,[],516,529
1,"NgamahuRighteousFire",63324,"Firebreather Mead","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SpicyMedicine",1,250,[34886],"The fruit of the volcanic nightshade plant can leave veteran warriors in tears.",400,[],516,529
2,"NgamahuChanceForNoRespawnTimer",47146,"Volcanic Emblem","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/KoamCoin",1,300,[34887],"The Ngamahu Tribe believes the Karui will be reforged in a volcano at the end of time.",800,[],516,529
3,"NgamahuFireExplode",53806,"Dying Roar","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/DeadmansSwitch",1,150,"[34882,34883]","When Ngamahu's chosen truly wish to destroy an enemy, nothing can stop them.",400,[],516,529
4,"TasalioVines",47392,"Ichthyic Bolas","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/FishBolaCharm",2,200,[34888],"Hunters of the Tasalio Tribe are just as effective on land.",1000,[],519,532
5,"TasalioStealth",14996,"Inky Infusion","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/OctopusDoll",2,200,[34916],"They slip through shadows of their own making.",1000,[],519,532
6,"TasalioShroudWalker",34426,"Sudden Fog","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SmokeBomb",2,200,[34881],"A clear day dawns only for the lucky.",1000,[],519,532
7,"TasalioChannellingInterruptDuration",32539,"Sea Charm","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SpiralRopeCharm",2,500,[34917],"Tasalio bids you take a moment to stop and enjoy the calm of the ocean.",300,[],519,532
8,"ArohonguiEnergyShield",30400,"Silver Ward","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/MoonPin",3,150,"[34889,34890]","Arohongui looks after all those in need.",1000,[],516,529
9,"ArohonguiChilledGround",20288,"Moon's Path","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/MoonAnklets",3,250,[34879],"The never-ending journey must be walked alone.",800,[],516,529
10,"ArohonguiColdAilmentImmunity",18258,"Lunar Grace","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/IceCharm",3,150,[34891],"The lunar plains are cold, but the silver palace is always warm and welcoming.",500,[],516,529
11,"ArohonguiFreeze",20970,"Dance of the Seasons","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/CrescentToeRings",3,600,[34892],"Winter is inevitable, but so is the spring.",200,[],516,529
12,"ValakoChargesForDefensiveTeammates",36365,"Lightning Rod","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/LightningRod",4,200,[34918],"Valako's gifts are unpredictable, but welcome.",1000,[],519,532
13,"ValakoProximityShield",37208,"Whaletooth Bangle","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/WhaletoothTotem",4,400,"[34880,34876]","An arrow in a storm may lose its course, but it will bring death where it eventually falls.",500,[],519,532
