"rownum","Level","Life"
0,1,50
1,2,50
2,3,51
3,4,51
4,5,51
5,6,52
6,7,52
7,8,53
8,9,53
9,10,53
10,11,54
11,12,54
12,13,54
13,14,55
14,15,55
15,16,56
16,17,56
17,18,56
18,19,57
19,20,57
20,21,57
21,22,58
22,23,58
23,24,59
24,25,59
25,26,59
26,27,60
27,28,60
28,29,60
29,30,61
30,31,61
31,32,61
32,33,62
33,34,62
34,35,63
35,36,63
36,37,63
37,38,64
38,39,64
39,40,64
40,41,65
41,42,65
42,43,66
43,44,66
44,45,66
45,46,67
46,47,67
47,48,67
48,49,68
49,50,68
50,51,68
51,52,69
52,53,69
53,54,70
54,55,70
55,56,70
56,57,71
57,58,71
58,59,71
59,60,72
60,61,72
61,62,73
62,63,73
63,64,73
64,65,74
65,66,74
66,67,74
67,68,75
68,69,75
69,70,75
70,71,75
71,72,75
72,73,75
73,74,75
74,75,75
75,76,75
76,77,75
77,78,75
78,79,75
79,80,75
80,81,75
81,82,75
82,83,75
83,84,75
84,85,75
85,86,75
86,87,75
87,88,75
88,89,75
89,90,75
90,91,75
91,92,75
92,93,75
93,94,75
94,95,75
95,96,75
96,97,75
97,98,75
98,99,75
99,100,75
