"rownum","MapsKey","Tier"
0,326,4
1,327,0
2,328,0
3,329,0
4,330,9
5,331,0
6,332,0
7,333,16
8,334,13
9,335,1
10,336,0
11,337,9
12,338,13
13,339,0
14,340,0
15,341,0
16,342,0
17,343,2
18,344,11
19,345,0
20,346,11
21,347,8
22,348,7
23,349,0
24,350,3
25,351,3
26,352,4
27,353,1
28,354,11
29,355,0
30,356,13
31,357,7
32,358,8
33,359,2
34,360,2
35,361,0
36,362,0
37,363,3
38,364,0
39,365,0
40,366,14
41,367,9
42,368,0
43,369,3
44,370,15
45,371,9
46,372,0
47,373,0
48,374,2
49,375,14
50,376,0
51,377,5
52,378,6
53,379,10
54,380,5
55,381,5
56,382,4
57,383,10
58,384,10
59,385,0
60,386,12
61,387,16
62,388,3
63,389,2
64,390,1
65,391,15
66,392,5
67,393,8
68,394,16
69,395,2
70,396,2
71,397,8
72,398,4
73,399,0
74,400,0
75,401,5
76,402,13
77,403,6
78,404,5
79,405,11
80,406,4
81,407,9
82,408,0
83,409,6
84,410,7
85,411,3
86,412,15
87,413,14
88,414,10
89,415,12
90,416,0
91,417,5
92,418,11
93,419,0
94,420,0
95,421,0
96,422,8
97,423,4
98,424,7
99,425,1
100,426,7
101,427,12
102,428,6
103,429,0
104,430,4
105,431,0
106,432,8
107,433,10
108,434,0
109,435,0
110,436,15
111,437,0
112,438,5
113,439,0
114,440,8
115,441,3
116,442,3
117,443,6
118,444,0
119,445,0
120,446,12
121,447,11
122,448,7
123,449,11
124,450,9
125,451,0
126,452,0
127,453,0
128,454,0
129,455,0
130,456,2
131,457,12
132,458,4
133,459,6
134,460,13
135,461,14
136,462,7
137,463,6
138,464,0
139,465,12
140,466,0
141,467,14
142,468,10
143,469,16
144,470,15
145,471,0
146,472,16
147,473,16
148,474,16
149,475,16
150,477,16
151,478,5
152,479,10
153,480,15
154,481,16
155,482,16
