"rownum","InfluenceMod","UpgradedMod","HighestTier"
0,15010,25089,1
1,15011,25090,1
2,15012,15013,""
3,15013,25091,1
4,15014,15015,""
5,15015,25092,1
6,15016,15017,""
7,15017,25093,1
8,15018,25094,1
9,15020,25095,1
10,15022,15023,""
11,15023,25096,1
12,15024,15025,""
13,15025,25097,1
14,15026,25098,1
15,15027,15028,""
16,15028,25099,1
17,15029,15030,""
18,15030,25100,1
19,15031,15032,""
20,15032,25101,1
21,15033,15034,""
22,15034,25102,1
23,15035,15036,""
24,15036,25103,1
25,15037,15038,""
26,15038,25104,1
27,15039,15040,""
28,15040,25105,1
29,15041,15042,""
30,15042,25106,1
31,15043,15044,""
32,15044,25107,1
33,15045,15046,""
34,15046,25108,1
35,21194,21195,""
36,21195,25109,1
37,21270,21271,""
38,21271,25110,1
39,21272,25111,1
40,21276,21277,""
41,21277,25114,1
42,21278,25115,1
43,21279,21280,""
44,21280,25116,1
45,21281,21282,""
46,21282,25117,1
47,21283,21284,""
48,21284,25118,1
49,21285,25119,1
50,21286,25120,1
51,21287,21288,""
52,21288,21289,""
53,21289,25121,1
54,21290,21291,""
55,21291,25122,1
56,21292,25123,1
57,21293,21294,""
58,21294,25124,1
59,21295,21296,""
60,21296,25125,1
61,21297,25126,1
62,21298,21299,""
63,21299,25127,1
64,21300,25128,1
65,21301,25129,1
66,21302,25130,1
67,21303,21304,""
68,21304,25131,1
69,21305,25132,1
70,21306,21307,""
71,21307,25133,1
72,21308,21309,""
73,21309,25134,1
74,21310,21311,""
75,21311,25135,1
76,21312,21313,""
77,21313,25136,1
78,21314,21315,""
79,21315,25137,1
80,21316,25139,1
81,21317,25140,1
82,21318,21319,""
83,21319,25141,1
84,21320,21321,""
85,21321,25142,1
86,21322,21323,""
87,21323,25143,1
88,21324,21325,""
89,21325,25144,1
90,14943,14944,""
91,14944,14945,""
92,14945,25145,1
93,14946,14947,""
94,14947,14948,""
95,14948,25146,1
96,14949,14950,""
97,14950,25147,1
98,14951,14952,""
99,14952,14953,""
100,14953,25148,1
101,14954,14955,""
102,14955,14956,""
103,14956,25149,1
104,14960,14961,""
105,14961,14962,""
106,14962,25151,1
107,14963,14964,""
108,14964,14965,""
109,14965,25152,1
110,14966,14967,""
111,14967,14968,""
112,14968,25153,1
113,14969,14970,""
114,14970,14971,""
115,14971,25154,1
116,14972,14973,""
117,14973,14974,""
118,14974,25155,1
119,14975,14976,""
120,14976,14977,""
121,14977,25156,1
122,14978,14979,""
123,14979,25157,1
124,14980,25158,1
125,14981,14982,""
126,14982,14983,""
127,14983,25159,1
128,14984,14985,""
129,14985,14986,""
130,14986,25160,1
131,14987,14988,""
132,14988,14989,""
133,14989,25161,1
134,14990,14991,""
135,14991,14992,""
136,14992,25162,1
137,14993,14994,""
138,14994,14995,""
139,14995,25163,1
140,14996,14997,""
141,14997,25164,1
142,14998,14999,""
143,14999,25165,1
144,15000,15001,""
145,15001,25166,1
146,15002,15003,""
147,15003,15004,""
148,15004,25167,1
149,15005,15006,""
150,15006,15007,""
151,15007,25168,1
152,15008,25169,1
153,15009,25170,1
154,21083,21084,""
155,21084,25171,1
156,21190,21191,""
157,21191,25172,1
158,21196,21197,""
159,21197,25174,1
160,21198,25175,1
161,21199,21200,""
162,21200,25176,1
163,21201,21202,""
164,21202,25177,1
165,21203,25178,1
166,21204,21205,""
167,21205,21206,""
