"rownum","Id","Name","i32"
0,0,"Weapon Skin",1
1,1,"Shield Skin",1
2,2,"Weapon Effect",1
3,3,"Weapon Added Effect",1
4,4,"Armour Skin",1
5,5,"Armour Attachment",1
6,6,"Helmet Skin",1
7,7,"Helmet Attachment",1
8,8,"Gloves Skin",1
9,9,"Boots Skin",1
10,10,"Footprints",1
11,11,"Portal",1
12,12,"Social Frame",1
13,13,"Portrait",1
14,14,"Pet",3
15,15,"Apparition",1
16,16,"Character Effect",1
17,17,"Skill Gem Effect",2
18,18,"Dance",1
19,19,"Consumable",5
20,20,"Hideout Item",4
21,21,"Miscellaneous",5
22,22,"Helmet Skin / Attachment",1
23,23,"Cursor",1
24,24,"Amulet Skin",1
25,25,"Belt Skin",1
26,26,"Flask Skin",1
27,27,"Passive Jewel Skin",2
28,28,"Ring Skin",1
29,29,"Hip Attachment",1
30,30,"Alternate Charge Skin",1
31,31,"Extra Effect",1
