"rownum","ActiveSkill","i32","MiscAnimated","MeleeTrailsKey1","MeleeTrailsKey2","MeleeTrailsKey3","MeleeTrailsKey4","MeleeTrailsKey5","MeleeTrailsKey6","MeleeTrailsKey7","bool","SurgeEffect_EPKFile","string","string"
0,107,0,"","","","","","","","",1,"","",""
1,107,1,"",10,11,12,13,16,14,15,"","","",""
2,107,2,2358,"","","","","","","",1,"","",""
3,107,3,"","","",12,13,"","","",1,"","",""
4,107,4,"",42,43,"","","","","","","","",""
5,107,5,"",44,45,"","","","","",1,"","",""
6,107,6,"",108,108,109,109,110,110,111,1,"","",""
7,107,7,"",112,112,112,112,112,112,112,1,"","",""
8,107,8,"",114,113,114,113,"","","",1,"","",""
9,107,9,"","","",123,123,124,"","",1,"","",""
10,107,10,"","","",125,125,"","","",1,"","",""
11,107,11,"","","","","",126,"","",1,"","",""
12,107,12,"","","","","",127,"","",1,"","",""
13,107,13,"","","",128,"","","","",1,"","",""
14,107,14,"","","","","","",66,"",1,"","",""
15,48,0,"",30,29,32,31,35,33,34,1,"","",""
16,48,1,"",142,141,144,143,147,145,146,1,"","",""
17,49,0,"",30,29,32,31,35,33,34,1,"","",""
18,49,1,"",142,141,144,143,147,145,146,1,"","",""
19,50,0,"",30,29,32,31,35,33,34,1,"","",""
20,50,1,"",142,141,144,143,147,145,146,1,"","",""
21,51,0,"",30,29,32,31,35,33,34,1,"","",""
22,51,1,"",142,141,144,143,147,145,146,1,"","",""
23,29,0,"",24,"",25,"",28,26,27,1,"","",""
24,29,1,"",0,"",1,"",4,2,3,1,"","",""
25,30,0,"",24,"",25,"",28,26,27,1,"","",""
26,30,1,"",0,"",1,"",4,2,3,1,"","",""
27,31,0,"",24,"",25,"",28,26,27,1,"","",""
28,31,1,"",0,"",1,"",4,2,3,1,"","",""
29,32,0,"",24,"",25,"",28,26,27,1,"","",""
30,32,1,"",0,"",1,"",4,2,3,1,"","",""
31,187,0,"",36,36,37,38,41,39,40,1,"","",""
32,188,0,"",36,36,37,38,41,39,40,1,"","",""
33,189,0,"",36,36,37,38,41,39,40,1,"","",""
34,63,0,"",10,11,12,13,16,14,15,"","","",""
35,63,1,"",10,11,12,13,16,14,15,"","","",""
36,63,2,"",10,11,12,13,16,14,15,"","","",""
37,63,3,"",10,11,12,13,16,14,15,"","","",""
38,63,4,"",10,11,12,13,16,14,15,"","","",""
39,64,0,"",10,11,12,13,16,14,15,"","","",""
40,64,1,"",10,11,12,13,16,14,15,"","","",""
41,64,2,"",10,11,12,13,16,14,15,"","","",""
42,64,3,"",10,11,12,13,16,14,15,"","","",""
43,64,4,"",10,11,12,13,16,14,15,"","","",""
44,65,0,"",10,11,12,13,16,14,15,"","","",""
45,65,1,"",10,11,12,13,16,14,15,"","","",""
46,65,2,"",10,11,12,13,16,14,15,"","","",""
47,65,3,"",10,11,12,13,16,14,15,"","","",""
48,65,4,"",10,11,12,13,16,14,15,"","","",""
49,66,0,"",10,11,12,13,16,14,15,1,"","",""
50,132,0,"",49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
51,133,0,"",49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
52,134,0,"",49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
53,135,0,"",77,76,71,70,75,72,73,"","","",""
54,136,0,"",77,76,71,70,75,72,73,"","","",""
55,137,0,"",77,76,71,70,75,72,73,"","","",""
56,147,0,"",103,103,104,104,105,105,105,"","","",""
57,148,0,"",103,103,104,104,105,105,105,"","","",""
58,149,0,"",103,103,104,104,105,105,105,"","","",""
59,613,0,"",63,62,65,64,69,66,67,"","Metadata/Effects/Spells/fortify/surge/fortify_surge.epk","",""
60,614,0,"",63,62,65,64,69,66,67,"","Metadata/Effects/Spells/fortify/surge/fortify_surge.epk","",""
61,615,0,"",63,62,65,64,69,66,67,"","Metadata/Effects/Spells/fortify/surge/fortify_surge.epk","",""
62,619,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","",""
63,620,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","",""
64,621,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","",""
65,643,0,"",10,11,12,13,16,14,15,"","","",""
66,644,0,"",10,11,12,13,16,14,15,"","","",""
67,645,0,"",10,11,12,13,16,14,15,"","","",""
68,337,0,"",10,11,12,13,16,14,15,"","","",""
69,337,1,"",10,11,12,13,16,14,15,"","","",""
70,338,0,"",10,11,12,13,16,14,15,"","","",""
71,338,1,"",10,11,12,13,16,14,15,"","","",""
72,339,0,"",10,11,12,13,16,14,15,"","","",""
73,339,1,"",10,11,12,13,16,14,15,"","","",""
74,450,0,371,49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
75,450,1,"",10,11,12,13,16,14,15,"","","",""
76,450,2,"",10,11,12,13,16,14,15,"","","",""
77,450,3,1886,10,11,12,13,16,14,15,"","","",""
78,450,4,"",10,11,12,13,16,14,15,1,"","",""
79,450,5,4293,10,11,12,13,16,14,15,1,"Metadata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk","",""
80,450,6,"",10,11,12,13,16,14,15,"","","",""
81,450,7,"",10,11,12,13,16,14,15,"","","",""
82,451,0,371,49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","",""
83,451,1,"",10,11,12,13,16,14,15,"","","",""
84,451,2,"",10,11,12,13,16,14,15,"","","",""
85,451,3,1886,10,11,12,13,16,14,15,"","","",""
86,451,4,"",10,11,12,13,16,14,15,1,"","",""
87,451,5,4293,10,11,12,13,16,14,15,1,"Metadata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk","",""
88,451,6,"",10,11,12,13,16,14,15,"","","",""
89,451,7,"",10,11,12,13,16,14,15,"","","",""
