"rownum","Item","Pack","Description"
0,11277,14,"Pack monsters are Harmless Frogs"
1,11278,16,"Pack monsters are Rats"
2,11279,485,"Pack monsters can drop Splinters of Xoph"
3,11280,486,"Pack monsters can drop Splinters of Tul"
4,11281,487,"Pack monsters can drop Splinters of Esh"
5,11282,488,"Pack monsters can drop Splinters of Uul'Netol"
6,11283,489,"Pack monsters can drop Splinters of Chayula"
7,11284,490,"Pack monsters reward Sulphite on death"
8,11285,491,"Pack Monsters can drop Karui Tattoos"
9,11286,492,"Pack Monsters can drop Karui Tattoos"
10,11287,493,"Pack Monsters can drop Karui Tattoos"
11,11288,494,"Pack Monsters can drop Karui Tattoos"
12,11289,495,"Pack Monsters can drop Karui Tattoos"
13,11290,496,"Pack Monsters can drop Karui Tattoos"
14,11291,497,"Pack Monsters can drop Karui Tattoos"
15,11292,498,"Pack Monsters can drop Karui Tattoos"
16,11293,499,"Pack Monsters can drop Karui Tattoos"
17,11294,500,"Pack Monsters can drop Karui Tattoos"
18,11295,501,"Pack monsters can drop Abyssal Jewels"
19,11296,502,"Pack monsters can drop Tainted Currency"
20,11297,503,"Pack monsters can drop Tainted Currency"
21,11298,504,"Pack monsters can drop Tainted Currency"
22,11299,505,"Gemling Pack Leader drops an additional Quality Gem"
23,11300,506,"Gemling Pack Leader drops an additional Quality Gem"
24,11301,507,"Gemling Pack Leader drops an additional Quality Gem"
25,11302,508,"Gemling Pack Leader drops an additional Quality Gem"
26,11303,509,"Gemling Pack Leader drops an additional Quality Gem"
27,11304,510,"Pack monsters can drop Broken Circle Artifacts"
28,11305,511,"Pack monsters can drop Order of the Chalice Artifacts"
29,11306,512,"Pack monsters can drop Black Scythe Artifacts"
30,11307,513,"Pack monsters can drop Knights of the Sun Artifacts"
31,11308,514,"Monster has greatly increased Life"
32,11309,515,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
33,11310,516,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
34,11311,517,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
35,11312,518,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
36,11313,519,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
37,11314,520,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
38,11315,521,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
39,11316,522,"Pack monsters can drop Omens"
40,11317,523,"Pack monsters can drop Omens"
41,11318,524,"Pack monsters can drop Omens"
42,11319,525,"Pack monsters can drop Timeless Karui Splinters "
43,11320,526,"Pack monsters can drop Timeless Eternal Empire Splinters "
44,11321,527,"Pack monsters can drop Timeless Maraketh Splinters "
45,11322,528,"Pack monsters can drop Timeless Templar Splinters "
46,11323,529,"Pack monsters can drop Timeless Vaal Splinters "
47,11344,530,"Pack monsters can drop Contracts and Rogue Markers\r\nPack monsters have a chance to leave corpses with a Special Craft"
48,11345,531,"Pack monsters can drop Shaper Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
49,11346,532,"Pack monsters can drop Elder Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
50,11347,536,"Pack monsters can drop Warlord Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
51,11348,534,"Pack monsters can drop Redeemer Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
52,11349,533,"Pack monsters can drop Crusader Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
53,11350,535,"Pack monsters can drop Hunter Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
54,11351,933,"Pack monsters can drop Omens\r\nPack monsters have a chance to leave corpses with a Special Craft"
55,11352,934,"Pack monsters can drop Expedition Artifacts\r\nPack monsters have a chance to leave corpses with a Special Craft"
56,11353,935,"Pack monsters can drop Abyssal Jewels\r\nPack monsters have a chance to leave corpses with a Special Craft"
57,11354,936,"Pack monsters have a chance to leave corpses with a Special Craft"
58,11355,945,"Pack monsters can drop Catalysts"
59,11356,946,"Pack monsters can drop Catalysts"
60,11357,937,"Pack monsters drop Currency Items"
61,11358,938,"Extra Monster drops items with +1 to number of Sockets\r\nExtra Monster drops fully Linked items"
62,11359,939,"Pack is composed of a Rogue Exile"
63,11360,940,"Pack monsters can drop Scarabs"
64,11361,941,"Pack monsters can drop Scarabs"
65,11362,942,"Pack monsters can drop Scarabs"
66,11363,943,"Pack monsters can drop Scarabs"
67,11364,944,"Pack monsters can drop Fractured Items"
68,11365,948,"Pack monsters have a chance to leave corpses with a Special Craft"
69,11366,947,"Pack monsters can drop Breach Splinters\r\nPack monsters have a chance to leave corpses with a Special Craft"
