"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,10134,"",0
1,10135,"",0
2,10136,"",0
3,10137,"",0
4,10172,"",2
5,10173,"",3
6,10174,"",4
7,10175,"",5
8,10176,"",2
9,10177,"",3
10,10178,"",4
11,10179,"",5
12,10180,0,2
13,10181,0,3
14,10182,0,4
15,10183,0,5
16,10184,1,2
17,10185,1,3
18,10186,1,4
19,10187,1,5
20,10188,2,2
21,10189,2,3
22,10190,2,4
23,10191,2,5
24,10192,3,2
25,10193,3,3
26,10194,3,4
27,10195,3,5
28,10196,4,2
29,10197,4,3
30,10198,4,4
31,10199,4,5
32,10200,5,2
33,10201,5,3
34,10202,5,4
35,10203,5,5
36,10204,6,2
37,10205,6,3
38,10206,6,4
39,10207,6,5
40,10208,7,2
41,10209,7,3
42,10210,7,4
43,10211,7,5
44,10212,8,2
45,10213,8,3
46,10214,8,4
47,10215,8,5
48,10216,"",2
49,10217,"",3
50,10218,"",4
51,10219,"",5
52,10220,"",2
53,10221,"",3
54,10222,"",4
55,10223,"",5
56,10224,"",2
57,10225,"",3
58,10226,"",4
59,10227,"",5
